TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-20.5,1,1.000000,-1.000000,-1.000000,0.000000
-19.5,1,1.000000,-1.000000,-1.000000,0.000000
-19.0,1,1.000000,1.000000,1.000000,0.000000
-18.5,1,1.000000,-1.000000,-1.000000,0.000000
-18.0,3,3.000000,-3.000000,-1.000000,0.000000
-17.5,4,5.000000,1.000000,0.200000,0.334664
-17.0,8,10.000000,-4.500000,-0.450000,0.286793
-16.5,29,35.000000,3.000000,0.085714,0.167193
-16.0,60,68.000000,-4.000000,-0.058824,0.116969
-15.5,125,141.000000,-8.000000,-0.056738,0.083479
-15.0,232,260.000000,1.500000,0.005769,0.060842
-14.5,542,623.000000,-40.000000,-0.064205,0.039283
-14.0,969,1116.000000,-80.000000,-0.071685,0.029349
-13.5,1942,2217.000000,-146.000000,-0.065855,0.020620
-13.0,3611,4116.000000,-210.000000,-0.051020,0.015229
-12.5,6696,7649.000000,-258.500000,-0.033795,0.011200
-12.0,12545,14237.000000,-470.000000,-0.033013,0.008189
-11.5,21887,24810.000000,-1292.000000,-0.052076,0.006210
-11.0,40694,46086.000000,-1542.000000,-0.033459,0.004554
-10.5,67974,77079.000000,-2877.000000,-0.037325,0.003527
-10.0,121930,137908.000000,-4329.500000,-0.031394,0.002638
-9.5,195097,220431.000000,-6436.500000,-0.029200,0.002085
-9.0,324520,366078.000000,-11331.500000,-0.030954,0.001618
-8.5,519683,585994.000000,-17595.000000,-0.030026,0.001279
-8.0,809079,911326.000000,-23280.000000,-0.025545,0.001026
-7.5,1285388,1445690.000000,-38907.500000,-0.026913,0.000815
-7.0,1920948,2157466.000000,-53903.500000,-0.024985,0.000667
-6.5,2921119,3277113.000000,-76564.000000,-0.023363,0.000542
-6.0,4324152,4846184.000000,-104415.500000,-0.021546,0.000445
-5.5,6276415,7025297.000000,-135575.000000,-0.019298,0.000370
-5.0,8933142,9986871.000000,-183285.000000,-0.018353,0.000310
-4.5,12676279,14153821.000000,-243856.000000,-0.017229,0.000261
-4.0,17766763,19817056.000000,-310313.000000,-0.015659,0.000220
-3.5,24396761,27180656.000000,-403309.000000,-0.014838,0.000188
-3.0,33031445,36758949.000000,-491120.000000,-0.013361,0.000162
-2.5,44126750,49050138.000000,-585029.000000,-0.011927,0.000140
-2.0,59599543,66175526.000000,-691101.000000,-0.010443,0.000121
-1.5,77934640,86437443.000000,-794824.500000,-0.009195,0.000106
-1.0,105005589,116326981.000000,-906266.000000,-0.007791,0.000091
-0.5,135665391,150126883.000000,-996167.000000,-0.006636,0.000080
0.0,162482941,179620714.000000,-1010832.000000,-0.005628,0.000073
0.5,128024083,141413480.000000,-594786.500000,-0.004206,0.000083
1.0,98223383,108567419.000000,-312230.500000,-0.002876,0.000094
1.5,73309946,80987051.000000,-137183.000000,-0.001694,0.000109
2.0,55908420,61695322.000000,-9657.500000,-0.000157,0.000125
2.5,41268054,45488570.000000,53912.500000,0.001185,0.000146
3.0,30827157,33942181.000000,66506.000000,0.001959,0.000169
3.5,22677742,24942064.000000,85793.500000,0.003440,0.000197
4.0,16475970,18102931.000000,96990.500000,0.005358,0.000232
4.5,11696823,12836149.000000,78768.000000,0.006136,0.000275
5.0,8204994,9012746.000000,62825.000000,0.006971,0.000328
5.5,5809532,6393656.500000,49214.000000,0.007697,0.000391
6.0,4076195,4440300.000000,39437.500000,0.008882,0.000471
6.5,2822581,3025291.500000,32380.500000,0.010703,0.000575
7.0,1874365,1990264.000000,22472.500000,0.011291,0.000712
7.5,1247827,1322460.500000,18241.000000,0.013793,0.000874
8.0,784041,829899.500000,14848.000000,0.017891,0.001103
8.5,498086,526908.000000,8656.500000,0.016429,0.001385
9.0,309226,326451.500000,6109.500000,0.018715,0.001760
9.5,185061,195058.000000,3848.000000,0.019727,0.002279
10.0,114071,119949.000000,2592.500000,0.021613,0.002907
10.5,63228,66654.500000,1484.000000,0.022264,0.003898
11.0,37670,39594.500000,794.000000,0.020053,0.005066
11.5,20685,21775.000000,558.500000,0.025649,0.006822
12.0,11558,12092.000000,384.000000,0.031757,0.009167
12.5,6298,6561.500000,219.500000,0.033453,0.012501
13.0,3432,3576.000000,103.500000,0.028943,0.016859
13.5,1806,1901.000000,52.500000,0.027617,0.022945
14.0,910,933.500000,31.500000,0.033744,0.032737
14.5,488,508.000000,1.500000,0.002953,0.045754
15.0,227,237.500000,-9.500000,-0.040000,0.065888
15.5,95,101.000000,5.500000,0.054455,0.099848
16.0,41,45.500000,-3.000000,-0.065934,0.145872
16.5,22,21.500000,-5.000000,-0.232558,0.205849
17.0,13,12.500000,3.500000,0.280000,0.288666
17.5,3,3.000000,-1.000000,-0.333333,0.544331
18.0,3,3.000000,0.000000,0.000000,0.471405
18.5,2,1.500000,0.000000,-0.000000,1.154701
19.0,1,1.000000,1.000000,1.000000,0.000000
