TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-26.5,1,1.0,1.0,1.0,0.0,0.0
-25.0,1,1.0,1.5,1.5,0.0,0.0
-24.5,2,2.0,0.0,0.0,0.707107,0.0
-24.0,4,4.0,-0.5,-0.125,0.511585,0.0
-23.0,12,13.0,-2.0,-0.153846,0.263031,1e-06
-22.5,12,14.0,2.0,0.142857,0.244472,1e-06
-22.0,26,30.0,-2.0,-0.066667,0.175963,2e-06
-21.5,30,35.0,3.5,0.1,0.166353,2e-06
-21.0,86,100.0,-28.5,-0.285,0.091721,5e-06
-20.5,148,172.0,-6.0,-0.034884,0.073723,9e-06
-20.0,233,260.0,-2.0,-0.007692,0.061235,1.4e-05
-19.5,344,392.0,-53.0,-0.135204,0.048693,2.1e-05
-19.0,644,757.0,-94.0,-0.124174,0.034834,3.9e-05
-18.5,1083,1258.0,-133.0,-0.105723,0.02734,6.5e-05
-18.0,1840,2111.0,-51.0,-0.024159,0.021147,0.000111
-17.5,2665,3095.0,-144.0,-0.046527,0.017501,0.000161
-17.0,4702,5444.0,-354.0,-0.065026,0.013254,0.000284
-16.5,7382,8486.0,-304.5,-0.035883,0.010631,0.000446
-16.0,11145,12776.0,-747.0,-0.058469,0.008641,0.000674
-15.5,17267,19805.0,-964.0,-0.048675,0.00694,0.001043
-15.0,26142,29868.0,-1271.0,-0.042554,0.005655,0.00158
-14.5,40865,46810.0,-2027.5,-0.043313,0.004518,0.00247
-14.0,59159,67670.0,-2651.0,-0.039175,0.003755,0.003575
-13.5,90605,103307.0,-4557.5,-0.044116,0.003038,0.005476
-13.0,129944,147844.0,-5921.0,-0.040049,0.002539,0.007853
-12.5,193826,220601.0,-8933.5,-0.040496,0.00208,0.011713
-12.0,280282,318871.0,-12243.0,-0.038395,0.001731,0.016938
-11.5,400766,455041.0,-17084.0,-0.037544,0.001449,0.024219
-11.0,567659,643678.0,-21199.5,-0.032935,0.001219,0.034305
-10.5,787985,892408.0,-29795.0,-0.033387,0.001036,0.04762
-10.0,1113120,1259177.0,-37117.0,-0.029477,0.000872,0.067269
-9.5,1518290,1715352.0,-49943.0,-0.029115,0.000747,0.091754
-9.0,2087129,2355700.0,-66370.0,-0.028174,0.000638,0.126131
-8.5,2824218,3183222.0,-85667.5,-0.026912,0.000549,0.170675
-8.0,3785742,4262106.0,-104071.5,-0.024418,0.000474,0.228783
-7.5,5040334,5667496.0,-135041.0,-0.023827,0.000411,0.304601
-7.0,6686890,7510941.0,-169745.5,-0.0226,0.000358,0.404107
-6.5,8746766,9811297.0,-199472.0,-0.020331,0.000313,0.528591
-6.0,11600409,12997337.0,-252912.0,-0.019459,0.000272,0.701045
-5.5,14757379,16514019.0,-295128.0,-0.017871,0.000241,0.89183
-5.0,19042843,21287777.0,-346113.0,-0.016259,0.000213,1.150812
-4.5,24542480,27405437.0,-411568.0,-0.015018,0.000187,1.48317
-4.0,31184303,34779782.0,-479829.0,-0.013796,0.000166,1.884554
-3.5,39823857,44365071.0,-560163.5,-0.012626,0.000147,2.406667
-3.0,49876194,55501677.0,-608387.5,-0.010962,0.000132,3.014157
-2.5,63321001,70384931.0,-689646.0,-0.009798,0.000117,3.826664
-2.0,79216020,87945131.0,-757319.0,-0.008611,0.000105,4.787245
-1.5,99539236,110398332.0,-801113.0,-0.007257,9.3e-05,6.015433
-1.0,126515085,140156062.0,-838306.0,-0.005981,8.3e-05,7.645659
-0.5,156831298,173550078.0,-832432.5,-0.004796,7.5e-05,9.477752
0.0,189031008,208968076.0,-763347.0,-0.003653,6.8e-05,11.42367
0.5,149276674,164918579.0,-414286.0,-0.002512,7.7e-05,9.021205
1.0,119677124,132283189.0,-143386.5,-0.001084,8.6e-05,7.232422
1.5,94786743,104710200.0,37781.5,0.000361,9.6e-05,5.728227
2.0,75333114,83127103.0,131116.5,0.001577,0.000108,4.55259
2.5,60174978,66323820.0,185376.0,0.002795,0.000121,3.636541
3.0,47374159,52158970.0,207129.5,0.003971,0.000136,2.862952
3.5,37761541,41528756.0,214773.5,0.005172,0.000153,2.282035
4.0,29532625,32442704.0,219014.0,0.006751,0.000173,1.784739
4.5,23188878,25449838.0,198475.0,0.007799,0.000195,1.401368
5.0,17965526,19751358.5,183308.5,0.009281,0.000222,1.085707
5.5,14100594,15497005.5,152006.0,0.009809,0.000251,0.852138
6.0,11283560,12291151.5,131081.0,0.010665,0.000283,0.681897
6.5,8721754,9361580.5,113339.5,0.012107,0.000327,0.52708
7.0,6749735,7178552.0,101219.5,0.0141,0.000375,0.407905
7.5,5096916,5401127.0,78785.5,0.014587,0.000432,0.308021
8.0,3823759,4047468.5,66473.5,0.016423,0.0005,0.23108
8.5,2840742,3003895.0,56617.5,0.018848,0.00058,0.171674
9.0,2098347,2215156.0,40567.5,0.018314,0.000676,0.126809
9.5,1522283,1604856.5,33027.0,0.020579,0.000794,0.091996
10.0,1113144,1172535.0,25800.0,0.022004,0.00093,0.06727
10.5,785661,826212.0,19209.0,0.023249,0.001107,0.04748
11.0,565285,593719.0,14529.0,0.024471,0.001307,0.034162
11.5,398152,418246.0,11178.5,0.026727,0.001557,0.024061
12.0,275506,288798.0,6856.5,0.023742,0.001874,0.01665
12.5,191802,200674.0,5892.0,0.029361,0.002251,0.011591
13.0,127703,133510.5,3849.0,0.028829,0.002759,0.007717
13.5,89057,92872.0,1936.0,0.020846,0.003313,0.005382
14.0,58193,60783.5,1495.0,0.024595,0.004089,0.003517
14.5,39373,41128.0,1570.5,0.038186,0.004969,0.002379
15.0,25214,26211.5,822.5,0.031379,0.006244,0.001524
15.5,16622,17307.0,674.5,0.038973,0.007668,0.001005
16.0,10337,10730.0,390.5,0.036393,0.009752,0.000625
16.5,6634,6899.5,359.0,0.052033,0.012118,0.000401
17.0,4218,4376.5,261.0,0.059637,0.01541,0.000255
17.5,2497,2585.0,49.5,0.019149,0.019934,0.000151
18.0,1681,1741.0,60.5,0.03475,0.023955,0.000102
18.5,986,1021.0,16.0,0.015671,0.031669,6e-05
19.0,577,601.0,2.0,0.003328,0.041589,3.5e-05
19.5,334,342.5,24.0,0.070073,0.054978,2e-05
20.0,196,206.0,1.0,0.004854,0.067526,1.2e-05
20.5,120,124.0,13.5,0.108871,0.091695,7e-06
21.0,65,63.5,7.5,0.11811,0.132568,4e-06
21.5,39,38.5,-1.5,-0.038961,0.153536,2e-06
22.0,24,27.0,-3.0,-0.111111,0.196564,1e-06
22.5,10,11.0,1.5,0.136364,0.315514,1e-06
23.0,4,5.0,3.0,0.6,0.357771,0.0
23.5,2,2.0,0.5,0.25,0.883883,0.0
24.0,1,1.0,1.0,1.0,0.0,0.0
25.0,1,1.0,1.0,1.0,0.0,0.0
26.0,1,1.0,1.0,1.0,0.0,0.0
26.5,1,1.0,1.5,1.5,0.0,0.0
27.5,3,2.5,0.0,-0.0,0.774597,0.0
28.0,2,2.0,0.0,0.0,0.0,0.0
