TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-37.5,3,3.0,-1.0,-0.333333,0.544331,0.0
-37.0,1,1.0,-1.0,-1.0,0.0,0.0
-36.0,2,3.0,1.0,0.333333,0.544331,0.0
-35.5,5,6.0,-4.0,-0.666667,0.30429,0.0
-35.0,5,6.0,5.0,0.833333,0.346944,0.0
-34.5,9,9.0,4.0,0.444444,0.34645,0.0
-34.0,10,13.0,5.0,0.384615,0.256015,0.0
-33.5,12,16.0,-10.0,-0.625,0.195156,1e-06
-33.0,31,37.0,-11.0,-0.297297,0.152241,1e-06
-32.5,44,52.0,-5.0,-0.096154,0.130457,2e-06
-32.0,50,53.0,-20.5,-0.386792,0.125611,2e-06
-31.5,73,87.0,-7.0,-0.08046,0.106554,4e-06
-31.0,108,126.0,-7.0,-0.055556,0.08607,5e-06
-30.5,138,161.0,-21.5,-0.13354,0.077547,7e-06
-30.0,206,246.0,-39.0,-0.158537,0.061086,1e-05
-29.5,326,383.0,-31.5,-0.082245,0.049756,1.6e-05
-29.0,405,475.0,-100.0,-0.210526,0.043271,1.9e-05
-28.5,494,585.0,-60.5,-0.103419,0.039979,2.4e-05
-28.0,801,954.0,-69.5,-0.072851,0.031607,3.8e-05
-27.5,1115,1341.0,-65.5,-0.048844,0.026376,5.4e-05
-27.0,1526,1798.0,-297.5,-0.165462,0.02252,7.3e-05
-26.5,2145,2534.0,-284.0,-0.112076,0.019271,0.000103
-26.0,2338,2771.0,-362.0,-0.130639,0.018337,0.000112
-25.5,3738,4420.0,-427.0,-0.096606,0.014499,0.000179
-25.0,5181,6179.0,-448.0,-0.072504,0.012388,0.000249
-24.5,6924,8182.0,-639.5,-0.078159,0.010746,0.000332
-24.0,9336,10999.0,-908.0,-0.082553,0.009266,0.000448
-23.5,11253,13234.0,-967.0,-0.073069,0.008445,0.00054
-23.0,16129,18951.0,-1467.0,-0.07741,0.007068,0.000774
-22.5,19613,22903.0,-1888.5,-0.082456,0.006434,0.000941
-22.0,27909,32763.0,-2999.5,-0.091551,0.005382,0.00134
-21.5,35732,41845.0,-3346.0,-0.079962,0.004753,0.001715
-21.0,46888,54793.0,-4131.0,-0.075393,0.00416,0.002251
-20.5,61522,71596.0,-5229.5,-0.073042,0.003644,0.002953
-20.0,75839,88477.0,-6172.5,-0.069764,0.003276,0.00364
-19.5,98269,114210.0,-8208.0,-0.071868,0.002884,0.004717
-19.0,128412,149151.0,-10525.0,-0.070566,0.002523,0.006164
-18.5,157201,182016.0,-11852.5,-0.065118,0.002285,0.007546
-18.0,199050,230194.0,-15435.5,-0.067054,0.002032,0.009555
-17.5,254912,294332.0,-18436.0,-0.062637,0.001799,0.012236
-17.0,328903,379045.0,-22649.5,-0.059754,0.001585,0.015788
-16.5,425910,490945.0,-28427.0,-0.057903,0.001394,0.020444
-16.0,485784,558993.0,-30837.5,-0.055166,0.001306,0.023318
-15.5,621921,714715.0,-34830.0,-0.048733,0.001156,0.029853
-15.0,788422,904163.0,-46319.5,-0.051229,0.001028,0.037845
-14.5,959201,1098687.0,-53651.0,-0.048832,0.000933,0.046043
-14.0,1198292,1371072.0,-63541.5,-0.046344,0.000835,0.057519
-13.5,1444725,1650432.0,-74893.0,-0.045378,0.000761,0.069348
-13.0,1739281,1983730.0,-87939.5,-0.04433,0.000695,0.083487
-12.5,2168635,2471265.0,-101841.5,-0.04121,0.000623,0.104097
-12.0,2655732,3022896.0,-119472.5,-0.039523,0.000563,0.127478
-11.5,3204431,3641798.0,-138890.0,-0.038138,0.000513,0.153816
-11.0,3816345,4331705.0,-159952.0,-0.036926,0.000471,0.183188
-10.5,4628437,5245777.0,-182297.5,-0.034751,0.000428,0.22217
-10.0,5716856,6470979.0,-218312.0,-0.033737,0.000385,0.274415
-9.5,6619891,7483511.0,-230904.5,-0.030855,0.000358,0.317761
-9.0,7911384,8932405.0,-268680.5,-0.030079,0.000328,0.379754
-8.5,9576280,10797324.0,-304107.0,-0.028165,0.000298,0.459671
-8.0,11358135,12790733.0,-352469.0,-0.027557,0.000274,0.545202
-7.5,13539798,15229210.0,-374852.0,-0.024614,0.000251,0.649924
-7.0,16264462,18271790.0,-435073.0,-0.023811,0.000229,0.78071
-6.5,19336276,21698674.0,-469910.0,-0.021656,0.000211,0.92816
-6.0,22616339,25347949.0,-523573.0,-0.020655,0.000195,1.085606
-5.5,27271632,30527329.0,-597474.5,-0.019572,0.000178,1.309065
-5.0,32476087,36309468.0,-644516.0,-0.017751,0.000163,1.558884
-4.5,37975447,42406914.0,-693890.5,-0.016363,0.000151,1.822859
-4.0,45178411,50389236.0,-765748.5,-0.015197,0.000138,2.168608
-3.5,54041895,60209272.0,-830338.5,-0.013791,0.000127,2.594064
-3.0,63501259,70663259.0,-899138.0,-0.012724,0.000117,3.048123
-2.5,75948171,84415852.0,-954177.0,-0.011303,0.000107,3.645586
-2.0,90915869,100937652.0,-1009965.0,-0.010006,9.8e-05,4.364051
-1.5,108100341,119882946.0,-1022780.5,-0.008531,9e-05,5.188922
-1.0,129282667,143232290.0,-1057347.5,-0.007382,8.2e-05,6.205694
-0.5,149491533,165478118.0,-1026580.0,-0.006204,7.6e-05,7.17574
0.0,211060699,233455364.0,-1209629.5,-0.005181,6.4e-05,10.13112
0.5,143122343,158386936.0,-600004.5,-0.003788,7.8e-05,6.870012
1.0,122651674,135598686.0,-311841.0,-0.0023,8.4e-05,5.8874
1.5,103594046,114403451.0,-110507.5,-0.000966,9.2e-05,4.972615
2.0,86753268,95689138.0,21189.0,0.000221,0.000101,4.164242
2.5,72404753,79770911.0,137163.0,0.001719,0.00011,3.475499
3.0,60496902,66573597.0,206204.5,0.003097,0.000121,2.90391
3.5,51414458,56521050.5,246670.5,0.004364,0.000131,2.467944
4.0,43093509,47313698.0,276506.5,0.005844,0.000143,2.068531
4.5,36489842,39959494.5,262264.0,0.006563,0.000156,1.751548
5.0,31517305,34356400.5,270052.0,0.00786,0.000169,1.512861
5.5,26890203,29119941.0,265547.0,0.009119,0.000184,1.290756
6.0,22715853,24429920.0,256287.0,0.010491,0.000202,1.090383
6.5,19615180,20973755.5,254105.0,0.012115,0.000218,0.941548
7.0,16591081,17666578.0,239354.5,0.013548,0.000238,0.796388
7.5,13838730,14691786.5,225908.0,0.015376,0.000262,0.664273
8.0,11622046,12318251.0,206282.5,0.016746,0.000286,0.55787
8.5,9793726,10370580.0,184587.0,0.017799,0.000312,0.470108
9.0,8097364,8563242.0,162364.5,0.018961,0.000343,0.388681
9.5,6771597,7154733.5,149614.0,0.020911,0.000375,0.325043
10.0,5843210,6166792.0,132981.0,0.021564,0.000404,0.28048
10.5,4719878,4975129.0,116678.0,0.023452,0.00045,0.226559
11.0,3891774,4098954.5,101324.0,0.024719,0.000496,0.186809
11.5,3265442,3435779.0,88645.0,0.025801,0.000542,0.156744
12.0,2709930,2848076.5,79630.0,0.027959,0.000595,0.130079
12.5,2209397,2319797.5,64765.5,0.027919,0.00066,0.106053
13.0,1771919,1859206.5,54240.5,0.029174,0.000737,0.085054
13.5,1471958,1542460.5,46800.5,0.030341,0.000809,0.070655
14.0,1222713,1280254.5,41935.5,0.032756,0.000888,0.058691
14.5,978753,1023465.5,32860.5,0.032107,0.000993,0.046981
15.0,804897,841050.0,30064.5,0.035746,0.001096,0.038636
15.5,636319,664414.0,22995.5,0.03461,0.001233,0.030544
16.0,495717,516709.0,18413.5,0.035636,0.001399,0.023795
16.5,436341,454497.5,16066.0,0.035349,0.001491,0.020945
17.0,337276,351315.0,13853.0,0.039432,0.001696,0.01619
17.5,261744,272214.0,10537.0,0.038709,0.001927,0.012564
18.0,204369,212202.0,7886.0,0.037163,0.002185,0.00981
18.5,161641,167936.0,7661.5,0.045622,0.002452,0.007759
19.0,133420,138300.0,5859.0,0.042364,0.002706,0.006404
19.5,102148,105945.5,4169.5,0.039355,0.00309,0.004903
20.0,77297,79998.5,4039.5,0.050495,0.003559,0.00371
20.5,63531,65815.5,3068.0,0.046615,0.003915,0.00305
21.0,49122,50661.0,1906.5,0.037632,0.004472,0.002358
21.5,36802,37987.0,1868.5,0.049188,0.005157,0.001767
22.0,28857,29730.5,1666.5,0.056054,0.005828,0.001385
22.5,20919,21522.5,1336.0,0.062075,0.006876,0.001004
23.0,16998,17560.5,605.0,0.034452,0.007582,0.000816
23.5,11704,12071.5,804.0,0.066603,0.009158,0.000562
24.0,9615,9875.5,562.5,0.056959,0.010113,0.000462
24.5,7035,7226.5,405.0,0.056044,0.011835,0.000338
25.0,5075,5222.0,342.0,0.065492,0.01385,0.000244
25.5,3854,3918.5,311.0,0.079367,0.016141,0.000185
26.0,2318,2374.5,145.0,0.061065,0.020526,0.000111
26.5,2253,2294.5,127.0,0.05535,0.021117,0.000108
27.0,1525,1545.5,11.0,0.007117,0.025422,7.3e-05
27.5,1170,1202.5,87.5,0.072765,0.028671,5.6e-05
28.0,871,894.5,87.5,0.09782,0.033247,4.2e-05
28.5,491,491.5,27.5,0.055951,0.045573,2.4e-05
29.0,416,431.5,40.0,0.0927,0.048212,2e-05
29.5,347,353.5,22.0,0.062235,0.053553,1.7e-05
30.0,221,226.0,28.5,0.126106,0.065392,1.1e-05
30.5,146,152.5,6.0,0.039344,0.080649,7e-06
31.0,129,127.5,4.0,0.031373,0.089897,6e-06
31.5,67,68.0,-4.5,-0.066176,0.124959,3e-06
32.0,50,50.0,7.0,0.14,0.134937,2e-06
32.5,49,46.5,-18.0,-0.387097,0.133926,2e-06
33.0,33,35.0,11.5,0.328571,0.159646,2e-06
33.5,19,21.0,-4.5,-0.214286,0.209121,1e-06
34.0,17,16.0,3.5,0.21875,0.239909,1e-06
34.5,16,15.0,-3.5,-0.233333,0.246607,1e-06
35.0,6,6.0,1.5,0.25,0.403973,0.0
35.5,7,6.5,0.5,0.076923,0.440858,0.0
36.0,1,2.0,2.0,1.0,0.0,0.0
36.5,1,1.0,1.5,1.5,0.0,0.0
37.5,1,1.0,1.0,1.0,0.0,0.0
38.5,2,1.5,1.0,0.666667,0.96225,0.0
39.0,1,1.0,1.0,1.0,0.0,0.0
39.5,1,1.0,-1.0,-1.0,0.0,0.0
