TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-37.5,1,1.0,-1.0,-1.0,0.0,0.0
-37.0,1,1.0,0.0,0.0,0.0,0.0
-34.0,6,7.0,-6.0,-0.857143,0.13226,0.0
-33.5,9,11.0,9.0,0.818182,0.116291,0.0
-33.0,11,14.0,1.0,0.071429,0.236131,0.0
-32.5,26,32.0,-19.0,-0.59375,0.138768,1e-06
-32.0,30,35.0,1.0,0.028571,0.16775,1e-06
-31.5,29,39.0,-1.0,-0.025641,0.155914,1e-06
-31.0,63,74.0,-1.0,-0.013514,0.110188,3e-06
-30.5,85,99.0,-16.0,-0.161616,0.097888,4e-06
-30.0,97,114.0,-27.5,-0.241228,0.088643,4e-06
-29.5,152,178.0,-8.0,-0.044944,0.073816,7e-06
-29.0,235,281.0,-15.0,-0.053381,0.057789,1e-05
-28.5,304,358.0,-17.0,-0.047486,0.050178,1.3e-05
-28.0,445,524.0,-75.0,-0.14313,0.041996,2e-05
-27.5,665,782.0,-124.5,-0.159207,0.034478,2.9e-05
-27.0,825,974.0,-108.5,-0.111396,0.031178,3.7e-05
-26.5,1140,1371.0,-117.0,-0.085339,0.026101,5.1e-05
-26.0,2473,2918.0,-382.5,-0.131083,0.017834,0.00011
-25.5,2379,2845.0,-274.0,-0.096309,0.018071,0.000105
-25.0,3210,3810.0,-381.5,-0.100131,0.015659,0.000142
-24.5,4522,5315.0,-540.5,-0.101693,0.013318,0.0002
-24.0,6147,7269.0,-637.0,-0.087632,0.011401,0.000272
-23.5,8341,9809.0,-612.5,-0.062443,0.009856,0.00037
-23.0,10595,12432.0,-935.5,-0.075249,0.008733,0.00047
-22.5,14726,17246.0,-1363.5,-0.079062,0.007402,0.000653
-22.0,19175,22496.0,-1790.5,-0.079592,0.006486,0.00085
-21.5,26794,31358.0,-2155.5,-0.068738,0.005495,0.001188
-21.0,32531,37933.0,-2818.5,-0.074302,0.004992,0.001442
-20.5,43246,50461.0,-3808.5,-0.075474,0.004333,0.001917
-20.0,57702,67110.0,-4506.5,-0.067151,0.00376,0.002558
-19.5,76319,88618.0,-5592.5,-0.063108,0.003274,0.003383
-19.0,96054,111343.0,-7270.5,-0.065298,0.002922,0.004258
-18.5,123589,143411.0,-9093.5,-0.063409,0.002574,0.005479
-18.0,162156,187557.0,-11673.0,-0.062237,0.002252,0.007188
-17.5,192833,222733.0,-12307.5,-0.055257,0.002067,0.008548
-17.0,257121,296601.0,-16704.5,-0.05632,0.001792,0.011398
-16.5,337605,388929.0,-20835.0,-0.05357,0.001565,0.014966
-16.0,396080,455735.0,-24547.5,-0.053864,0.001447,0.017558
-15.5,518002,595506.0,-30020.0,-0.050411,0.001266,0.022962
-15.0,637917,732128.0,-34487.0,-0.047105,0.001142,0.028278
-14.5,812102,930976.0,-44053.5,-0.04732,0.001013,0.035999
-14.0,987611,1130669.0,-53266.0,-0.04711,0.000919,0.04378
-13.5,1197834,1368397.0,-59775.0,-0.043682,0.000836,0.053099
-13.0,1593856,1819241.0,-73826.5,-0.040581,0.000725,0.070654
-12.5,1854580,2113203.0,-80343.0,-0.03802,0.000673,0.082211
-12.0,2283008,2597090.0,-98275.0,-0.03784,0.000607,0.101203
-11.5,2775720,3154302.0,-114115.5,-0.036178,0.000551,0.123044
-11.0,3410938,3870917.0,-133463.0,-0.034478,0.000498,0.151203
-10.5,4101289,4649982.0,-149476.0,-0.032146,0.000454,0.181805
-10.0,5115150,5789864.0,-181289.0,-0.031311,0.000407,0.226748
-9.5,6058046,6849315.0,-202469.0,-0.02956,0.000374,0.268546
-9.0,7222140,8155363.0,-225789.0,-0.027686,0.000343,0.320149
