TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-29.5,1,1.000000,-1.000000,-1.000000,0.000000
-29.0,3,5.000000,-1.000000,-0.200000,0.438178
-28.5,6,6.000000,-2.000000,-0.333333,0.384900
-28.0,4,7.000000,-4.000000,-0.571429,0.187044
-27.5,16,17.000000,3.000000,0.176471,0.223766
-27.0,26,28.000000,-2.500000,-0.089286,0.189073
-26.5,33,38.000000,1.500000,0.039474,0.153876
-26.0,67,77.000000,5.000000,0.064935,0.111473
-25.5,86,101.000000,-16.000000,-0.158416,0.094431
-25.0,144,169.000000,-3.500000,-0.020710,0.075238
-24.5,220,258.000000,-1.500000,-0.005814,0.060945
-24.0,330,381.000000,-22.000000,-0.057743,0.050297
-23.5,531,625.000000,-3.500000,-0.005600,0.038987
-23.0,734,851.000000,-7.000000,-0.008226,0.033515
-22.5,1188,1392.000000,-22.500000,-0.016164,0.026149
-22.0,1654,1890.000000,-103.000000,-0.054497,0.022441
-21.5,2657,3081.000000,-73.500000,-0.023856,0.017594
-21.0,3822,4366.000000,-225.500000,-0.051649,0.014811
-20.5,5279,6016.000000,-370.000000,-0.061503,0.012604
-20.0,7915,8961.000000,-388.500000,-0.043355,0.010358
-19.5,11113,12691.000000,-617.500000,-0.048657,0.008686
-19.0,15410,17423.000000,-1036.500000,-0.059490,0.007397
-18.5,21874,24818.000000,-983.000000,-0.039608,0.006205
-18.0,31350,35620.000000,-1391.000000,-0.039051,0.005177
-17.5,44479,50492.000000,-2304.500000,-0.045641,0.004355
-17.0,56173,63941.000000,-2361.000000,-0.036925,0.003878
-16.5,81703,92484.000000,-3218.500000,-0.034801,0.003224
-16.0,109428,123951.000000,-4085.500000,-0.032961,0.002784
-15.5,145240,164397.000000,-5871.000000,-0.035712,0.002417
-15.0,200687,226728.000000,-8007.000000,-0.035315,0.002059
-14.5,263396,297963.000000,-10044.000000,-0.033709,0.001795
-14.0,352990,398382.000000,-12969.500000,-0.032555,0.001554
-13.5,463708,522521.000000,-16400.500000,-0.031387,0.001356
-13.0,596647,672183.000000,-20213.500000,-0.030071,0.001196
-12.5,791395,891482.000000,-24067.500000,-0.026997,0.001039
-12.0,1026931,1155475.000000,-30585.000000,-0.026470,0.000913
-11.5,1314806,1478386.000000,-38091.000000,-0.025765,0.000807
-11.0,1690400,1898874.000000,-48484.000000,-0.025533,0.000712
-10.5,2115324,2375136.000000,-56343.500000,-0.023722,0.000637
-10.0,2755604,3092446.000000,-68820.000000,-0.022254,0.000558
-9.5,3380140,3788563.000000,-81844.500000,-0.021603,0.000504
-9.0,4260239,4772843.000000,-102191.000000,-0.021411,0.000449
-8.5,5318195,5952401.000000,-116619.000000,-0.019592,0.000402
-8.0,6515501,7287309.000000,-139492.000000,-0.019142,0.000364
-7.5,8131350,9087551.000000,-159118.000000,-0.017509,0.000326
-7.0,9960055,11123654.000000,-193049.500000,-0.017355,0.000294
-6.5,12091659,13491782.000000,-225338.500000,-0.016702,0.000267
-6.0,14866638,16577244.000000,-253128.000000,-0.015270,0.000241
-5.5,17726172,19750835.000000,-300429.500000,-0.015211,0.000221
-5.0,21477027,23913111.000000,-333975.000000,-0.013966,0.000201
-4.5,26009970,28940460.000000,-360510.000000,-0.012457,0.000183
-4.0,31064650,34534925.000000,-409861.500000,-0.011868,0.000167
-3.5,37350499,41496191.000000,-469774.000000,-0.011321,0.000153
-3.0,43671472,48484658.000000,-512190.000000,-0.010564,0.000141
-2.5,52371965,58097321.000000,-543900.500000,-0.009362,0.000129
-2.0,62084390,68825400.000000,-590990.000000,-0.008587,0.000118
-1.5,73815723,81778946.000000,-640392.000000,-0.007831,0.000109
-1.0,87864448,97270227.000000,-684275.500000,-0.007035,0.000100
-0.5,99815813,110414623.000000,-692016.500000,-0.006267,0.000094
0.0,130689597,144482377.000000,-787813.500000,-0.005453,0.000082
0.5,95399591,105418351.000000,-501763.000000,-0.004760,0.000096
1.0,82225792,90887635.000000,-344412.500000,-0.003789,0.000103
1.5,69669243,77051674.000000,-205231.000000,-0.002664,0.000112
2.0,58695146,64871152.000000,-121023.500000,-0.001866,0.000122
2.5,49373832,54528943.000000,-75878.000000,-0.001392,0.000133
3.0,41121449,45378879.000000,-11036.000000,-0.000243,0.000146
3.5,35134210,38747699.000000,6237.500000,0.000161,0.000158
4.0,29183166,32159492.000000,33639.500000,0.001046,0.000174
4.5,24439530,26914946.000000,53926.500000,0.002004,0.000190
5.0,20121928,22144297.000000,73649.500000,0.003326,0.000209
5.5,16591867,18244633.000000,75243.000000,0.004124,0.000231
6.0,13889796,15264307.000000,68554.500000,0.004491,0.000252
6.5,11278301,12384977.000000,68857.500000,0.005560,0.000280
7.0,9273625,10178447.000000,61075.000000,0.006000,0.000309
7.5,7559740,8291353.000000,53881.000000,0.006498,0.000342
8.0,6069267,6641258.500000,47828.500000,0.007202,0.000383
8.5,5035585,5476858.500000,48233.000000,0.008807,0.000423
9.0,4090146,4409028.000000,42042.500000,0.009536,0.000473
9.5,3303437,3521216.500000,32280.500000,0.009167,0.000532
10.0,2718650,2881402.500000,29415.000000,0.010209,0.000590
10.5,2104474,2221140.500000,26220.000000,0.011805,0.000673
11.0,1677752,1776400.000000,22940.500000,0.012914,0.000753
11.5,1306159,1388018.000000,16381.000000,0.011802,0.000851
12.0,1016375,1078996.500000,17765.500000,0.016465,0.000966
12.5,783239,830986.500000,11421.500000,0.013745,0.001100
13.0,589412,624484.000000,10578.000000,0.016939,0.001269
13.5,458161,485460.500000,7923.500000,0.016322,0.001439
14.0,346807,367065.000000,7438.500000,0.020265,0.001656
14.5,258595,273626.500000,4816.500000,0.017602,0.001917
15.0,195475,206533.000000,4601.500000,0.022280,0.002209
15.5,141265,149314.000000,2414.000000,0.016167,0.002599
16.0,105725,111824.500000,3603.000000,0.032220,0.003001
16.5,78759,83228.500000,1601.500000,0.019242,0.003474
17.0,53902,56768.000000,1986.500000,0.034993,0.004208
17.5,42517,44769.500000,1237.000000,0.027630,0.004748
18.0,29496,31107.500000,1130.000000,0.036326,0.005697
18.5,20433,21490.500000,420.500000,0.019567,0.006862
19.0,14226,15024.500000,343.500000,0.022863,0.008187
19.5,10566,11078.500000,297.500000,0.026854,0.009570
20.0,7298,7640.000000,235.500000,0.030825,0.011481
20.5,4770,4997.500000,90.000000,0.018009,0.014182
21.0,3522,3661.000000,119.000000,0.032505,0.016560
21.5,2422,2519.000000,-67.000000,-0.026598,0.019961
22.0,1497,1567.500000,55.000000,0.035088,0.025419
22.5,1063,1111.500000,28.500000,0.025641,0.030477
23.0,722,754.000000,-2.000000,-0.002653,0.036369
23.5,457,474.500000,31.000000,0.065332,0.046087
24.0,293,311.000000,-19.000000,-0.061093,0.056347
24.5,163,171.000000,16.000000,0.093567,0.075403
25.0,132,136.000000,17.000000,0.125000,0.086573
25.5,78,81.000000,-6.000000,-0.074074,0.113524
26.0,54,54.500000,-7.500000,-0.137615,0.131315
26.5,33,31.500000,-4.500000,-0.142857,0.181278
27.0,32,33.500000,2.000000,0.059701,0.169863
27.5,21,21.000000,-4.000000,-0.190476,0.219451
28.0,10,9.500000,0.000000,-0.000000,0.328684
28.5,11,10.500000,7.000000,0.666667,0.283056
29.0,10,9.500000,6.000000,0.631579,0.256991
29.5,5,4.500000,2.000000,0.444444,0.489954
30.0,2,2.000000,0.500000,0.250000,0.883883
30.5,3,3.000000,3.500000,1.166667,0.136083
31.0,1,1.000000,1.000000,1.000000,0.000000
