TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-50.0,1,2.000000,2.000000,1.000000,0.000000
-45.5,1,1.000000,1.000000,1.000000,0.000000
-44.5,1,1.000000,0.000000,0.000000,0.000000
-44.0,2,4.000000,-4.000000,-1.000000,0.000000
-43.5,2,2.000000,-1.000000,-0.500000,0.353553
-43.0,4,4.000000,-4.000000,-1.000000,0.000000
-42.5,1,1.000000,-1.000000,-1.000000,0.000000
-42.0,11,15.000000,3.000000,0.200000,0.252982
-41.5,13,17.000000,-4.000000,-0.235294,0.228269
-41.0,17,20.000000,-3.000000,-0.150000,0.203408
-40.5,13,13.000000,-5.000000,-0.384615,0.231753
-40.0,22,28.000000,-4.500000,-0.160714,0.187378
-39.5,29,36.000000,-2.000000,-0.055556,0.161706
-39.0,37,42.000000,-1.500000,-0.035714,0.156486
-38.5,54,61.000000,-1.500000,-0.024590,0.128260
-38.0,88,107.000000,-2.500000,-0.023364,0.092609
-37.5,91,108.000000,-1.000000,-0.009259,0.097768
-37.0,128,152.000000,-26.000000,-0.171053,0.077997
-36.5,188,224.000000,-34.500000,-0.154018,0.064452
-36.0,211,252.000000,-50.000000,-0.198413,0.058534
-35.5,311,360.000000,-20.500000,-0.056944,0.052930
-35.0,407,476.000000,-27.500000,-0.057773,0.044325
-34.5,510,600.000000,-24.500000,-0.040833,0.039887
-34.0,759,896.000000,-113.000000,-0.126116,0.032524
-33.5,889,1022.000000,-147.000000,-0.143836,0.030315
-33.0,1127,1332.000000,-106.500000,-0.079955,0.026614
-32.5,1434,1671.000000,-141.000000,-0.084381,0.023987
-32.0,1883,2169.000000,-143.500000,-0.066160,0.020820
-31.5,2512,2926.000000,-235.500000,-0.080485,0.017967
-31.0,2969,3433.000000,-242.500000,-0.070638,0.016685
-30.5,3972,4589.000000,-282.000000,-0.061451,0.014373
-30.0,5251,6049.000000,-309.500000,-0.051165,0.012569
-29.5,6174,7176.000000,-556.500000,-0.077550,0.011521
-29.0,8310,9586.000000,-356.500000,-0.037190,0.009957
-28.5,10129,11665.000000,-700.000000,-0.060009,0.009074
-28.0,13387,15493.000000,-973.000000,-0.062803,0.007821
-27.5,15276,17641.000000,-895.000000,-0.050734,0.007351
-27.0,20578,23638.000000,-1199.000000,-0.050723,0.006350
-26.5,26188,30161.000000,-1802.500000,-0.059763,0.005629
-26.0,30703,35338.000000,-1746.000000,-0.049409,0.005193
-25.5,40469,46532.000000,-2665.000000,-0.057272,0.004526
-25.0,48960,56262.000000,-2952.500000,-0.052478,0.004116
-24.5,57721,66213.000000,-2995.500000,-0.045240,0.003799
-24.0,74668,85776.000000,-4287.500000,-0.049985,0.003336
-23.5,89539,102624.000000,-4816.500000,-0.046933,0.003053
-23.0,112966,129258.000000,-6507.500000,-0.050345,0.002717
-22.5,128935,147680.000000,-6447.000000,-0.043655,0.002545
-22.0,165462,189108.000000,-9761.000000,-0.051616,0.002249
-21.5,198127,226199.000000,-9601.500000,-0.042447,0.002055
-21.0,229223,261583.000000,-10728.000000,-0.041012,0.001914
-20.5,299870,342056.000000,-13088.500000,-0.038264,0.001673
-20.0,347713,396431.000000,-15857.000000,-0.039999,0.001554
-19.5,410499,467046.000000,-18057.000000,-0.038662,0.001433
-19.0,502769,571657.000000,-23238.500000,-0.040651,0.001295
-18.5,604441,686612.000000,-24329.000000,-0.035433,0.001181
-18.0,714776,812294.000000,-30589.000000,-0.037658,0.001086
-17.5,796937,904680.000000,-31172.500000,-0.034457,0.001030
-17.0,1050195,1191014.000000,-42631.500000,-0.035794,0.000897
-16.5,1202312,1361792.000000,-45099.500000,-0.033118,0.000839
-16.0,1363013,1542630.000000,-50128.000000,-0.032495,0.000789
-15.5,1661918,1880004.000000,-59919.500000,-0.031872,0.000714
-15.0,1940114,2193479.000000,-63714.000000,-0.029047,0.000662
-14.5,2235119,2524787.000000,-73287.000000,-0.029027,0.000617
-14.0,2683020,3027795.000000,-83760.000000,-0.027664,0.000563
-13.5,3065059,3455793.000000,-93332.500000,-0.027008,0.000527
-13.0,3618818,4077370.000000,-109290.000000,-0.026804,0.000485
-12.5,4221484,4753297.000000,-118887.000000,-0.025011,0.000450
-12.0,4875684,5486052.000000,-135370.000000,-0.024675,0.000419
-11.5,5649066,6350263.000000,-143504.500000,-0.022598,0.000389
-11.0,6500874,7305361.000000,-162106.500000,-0.022190,0.000363
-10.5,7668027,8607918.000000,-184163.000000,-0.021395,0.000334
-10.0,8794962,9864582.000000,-199487.000000,-0.020223,0.000312
-9.5,9991597,11195462.000000,-218346.500000,-0.019503,0.000293
-9.0,11650727,13051579.000000,-242169.500000,-0.018555,0.000272
