TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-60.0,1,1.0,1.0,1.0,0.0,0.0
-57.5,1,1.0,-1.0,-1.0,0.0,0.0
-57.0,1,1.0,-1.0,-1.0,0.0,0.0
-56.0,3,3.0,3.0,1.0,0.0,0.0
-55.5,1,1.0,-1.0,-1.0,0.0,0.0
-55.0,3,3.0,-3.0,-1.0,0.0,0.0
-54.5,3,4.0,2.0,0.5,0.433013,0.0
-54.0,2,3.0,-3.0,-1.0,0.0,0.0
-53.5,3,3.0,-1.0,-0.333333,0.544331,0.0
-53.0,4,4.0,4.5,1.125,0.108253,0.0
-52.5,7,9.0,3.0,0.333333,0.272166,0.0
-52.0,9,11.0,1.0,0.090909,0.271346,0.0
-51.5,5,7.0,-1.0,-0.142857,0.314842,0.0
-51.0,9,10.0,-2.0,-0.2,0.309839,0.0
-50.5,14,16.0,-2.0,-0.125,0.248039,1e-06
-50.0,20,24.0,-4.0,-0.166667,0.19245,1e-06
-49.5,18,20.0,-1.0,-0.05,0.205852,1e-06
-49.0,26,31.0,-4.0,-0.129032,0.175158,1e-06
-48.5,41,55.0,-6.0,-0.109091,0.132796,2e-06
-48.0,37,45.0,1.0,0.022222,0.142253,2e-06
-47.5,43,50.0,-7.5,-0.15,0.132853,2e-06
-47.0,79,96.0,-18.5,-0.192708,0.096984,4e-06
-46.5,88,106.0,-14.0,-0.132075,0.095814,4e-06
-46.0,134,162.0,-15.0,-0.092593,0.07487,6e-06
-45.5,150,177.0,-14.0,-0.079096,0.07144,7e-06
-45.0,165,194.0,-28.5,-0.146907,0.069073,7e-06
-44.5,209,250.0,4.5,0.018,0.061925,9e-06
-44.0,288,335.0,-67.0,-0.2,0.052693,1.3e-05
-43.5,402,470.0,-47.0,-0.1,0.044696,1.8e-05
-43.0,394,464.0,-21.5,-0.046336,0.04473,1.7e-05
-42.5,511,587.0,-85.5,-0.145656,0.039963,2.3e-05
-42.0,713,851.0,-90.5,-0.106345,0.033426,3.2e-05
-41.5,810,965.0,-55.0,-0.056995,0.031284,3.6e-05
-41.0,980,1160.0,-134.0,-0.115517,0.028383,4.3e-05
-40.5,1171,1367.0,-113.5,-0.083029,0.026359,5.2e-05
-40.0,1514,1777.0,-204.0,-0.1148,0.022679,6.7e-05
-39.5,1685,1971.0,-325.5,-0.165145,0.021825,7.5e-05
-39.0,2580,3027.0,-256.5,-0.084737,0.017514,0.000114
-38.5,2689,3133.0,-203.5,-0.064954,0.017363,0.000119
-38.0,3218,3756.0,-327.0,-0.087061,0.015893,0.000143
-37.5,4115,4858.0,-350.5,-0.072149,0.014012,0.000183
-37.0,4770,5631.0,-478.5,-0.084976,0.01296,0.000212
-36.5,5869,6868.0,-547.5,-0.079718,0.011731,0.00026
-36.0,7346,8606.0,-606.5,-0.070474,0.010492,0.000326
-35.5,8449,9862.0,-736.5,-0.074681,0.009818,0.000375
-35.0,10172,11920.0,-1061.5,-0.089052,0.008899,0.000451
-34.5,11296,13252.0,-1064.5,-0.080327,0.008429,0.000501
-34.0,14864,17326.0,-1366.5,-0.07887,0.0074,0.000659
-33.5,17324,20211.0,-1562.0,-0.077285,0.006851,0.000768
-33.0,20260,23594.0,-1849.0,-0.078367,0.00633,0.000899
-32.5,25387,29470.0,-2021.5,-0.068595,0.005677,0.001126
-32.0,29644,34469.0,-2177.5,-0.063173,0.005251,0.001315
-31.5,34259,39804.0,-2252.0,-0.056577,0.004881,0.001519
-31.0,39178,45435.0,-2760.0,-0.060746,0.004576,0.001738
-30.5,49154,57024.0,-4239.0,-0.074337,0.004085,0.00218
-30.0,56034,64830.0,-5433.0,-0.083804,0.003825,0.002485
-29.5,63842,73911.0,-4585.5,-0.062041,0.003582,0.002831
-29.0,77608,89611.0,-5405.5,-0.060322,0.003262,0.003442
-28.5,91550,105669.0,-6194.0,-0.058617,0.003004,0.00406
-28.0,105440,121809.0,-7347.0,-0.060316,0.002796,0.004676
-27.5,122661,141556.0,-8179.5,-0.057783,0.002596,0.00544
-27.0,139848,161141.0,-8716.0,-0.054089,0.002433,0.006202
-26.5,152715,176031.0,-9861.0,-0.056019,0.002329,0.006773
-26.0,246511,283836.0,-14569.5,-0.051331,0.001833,0.010933
