TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-45.5,1,1.0,1.0,1.0,0.0,0.0
-42.5,1,1.0,0.0,0.0,0.0,0.0
-42.0,1,1.0,-1.0,-1.0,0.0,0.0
-41.5,1,1.0,-1.0,-1.0,0.0,0.0
-41.0,5,6.0,-1.0,-0.166667,0.366414,0.0
-40.5,2,2.0,2.0,1.0,0.0,0.0
-40.0,3,3.0,-1.0,-0.333333,0.544331,0.0
-39.5,7,7.0,0.0,0.0,0.349927,0.0
-39.0,11,14.0,-7.0,-0.5,0.220158,1e-06
-38.5,13,16.0,0.0,-0.0,0.25,1e-06
-38.0,18,22.0,-9.0,-0.409091,0.18916,1e-06
-37.5,25,32.0,-7.5,-0.234375,0.175368,2e-06
-37.0,21,22.0,-4.0,-0.181818,0.177638,1e-06
-36.5,45,49.0,-5.0,-0.102041,0.141377,3e-06
-36.0,64,75.0,-8.0,-0.106667,0.113644,4e-06
-35.5,80,94.0,-13.0,-0.138298,0.098197,5e-06
-35.0,117,134.0,-3.0,-0.022388,0.084078,7e-06
-34.5,156,177.0,-32.5,-0.183616,0.072193,9e-06
-34.0,198,224.0,-36.5,-0.162946,0.063732,1.2e-05
-33.5,276,311.0,-45.0,-0.144695,0.054709,1.7e-05
-33.0,382,446.0,-57.0,-0.127803,0.045715,2.3e-05
-32.5,512,589.0,-59.0,-0.10017,0.040109,3.1e-05
-32.0,687,792.0,-12.0,-0.015152,0.034366,4.2e-05
-31.5,911,1056.0,-15.5,-0.014678,0.030081,5.5e-05
-31.0,1211,1387.0,-158.0,-0.113915,0.025955,7.3e-05
-30.5,1576,1802.0,6.0,0.00333,0.023005,9.5e-05
-30.0,2097,2405.0,-139.5,-0.058004,0.019752,0.000127
-29.5,2876,3299.0,-206.5,-0.062595,0.016916,0.000174
-29.0,3478,3951.0,-233.0,-0.058972,0.015491,0.00021
-28.5,4581,5288.0,-304.5,-0.057583,0.01342,0.000277
-28.0,6076,6960.0,-249.0,-0.035776,0.011693,0.000367
-27.5,7452,8522.0,-478.5,-0.056149,0.010535,0.000451
-27.0,10266,11750.0,-521.0,-0.04434,0.008976,0.000621
-26.5,13272,15098.0,-654.5,-0.04335,0.00794,0.000803
-26.0,14753,16839.0,-558.5,-0.033167,0.007518,0.000892
-25.5,21088,24079.0,-875.0,-0.036339,0.006273,0.001275
-25.0,26903,30669.0,-1328.0,-0.043301,0.005567,0.001627
-24.5,32185,36768.0,-1915.5,-0.052097,0.005075,0.001946
-24.0,41855,47711.0,-1710.5,-0.035851,0.004459,0.002531
-23.5,51482,58689.0,-2638.0,-0.044949,0.004019,0.003113
-23.0,64827,73584.0,-3460.5,-0.047028,0.003589,0.00392
-22.5,80005,90760.0,-3706.5,-0.040838,0.003239,0.004838
-22.0,100859,114530.0,-4398.0,-0.0384,0.002883,0.006099
-21.5,123748,140548.0,-5076.0,-0.036116,0.002604,0.007484
-21.0,149897,170345.0,-6492.0,-0.038111,0.002364,0.009065
-20.5,191829,217654.0,-8316.0,-0.038207,0.00209,0.011601
-20.0,229529,260030.0,-9347.0,-0.035946,0.001914,0.013881
-19.5,282859,320471.0,-10231.0,-0.031925,0.001724,0.017106
-19.0,340562,385803.0,-12313.0,-0.031915,0.001572,0.020595
-18.5,414677,469211.0,-15539.5,-0.033118,0.001426,0.025077
-18.0,507815,574323.0,-18375.5,-0.031995,0.001289,0.03071
-17.5,603103,681130.0,-22022.0,-0.032332,0.001183,0.036472
-17.0,731923,826494.0,-25292.5,-0.030602,0.001075,0.044263
-16.5,892099,1006289.0,-28196.5,-0.02802,0.000974,0.053949
-16.0,1047428,1181061.0,-33783.0,-0.028604,0.000899,0.063343
-15.5,1242551,1400682.0,-39132.0,-0.027938,0.000826,0.075143
-15.0,1501504,1691560.0,-46993.0,-0.027781,0.000752,0.090803
-14.5,1781915,2006358.0,-51601.0,-0.025719,0.00069,0.107761
-14.0,2108897,2372309.0,-61122.0,-0.025765,0.000635,0.127535
-13.5,2496804,2806877.0,-71032.0,-0.025306,0.000584,0.150993
-13.0,2887504,3243933.0,-80077.0,-0.024685,0.000543,0.174621
-12.5,3458423,3883007.0,-88899.0,-0.022894,0.000497,0.209147
-12.0,4032733,4523464.0,-99837.5,-0.022071,0.00046,0.243878
-11.5,4716441,5288916.0,-113688.5,-0.021496,0.000426,0.285225
-11.0,5510830,6172749.0,-126907.0,-0.020559,0.000394,0.333266
-10.5,6351689,7111055.0,-138688.5,-0.019503,0.000367,0.384116
-10.0,7521082,8416825.0,-162622.5,-0.019321,0.000338,0.454835
-9.5,8573570,9588272.0,-172995.5,-0.018042,0.000316,0.518484
-9.0,9980717,11155237.0,-191954.0,-0.017208,0.000293,0.603581
-8.5,11538972,12887716.0,-208269.5,-0.01616,0.000273,0.697815
-8.0,13203372,14739138.0,-230526.0,-0.01564,0.000255,0.79847
-7.5,15341113,17112648.0,-256942.0,-0.015015,0.000237,0.927749
-7.0,17619739,19644598.0,-281119.0,-0.01431,0.000221,1.065548
-6.5,20154251,22453069.0,-303796.0,-0.01353,0.000207,1.218822
-6.0,23236988,25874381.0,-331806.5,-0.012824,0.000193,1.405249
-5.5,26357953,29329871.0,-345829.0,-0.011791,0.000181,1.593988
-5.0,30222504,33612218.0,-366470.0,-0.010903,0.000169,1.827696
-4.5,34692151,38559404.0,-398184.0,-0.010327,0.000158,2.097996
-4.0,39514673,43892332.0,-420380.0,-0.009578,0.000148,2.389637
-3.5,45343119,50336413.0,-438216.5,-0.008706,0.000138,2.74211
-3.0,50903134,56472528.0,-451826.5,-0.008001,0.000131,3.07835
-2.5,58429019,64784947.0,-476731.5,-0.007359,0.000122,3.533475
-2.0,66647294,73856650.0,-501092.0,-0.006785,0.000114,4.030473
-1.5,76642969,84881388.0,-502521.0,-0.00592,0.000107,4.634958
-1.0,87468062,96811537.0,-502054.0,-0.005186,0.0001,5.289602
-0.5,94836224,104909049.0,-448383.0,-0.004274,9.6e-05,5.735189
0.0,126519676,139878956.0,-512742.5,-0.003666,8.3e-05,7.651235
0.5,92063889,101734177.0,-296630.0,-0.002916,9.7e-05,5.567533
1.0,82841798,91532756.0,-186269.0,-0.002035,0.000103,5.00983
1.5,72923909,80633686.0,-122526.5,-0.00152,0.00011,4.410049
2.0,63879761,70627823.0,-61286.0,-0.000868,0.000117,3.863107
2.5,55860640,61724674.0,5439.5,8.8e-05,0.000125,3.378154
3.0,48622638,53695107.0,50544.0,0.000941,0.000134,2.940438
3.5,43304286,47793494.0,84015.5,0.001758,0.000142,2.618812
4.0,37710336,41593261.0,94443.5,0.002271,0.000153,2.28052
4.5,33100502,36488339.0,124445.5,0.003411,0.000163,2.001742
5.0,28807491,31735524.0,117534.0,0.003704,0.000175,1.742123
5.5,25135541,27670312.0,126487.5,0.004571,0.000187,1.520063
6.0,22135652,24353405.0,127696.0,0.005243,0.0002,1.338646
6.5,19181349,21091446.0,127836.0,0.006061,0.000215,1.159986
7.0,16763754,18422531.0,118143.5,0.006413,0.00023,1.013782
7.5,14568883,16001225.0,125836.0,0.007864,0.000247,0.881048
8.0,12542152,13773231.0,114858.5,0.008339,0.000266,0.758482
8.5,10939357,12016148.0,108071.5,0.008994,0.000285,0.661554
9.0,9456014,10420699.0,100681.0,0.009662,0.000306,0.571849
9.5,8115863,8972920.0,95856.0,0.010683,0.000329,0.490804
10.0,7110076,7881262.5,89201.5,0.011318,0.000351,0.429979
10.5,6026873,6663852.5,80672.5,0.012106,0.000383,0.364473
11.0,5299049,5824410.0,73054.5,0.012543,0.00041,0.320458
11.5,4571404,4996816.0,60240.5,0.012056,0.000444,0.276454
12.0,3975978,4301513.5,57033.0,0.013259,0.000481,0.240446
12.5,3459479,3707747.0,49088.0,0.013239,0.00052,0.209211
13.0,2918653,3110398.0,48446.0,0.015575,0.000569,0.176505
13.5,2535713,2690111.5,44360.5,0.01649,0.000613,0.153346
14.0,2152347,2273571.5,38081.0,0.016749,0.000668,0.130162
14.5,1824186,1925742.0,34335.0,0.017829,0.000726,0.110317
15.0,1537193,1620772.0,28517.0,0.017595,0.000792,0.092961
15.5,1268090,1336129.0,24825.5,0.01858,0.000873,0.076687
16.0,1068494,1124676.0,22660.0,0.020148,0.000951,0.064617
16.5,909822,957425.5,21780.5,0.022749,0.001031,0.055021
17.0,746935,785564.5,17212.5,0.021911,0.001138,0.045171
17.5,614970,645335.5,14372.0,0.022271,0.001257,0.03719
18.0,516310,541775.5,13240.5,0.024439,0.001372,0.031224
18.5,421168,441638.5,10488.5,0.023749,0.00152,0.02547
19.0,346431,363345.0,9663.0,0.026595,0.001676,0.02095
19.5,287005,300759.5,7343.5,0.024417,0.001842,0.017357
20.0,232796,243762.0,6023.0,0.024709,0.002048,0.014078
20.5,194039,202924.0,5617.5,0.027683,0.002244,0.011734
21.0,152678,159548.5,4128.5,0.025876,0.002534,0.009233
21.5,125438,130969.0,3397.5,0.025941,0.002795,0.007586
22.0,101476,105986.5,2574.5,0.024291,0.003109,0.006137
22.5,81600,84995.0,2470.5,0.029066,0.003478,0.004935
23.0,64921,67711.5,1901.0,0.028075,0.003892,0.003926
23.5,51851,54102.0,1828.5,0.033797,0.00435,0.003136
24.0,42375,44166.5,1844.5,0.041762,0.004824,0.002563
24.5,32400,33548.0,1057.5,0.031522,0.005535,0.001959
25.0,27272,28364.0,1269.0,0.04474,0.006018,0.001649
25.5,21416,22318.5,722.5,0.032372,0.006804,0.001295
26.0,14666,15257.0,488.5,0.032018,0.008222,0.000887
26.5,13323,13817.5,433.0,0.031337,0.008622,0.000806
27.0,10298,10654.5,309.0,0.029002,0.009822,0.000623
27.5,7279,7544.0,371.5,0.049244,0.011746,0.00044
28.0,6221,6394.0,203.0,0.031749,0.012681,0.000376
28.5,4455,4585.0,246.0,0.053653,0.015046,0.000269
29.0,3341,3480.5,115.0,0.033041,0.017109,0.000202
29.5,2794,2894.5,25.0,0.008637,0.018827,0.000169
30.0,2083,2148.0,85.0,0.039572,0.021952,0.000126
30.5,1628,1671.0,73.0,0.043686,0.025165,9.8e-05
31.0,1221,1244.0,39.5,0.031752,0.028706,7.4e-05
31.5,931,966.5,18.5,0.019141,0.032746,5.6e-05
32.0,709,718.5,59.0,0.082116,0.037692,4.3e-05
32.5,571,588.0,-19.5,-0.033163,0.041427,3.5e-05
33.0,363,365.5,32.0,0.087551,0.05333,2.2e-05
33.5,283,283.5,-10.0,-0.035273,0.061415,1.7e-05
34.0,257,260.5,33.5,0.128599,0.064514,1.6e-05
34.5,150,156.0,18.5,0.11859,0.081162,9e-06
35.0,127,126.5,9.5,0.075099,0.093714,8e-06
35.5,82,85.0,6.5,0.076471,0.107988,5e-06
36.0,45,48.0,7.0,0.145833,0.144682,3e-06
36.5,39,42.0,-8.0,-0.190476,0.146726,2e-06
37.0,43,48.0,2.0,0.041667,0.147559,3e-06
37.5,37,37.5,3.0,0.08,0.170249,2e-06
38.0,22,25.0,0.0,0.0,0.198997,1e-06
38.5,18,17.5,6.5,0.371429,0.20671,1e-06
39.0,9,10.5,2.5,0.238095,0.284199,1e-06
39.5,11,10.5,1.5,0.142857,0.326956,1e-06
40.0,6,5.5,1.0,0.181818,0.438562,0.0
40.5,6,5.5,0.5,0.090909,0.520792,0.0
41.0,3,3.5,2.0,0.571429,0.561132,0.0
41.5,1,1.0,1.0,1.0,0.0,0.0
42.0,1,1.0,1.0,1.0,0.0,0.0
42.5,1,1.0,-1.0,-1.0,0.0,0.0
43.5,3,2.5,-2.5,-1.0,0.0,0.0
44.0,2,2.0,2.0,1.0,0.0,0.0
