TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-60.5,1,1.0,-1.0,-1.0,0.0,0.0
-60.0,1,2.0,-2.0,-1.0,0.0,0.0
-59.0,1,1.0,0.0,0.0,0.0,0.0
-58.0,3,3.0,-3.0,-1.0,0.0,0.0
-57.0,2,2.0,-2.0,-1.0,0.0,0.0
-56.5,3,3.0,-3.0,-1.0,0.0,0.0
-56.0,3,4.0,-2.0,-0.5,0.433013,0.0
-55.5,4,4.0,-1.0,-0.25,0.414578,0.0
-55.0,1,1.0,1.0,1.0,0.0,0.0
-54.5,4,4.0,-1.0,-0.25,0.414578,0.0
-54.0,5,8.0,-3.0,-0.375,0.30298,0.0
-53.5,5,5.0,3.0,0.6,0.219089,0.0
-53.0,14,16.0,-2.0,-0.125,0.231756,1e-06
-52.5,11,13.0,4.5,0.346154,0.263031,1e-06
-52.0,19,25.0,6.0,0.24,0.189989,1e-06
-51.5,16,17.0,-1.5,-0.088235,0.243373,1e-06
-51.0,44,51.0,-16.0,-0.313725,0.128548,2e-06
-50.5,20,22.0,2.0,0.090909,0.212318,1e-06
-50.0,32,36.0,-11.0,-0.305556,0.151227,2e-06
-49.5,49,56.0,-7.0,-0.125,0.130766,2e-06
-49.0,57,70.0,-30.0,-0.428571,0.098087,3e-06
-48.5,78,90.0,0.0,0.0,0.103935,4e-06
-48.0,90,108.0,-6.5,-0.060185,0.090655,4e-06
-47.5,91,107.0,-2.5,-0.023364,0.09676,4e-06
-47.0,141,166.0,-15.5,-0.093373,0.07224,7e-06
-46.5,195,220.0,-6.5,-0.029545,0.067122,9e-06
-46.0,192,245.0,-27.5,-0.112245,0.061923,9e-06
-45.5,259,319.0,-45.0,-0.141066,0.054038,1.2e-05
-45.0,295,339.0,-43.5,-0.128319,0.052161,1.4e-05
-44.5,410,468.0,-57.0,-0.121795,0.04444,2e-05
-44.0,520,610.0,-73.0,-0.119672,0.038577,2.5e-05
-43.5,592,694.0,-43.5,-0.06268,0.036723,2.8e-05
-43.0,719,843.0,-83.0,-0.098458,0.0332,3.4e-05
-42.5,863,1014.0,-97.5,-0.096154,0.030514,4.1e-05
-42.0,1115,1296.0,-161.0,-0.124228,0.026657,5.3e-05
-41.5,1344,1577.0,-127.5,-0.08085,0.024129,6.4e-05
-41.0,1573,1833.0,-194.5,-0.10611,0.022567,7.5e-05
-40.5,1887,2198.0,-190.0,-0.086442,0.020687,9e-05
-40.0,2280,2647.0,-166.5,-0.062901,0.018858,0.000109
-39.5,2945,3444.0,-272.5,-0.079123,0.016556,0.00014
-39.0,3465,4016.0,-277.5,-0.069099,0.01523,0.000165
-38.5,4322,5044.0,-388.5,-0.077022,0.013672,0.000206
-38.0,4740,5495.0,-424.5,-0.077252,0.013076,0.000226
-37.5,6041,7023.0,-394.0,-0.056101,0.011587,0.000288
-37.0,6952,8095.0,-680.0,-0.084002,0.010777,0.000331
-36.5,8704,10133.0,-755.5,-0.074558,0.009633,0.000415
-36.0,10666,12313.0,-813.5,-0.066068,0.008738,0.000508
-35.5,11655,13532.0,-1007.0,-0.074416,0.008336,0.000555
-35.0,15149,17546.0,-1280.0,-0.072951,0.00731,0.000722
-34.5,17602,20350.0,-1428.0,-0.070172,0.006798,0.000838
-34.0,19361,22398.0,-1549.0,-0.069158,0.006486,0.000922
-33.5,25209,29173.0,-1878.5,-0.064392,0.005683,0.001201
-33.0,28623,33034.0,-1872.5,-0.056684,0.005351,0.001363
-32.5,32109,37037.0,-2680.5,-0.072374,0.00505,0.001529
-32.0,40418,46594.0,-2235.5,-0.047978,0.004513,0.001925
-31.5,46867,53877.0,-3138.0,-0.058244,0.00419,0.002232
-31.0,53370,61307.0,-3702.0,-0.060385,0.003928,0.002542
-30.5,63683,73107.0,-4245.5,-0.058072,0.003597,0.003033
-30.0,74761,85878.0,-4843.5,-0.0564,0.003315,0.003561
-29.5,85690,98444.0,-5722.5,-0.058129,0.003097,0.004082
-29.0,101669,116655.0,-6478.5,-0.055536,0.002851,0.004843
-28.5,120442,138047.0,-7968.0,-0.057719,0.002618,0.005737
-28.0,137463,157125.0,-7851.5,-0.04997,0.002455,0.006548
-27.5,151691,173608.0,-9386.5,-0.054067,0.002336,0.007225
-27.0,190418,217914.0,-11450.0,-0.052544,0.002086,0.00907
-26.5,199179,227608.0,-11421.0,-0.050178,0.00204,0.009487
-26.0,264853,302721.0,-14591.0,-0.048199,0.00177,0.012616
-25.5,266905,304969.0,-14407.0,-0.047241,0.001764,0.012713
-25.0,337210,384839.0,-17543.0,-0.045585,0.001571,0.016062
-24.5,362031,412797.0,-19502.0,-0.047244,0.001517,0.017244
-24.0,432162,492551.0,-22603.0,-0.04589,0.001389,0.020585
-23.5,499512,569272.0,-25784.0,-0.045293,0.001292,0.023793
-23.0,578703,658606.0,-29310.0,-0.044503,0.001202,0.027565
-22.5,623334,709210.0,-28971.5,-0.04085,0.001158,0.029691
-22.0,747337,849009.0,-34899.0,-0.041106,0.001058,0.035597
-21.5,837584,951174.0,-38314.0,-0.040281,0.001,0.039896
-21.0,932084,1057811.0,-41497.0,-0.039229,0.000949,0.044397
-20.5,1102912,1250932.0,-50180.5,-0.040114,0.000873,0.052534
-20.0,1248852,1415026.0,-54892.0,-0.038792,0.000821,0.059485
-19.5,1375594,1558514.0,-55959.5,-0.035906,0.000782,0.065522
-19.0,1588397,1798815.0,-65406.5,-0.036361,0.000728,0.075659
-18.5,1824958,2064142.0,-71673.5,-0.034723,0.00068,0.086927
-18.0,1978448,2236444.0,-77046.5,-0.03445,0.000653,0.094238
-17.5,2236478,2527614.0,-85381.5,-0.033779,0.000614,0.106528
-17.0,2673436,3019487.0,-99701.0,-0.033019,0.000562,0.127341
-16.5,2965253,3344376.0,-107704.5,-0.032205,0.000534,0.141241
-16.0,3221698,3632360.0,-107450.0,-0.029581,0.000513,0.153456
-15.5,3705872,4175950.0,-123908.5,-0.029672,0.000478,0.176518
-15.0,4138965,4660327.0,-135871.5,-0.029155,0.000453,0.197148
-14.5,4639250,5221012.0,-149122.0,-0.028562,0.000428,0.220977
