TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-52.0,1,1.0,-1.0,-1.0,0.0,0.0
-51.0,1,1.0,-1.0,-1.0,0.0,0.0
-50.0,4,5.0,-1.0,-0.2,0.438178,0.0
-49.0,2,2.0,2.0,1.0,0.0,0.0
-48.5,2,2.0,0.0,0.0,0.707107,0.0
-48.0,5,5.0,-1.0,-0.2,0.438178,0.0
-47.5,9,10.0,-2.0,-0.2,0.309839,1e-06
-47.0,6,7.0,-5.0,-0.714286,0.26452,0.0
-46.5,13,18.0,-1.0,-0.055556,0.228687,1e-06
-46.0,6,8.0,4.0,0.5,0.306186,0.0
-45.5,27,32.0,-4.0,-0.125,0.169731,2e-06
-45.0,1,1.0,1.0,1.0,0.0,0.0
-44.5,54,66.0,-12.0,-0.181818,0.117185,3e-06
-44.0,7,7.0,-3.0,-0.428571,0.275321,0.0
-43.5,47,58.0,-9.0,-0.155172,0.126232,3e-06
-43.0,78,92.0,11.0,0.119565,0.094562,5e-06
-42.5,90,110.0,-16.5,-0.15,0.090807,5e-06
-42.0,108,132.0,-24.0,-0.181818,0.08338,6e-06
-41.5,99,120.0,-41.0,-0.341667,0.083538,6e-06
-41.0,315,388.0,-50.5,-0.130155,0.048298,1.8e-05
-40.5,163,197.0,-29.5,-0.149746,0.066347,1e-05
-40.0,486,585.0,-95.0,-0.162393,0.039226,2.8e-05
-39.5,235,290.0,-28.5,-0.098276,0.05723,1.4e-05
-39.0,390,487.0,-58.5,-0.120123,0.042838,2.3e-05
-38.5,695,855.0,-207.0,-0.242105,0.031771,4.1e-05
-38.0,776,945.0,-81.0,-0.085714,0.031401,4.5e-05
-37.5,1207,1448.0,-198.5,-0.137086,0.025101,7.1e-05
-37.0,1267,1533.0,-176.5,-0.115134,0.024701,7.4e-05
-36.5,1853,2239.0,-328.0,-0.146494,0.020217,0.000108
-36.0,2012,2427.0,-340.5,-0.140297,0.019381,0.000118
-35.5,3189,3838.0,-635.5,-0.165581,0.015391,0.000187
-35.0,1636,1936.0,-327.0,-0.168905,0.02156,9.6e-05
-34.5,6468,7694.0,-963.0,-0.125162,0.010973,0.000378
-34.0,2812,3408.0,-347.5,-0.101966,0.016527,0.000164
