TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-15.5,2,2.0,2.0,1.0,0.0,0.0
-15.0,3,4.0,-4.0,-1.0,0.0,0.0
-14.5,6,6.0,-3.0,-0.5,0.311805,1e-06
-14.0,19,22.0,3.0,0.136364,0.20626,2e-06
-13.5,46,54.0,-4.0,-0.074074,0.127903,5e-06
-13.0,106,120.0,-11.0,-0.091667,0.087794,1.2e-05
-12.5,305,347.0,-5.0,-0.014409,0.052741,3.4e-05
-12.0,666,752.0,-38.5,-0.051197,0.035837,7.3e-05
-11.5,1468,1659.0,-96.5,-0.058168,0.023915,0.000161
-11.0,3297,3715.0,-104.0,-0.027995,0.016026,0.000363
-10.5,7128,8079.0,-455.5,-0.056381,0.010896,0.000784
-10.0,14614,16551.0,-476.5,-0.02879,0.007599,0.001608
-9.5,28455,32122.0,-692.5,-0.021558,0.005461,0.00313
-9.0,56373,63580.0,-1860.5,-0.029262,0.003883,0.006201
-8.5,106318,119675.0,-3263.0,-0.027266,0.002826,0.011695
-8.0,195448,219696.0,-4911.5,-0.022356,0.002087,0.0215
-7.5,353527,396738.0,-7685.0,-0.01937,0.001554,0.038889
-7.0,598960,671857.0,-13584.0,-0.020219,0.001194,0.065887
-6.5,1023728,1146898.0,-22629.0,-0.019731,0.000915,0.112612
-6.0,1719897,1924802.0,-37163.0,-0.019307,0.000706,0.189193
-5.5,2785187,3114262.0,-55754.0,-0.017903,0.000555,0.306377
-5.0,4384821,4897419.0,-78813.0,-0.016093,0.000443,0.482341
-4.5,6729501,7507677.0,-113487.0,-0.015116,0.000358,0.740261
-4.0,10159301,11323464.0,-156770.5,-0.013845,0.000291,1.117547
-3.5,15420582,17169582.0,-205271.0,-0.011956,0.000237,1.6963
-3.0,21959871,24427016.0,-266396.0,-0.010906,0.000199,2.415638
-2.5,31256573,34728646.0,-347844.5,-0.010016,0.000167,3.438297
-2.0,43770124,48586325.0,-413634.0,-0.008513,0.000141,4.814817
-1.5,59883935,66405213.0,-484524.5,-0.007296,0.00012,6.587374
-1.0,84677138,93798251.0,-583936.5,-0.006225,0.000101,9.314685
-0.5,113904192,126042424.0,-625964.0,-0.004966,8.8e-05,12.52973
0.0,137941785,152495174.0,-586278.0,-0.003845,8e-05,15.173922
0.5,107862481,119146542.0,-319350.5,-0.00268,9e-05,11.865128
1.0,78817170,87123367.0,-125679.0,-0.001443,0.000105,8.670075
1.5,56008092,61890280.0,5852.0,9.5e-05,0.000125,6.161022
2.0,40696622,44921494.0,50210.5,0.001118,0.000147,4.476725
2.5,28956193,31933012.0,66126.5,0.002071,0.000174,3.18525
3.0,20233889,22291555.0,77717.0,0.003486,0.000209,2.225776
3.5,14100511,15518501.0,73954.5,0.004766,0.00025,1.55109
4.0,9220228,10136763.0,60242.5,0.005943,0.00031,1.014247
4.5,6059649,6655570.0,47997.0,0.007212,0.000382,0.666576
5.0,3921238,4303933.0,31549.0,0.00733,0.000475,0.431345
5.5,2477364,2730109.5,24923.0,0.009129,0.000597,0.272516
6.0,1539923,1690740.5,17800.0,0.010528,0.000761,0.169395
6.5,937777,1012100.5,10984.5,0.010853,0.000992,0.103158
7.0,555717,592239.0,10511.0,0.017748,0.001305,0.06113
7.5,327897,347377.0,5555.0,0.015991,0.001708,0.036069
8.0,178802,188913.5,2921.5,0.015465,0.002316,0.019669
8.5,95657,101052.5,1895.0,0.018753,0.003168,0.010522
9.0,50076,52832.5,1118.5,0.021171,0.004386,0.005508
9.5,24782,26118.5,411.0,0.015736,0.006228,0.002726
10.0,12649,13353.5,178.5,0.013367,0.008727,0.001391
10.5,6107,6413.0,225.5,0.035163,0.012575,0.000672
11.0,2962,3128.0,39.5,0.012628,0.018119,0.000326
11.5,1289,1358.5,25.0,0.018403,0.027293,0.000142
12.0,549,582.5,-9.5,-0.016309,0.041993,6e-05
12.5,243,260.0,8.5,0.032692,0.063517,2.7e-05
13.0,83,87.0,6.0,0.068966,0.108031,9e-06
13.5,35,35.0,11.5,0.328571,0.168357,4e-06
14.0,21,21.5,-5.0,-0.232558,0.212315,2e-06
14.5,2,2.0,2.5,1.25,0.176777,0.0
15.0,1,1.0,-1.0,-1.0,0.0,0.0
