TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-24.0,1,2.000000,2.000000,1.000000,0.000000
-23.5,3,3.000000,-3.000000,-1.000000,0.000000
-23.0,2,2.000000,-2.000000,-1.000000,0.000000
-22.5,6,6.000000,-1.500000,-0.250000,0.437004
-22.0,4,4.000000,-1.000000,-0.250000,0.414578
-21.5,16,22.000000,-2.000000,-0.090909,0.191871
-21.0,34,41.000000,8.000000,0.195122,0.154140
-20.5,54,63.000000,-4.000000,-0.063492,0.122691
-20.0,102,120.000000,-2.500000,-0.020833,0.088858
-19.5,171,194.000000,-13.500000,-0.069588,0.069120
-19.0,274,308.000000,-25.000000,-0.081169,0.054809
-18.5,447,506.000000,-44.000000,-0.086957,0.042556
-18.0,746,855.000000,14.500000,0.016959,0.033205
-17.5,1337,1552.000000,-27.500000,-0.017719,0.024656
-17.0,2064,2375.000000,-78.000000,-0.032842,0.019988
-16.5,3517,3991.000000,-182.500000,-0.045728,0.015456
-16.0,5610,6424.000000,-243.500000,-0.037905,0.012155
-15.5,8983,10234.000000,-472.500000,-0.046170,0.009639
-15.0,14868,16995.000000,-725.000000,-0.042660,0.007483
-14.5,22289,25407.000000,-1138.000000,-0.044791,0.006123
-14.0,35540,40577.000000,-2079.500000,-0.051248,0.004832
-13.5,53449,60932.000000,-2641.000000,-0.043343,0.003944
-13.0,86486,98363.000000,-3641.000000,-0.037016,0.003111
-12.5,122516,139126.000000,-5440.000000,-0.039101,0.002617
-12.0,186708,211891.000000,-7906.000000,-0.037312,0.002121
-11.5,273955,310289.000000,-10782.500000,-0.034750,0.001755
-11.0,397938,450304.000000,-14353.500000,-0.031875,0.001456
-10.5,583719,659757.000000,-22934.500000,-0.034762,0.001203
-10.0,809971,914673.000000,-25945.500000,-0.028366,0.001022
-9.5,1145254,1291109.000000,-36806.000000,-0.028507,0.000860
-9.0,1580230,1779719.000000,-48173.500000,-0.027068,0.000733
-8.5,2246297,2528674.000000,-62781.500000,-0.024828,0.000615
-8.0,3029854,3405739.000000,-81669.000000,-0.023980,0.000530
-7.5,4141614,4650619.000000,-101631.500000,-0.021853,0.000454
-7.0,5524397,6198284.000000,-131583.000000,-0.021229,0.000393
-6.5,7369094,8258193.000000,-168030.000000,-0.020347,0.000341
-6.0,9931495,11115841.000000,-205612.500000,-0.018497,0.000294
-5.5,12660850,14154884.000000,-250396.000000,-0.017690,0.000260
-5.0,16646493,18592677.000000,-288630.000000,-0.015524,0.000227
-4.5,21797949,24319954.000000,-358971.000000,-0.014760,0.000199
-4.0,27813133,31001698.000000,-413198.500000,-0.013328,0.000176
-3.5,35890812,39962158.000000,-473899.000000,-0.011859,0.000155
-3.0,45005684,50056064.000000,-532838.000000,-0.010645,0.000139
-2.5,57512059,63905148.000000,-613616.000000,-0.009602,0.000123
-2.0,72236547,80184120.000000,-666304.500000,-0.008310,0.000110
-1.5,90909754,100805064.000000,-742608.000000,-0.007367,0.000098
-1.0,115951597,128443220.000000,-749406.500000,-0.005835,0.000087
-0.5,143845282,159182080.000000,-772178.000000,-0.004851,0.000078
0.0,179583631,198538337.000000,-742706.500000,-0.003741,0.000070
0.5,137749825,152181530.000000,-398354.500000,-0.002618,0.000080
1.0,110001167,121607759.000000,-151879.000000,-0.001249,0.000089
1.5,86793576,95904541.000000,10427.000000,0.000109,0.000101
2.0,68765481,75903343.000000,89377.000000,0.001178,0.000113
2.5,54720931,60335953.000000,158891.000000,0.002633,0.000127
3.0,42752480,47098325.000000,181513.500000,0.003854,0.000144
3.5,34007061,37424177.000000,195469.500000,0.005223,0.000161
4.0,26303771,28917204.000000,172766.000000,0.005975,0.000183
4.5,20571662,22592026.000000,156689.000000,0.006936,0.000207
5.0,15660087,17194646.000000,149038.500000,0.008668,0.000238
5.5,11915036,13129415.500000,123399.500000,0.009399,0.000272
6.0,9466117,10389743.000000,108047.500000,0.010399,0.000307
6.5,7202359,7802596.500000,89369.500000,0.011454,0.000357
7.0,5524823,5904797.000000,74455.000000,0.012609,0.000412
7.5,4182643,4436106.000000,61283.500000,0.013815,0.000478
8.0,3060510,3238603.000000,51809.000000,0.015997,0.000559
8.5,2257089,2385746.500000,39927.500000,0.016736,0.000652
9.0,1585186,1672518.500000,28745.500000,0.017187,0.000779
9.5,1146494,1209036.500000,23840.000000,0.019718,0.000917
10.0,807628,850508.500000,17358.000000,0.020409,0.001094
10.5,581723,611187.500000,11206.000000,0.018335,0.001291
11.0,396518,416148.500000,10367.000000,0.024912,0.001565
11.5,270899,284264.500000,7175.000000,0.025241,0.001893
12.0,184190,192869.000000,5697.000000,0.029538,0.002300
12.5,120750,126355.500000,3359.000000,0.026584,0.002842
13.0,85213,89166.000000,2441.500000,0.027382,0.003383
13.5,52590,54981.500000,1812.000000,0.032957,0.004314
14.0,34549,36037.000000,1161.000000,0.032217,0.005338
14.5,22067,22994.500000,915.500000,0.039814,0.006670
15.0,14587,15239.500000,411.500000,0.027002,0.008172
15.5,8864,9222.000000,421.500000,0.045706,0.010508
16.0,5453,5684.000000,279.500000,0.049173,0.013461
16.5,3539,3680.500000,101.500000,0.027578,0.016734
17.0,1995,2084.000000,63.000000,0.030230,0.022259
17.5,1337,1379.500000,91.000000,0.065966,0.027587
18.0,703,719.000000,3.500000,0.004868,0.038057
18.5,359,375.000000,-3.500000,-0.009333,0.052643
19.0,214,221.000000,16.000000,0.072398,0.067091
19.5,140,145.000000,9.500000,0.065517,0.084360
20.0,83,88.500000,10.000000,0.112994,0.108892
20.5,36,40.000000,-4.000000,-0.100000,0.152274
21.0,24,24.000000,1.000000,0.041667,0.206064
21.5,13,11.500000,-3.000000,-0.260870,0.264001
22.0,8,7.500000,-0.500000,-0.066667,0.339062
22.5,4,4.000000,0.000000,0.000000,0.500000
23.0,2,1.500000,-1.500000,-1.000000,0.000000
23.5,1,1.000000,1.500000,1.500000,0.000000
