TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-36.5,1,1.0,-1.0,-1.0,0.0,0.0
-35.0,1,2.0,0.0,0.0,0.0,0.0
-33.0,5,6.0,0.0,-0.0,0.408248,0.0
-32.0,3,4.0,-2.0,-0.5,0.433013,0.0
-31.5,4,6.0,0.0,0.0,0.408248,0.0
-31.0,10,12.0,0.0,0.0,0.235702,1e-06
-30.5,4,4.0,0.0,0.0,0.5,0.0
-30.0,25,34.0,-14.0,-0.411765,0.150648,1e-06
-29.5,48,55.0,-8.0,-0.145455,0.129636,2e-06
-29.0,32,43.0,-9.0,-0.209302,0.137812,2e-06
-28.5,70,84.0,-19.0,-0.22619,0.100101,4e-06
-28.0,149,187.0,-54.0,-0.28877,0.067305,7e-06
-27.5,264,335.0,-82.0,-0.244776,0.051524,1.3e-05
-27.0,25,32.0,-18.0,-0.5625,0.146158,1e-06
-26.5,492,610.0,-145.5,-0.238525,0.037742,2.5e-05
-26.0,690,848.0,-141.5,-0.166863,0.0328,3.5e-05
-25.5,1241,1510.0,-223.0,-0.147682,0.024593,6.2e-05
-25.0,225,282.0,-33.5,-0.118794,0.057483,1.1e-05
-24.5,1839,2271.0,-371.5,-0.163584,0.020029,9.2e-05
-24.0,3076,3759.0,-734.0,-0.195265,0.015472,0.000154
-23.5,3345,4128.0,-635.5,-0.153949,0.014888,0.000168
-23.0,4081,5000.0,-797.5,-0.1595,0.013474,0.000205
-22.5,7024,8591.0,-1552.5,-0.180712,0.010288,0.000353
-22.0,11653,14193.0,-2226.0,-0.156838,0.008028,0.000585
-21.5,8695,10520.0,-1344.5,-0.127804,0.009358,0.000436
-21.0,18287,22086.0,-3397.0,-0.153808,0.006428,0.000918
-20.5,26799,32474.0,-4220.5,-0.129966,0.005336,0.001345
-20.0,29099,35089.0,-4873.0,-0.138875,0.005122,0.001461
-19.5,39864,47791.0,-6563.5,-0.137338,0.004392,0.002001
-19.0,58602,70044.0,-9302.5,-0.132809,0.00363,0.002942
-18.5,87936,105049.0,-12584.5,-0.119796,0.002969,0.004414
-18.0,96786,115344.0,-12797.5,-0.110951,0.002836,0.004859
-17.5,127484,151622.0,-16552.0,-0.109166,0.002476,0.0064
-17.0,175776,208485.0,-22423.5,-0.107555,0.002114,0.008824
-16.5,226273,268083.0,-26554.5,-0.099053,0.001865,0.011359
-16.0,242616,286454.0,-27387.0,-0.095607,0.001806,0.012179
-15.5,416923,491486.0,-45587.0,-0.092753,0.00138,0.02093
-15.0,508093,597405.0,-51974.5,-0.087,0.001252,0.025506
-14.5,554491,650649.0,-56932.5,-0.087501,0.0012,0.027835
-14.0,739013,865169.0,-70634.5,-0.081642,0.001042,0.037099
-13.5,1180258,1378230.0,-105982.5,-0.076898,0.000826,0.059249
-13.0,834210,971303.0,-72580.5,-0.074725,0.000985,0.041877
-12.5,1781076,2069723.0,-148686.0,-0.071839,0.000675,0.08941
-12.0,1870215,2168748.0,-145801.5,-0.067228,0.00066,0.093885
-11.5,2204867,2550392.0,-164974.0,-0.064686,0.000609,0.110685
-11.0,2986619,3447399.0,-207435.5,-0.060172,0.000524,0.149929
-10.5,3874501,4463364.0,-258564.0,-0.05793,0.000461,0.1945
-10.0,4502045,5174780.0,-279838.0,-0.054077,0.000428,0.226003
-9.5,4983357,5714806.0,-292083.0,-0.05111,0.000408,0.250165
-9.0,6617416,7572167.0,-364805.5,-0.048177,0.000354,0.332195
-8.5,7955205,9084957.0,-407991.5,-0.044908,0.000324,0.399352
-8.0,9542759,10874090.0,-452096.0,-0.041576,0.000296,0.479047
-7.5,12197293,13870873.0,-537795.0,-0.038772,0.000262,0.612305
-7.0,14330865,16260991.0,-590292.5,-0.036301,0.000242,0.719411
-6.5,16679319,18889034.0,-624485.0,-0.033061,0.000225,0.837303
-6.0,20320601,22966922.0,-700660.0,-0.030507,0.000204,1.020096
-5.5,25391296,28638448.0,-801680.5,-0.027993,0.000183,1.274645
-5.0,29662783,33388443.0,-848545.5,-0.025414,0.000169,1.489074
-4.5,34670940,38952221.0,-901829.0,-0.023152,0.000157,1.740484
-4.0,43679760,48972083.0,-1008575.0,-0.020595,0.00014,2.192728
-3.5,52210552,58419791.0,-1060618.5,-0.018155,0.000128,2.620974
-3.0,59328351,66261140.0,-1055195.5,-0.015925,0.000121,2.978288
-2.5,71631856,79849954.0,-1076898.0,-0.013487,0.00011,3.595925
-2.0,92176068,102554239.0,-1138443.0,-0.011101,9.7e-05,4.627246
-1.5,107963079,119896690.0,-1070649.0,-0.00893,9e-05,5.419756
-1.0,121888128,135099434.0,-938464.0,-0.006946,8.5e-05,6.118794
-0.5,147109455,162736260.0,-709739.5,-0.004361,7.7e-05,7.384907
0.0,247728878,273627549.5,-795091.0,-0.002906,5.9e-05,12.436011
0.5,140774434,155185514.0,-67141.0,-0.000433,7.9e-05,7.066889
1.0,108713641,119597893.0,227175.0,0.001899,9e-05,5.457434
1.5,95115326,104336508.5,451512.0,0.004327,9.7e-05,4.774797
2.0,82034782,89539161.5,581703.0,0.006497,0.000104,4.118153
2.5,67708513,73508932.5,637204.5,0.008668,0.000115,3.398973
3.0,55478387,59841099.5,631641.0,0.010555,0.000128,2.78502
3.5,49575763,52951440.0,671771.0,0.012687,0.000137,2.488708
4.0,42346080,44853794.0,658807.0,0.014688,0.000149,2.125777
4.5,32993938,34735584.5,585256.0,0.016849,0.00017,1.656299
5.0,29631027,31029878.5,584742.0,0.018844,0.00018,1.48748
5.5,24965260,26026843.0,544142.5,0.020907,0.000197,1.253258
6.0,20152658,20935319.5,487397.5,0.023281,0.00022,1.011665
6.5,16572845,17155781.5,434666.0,0.025336,0.000244,0.831958
7.0,14232400,14698248.0,398259.0,0.027096,0.000264,0.714468
7.5,12163332,12533518.5,366006.5,0.029202,0.000286,0.6106
8.0,9438804,9706677.5,305963.0,0.031521,0.000325,0.473829
8.5,7903891,8111797.5,267883.5,0.033024,0.000356,0.396776
9.0,6546758,6706174.5,240098.5,0.035803,0.000392,0.328648
9.5,4919673,5030928.0,188811.5,0.03753,0.000453,0.246968
10.0,4440029,4532760.5,179965.0,0.039703,0.000477,0.22289
10.5,3827227,3897295.5,158896.5,0.040771,0.000515,0.192127
11.0,2939657,2988502.5,130443.5,0.043648,0.000589,0.147571
11.5,2149670,2181515.5,96543.5,0.044255,0.000689,0.107914
12.0,1823404,1847477.0,85695.5,0.046385,0.00075,0.091535
12.5,1732323,1750969.5,90099.5,0.051457,0.000771,0.086963
13.0,804210,811951.0,41528.5,0.051147,0.001133,0.040371
13.5,1147460,1156364.5,62775.5,0.054287,0.00095,0.057603
14.0,713544,717466.0,40444.0,0.056371,0.001207,0.03582
14.5,530635,532615.0,31217.5,0.058612,0.001402,0.026638
15.0,485855,487108.0,31798.0,0.065279,0.001467,0.02439
15.5,395081,395364.0,24629.0,0.062294,0.00163,0.019833
16.0,229212,228894.5,14838.5,0.064827,0.002144,0.011506
16.5,211773,211138.0,14322.0,0.067832,0.002234,0.010631
17.0,164048,163456.0,11516.0,0.070453,0.00254,0.008235
17.5,117482,116809.5,8088.5,0.069245,0.003003,0.005898
18.0,88644,87904.5,6338.5,0.072107,0.003471,0.00445
18.5,79163,78454.0,5721.0,0.072922,0.00367,0.003974
19.0,52725,52086.5,3817.0,0.073282,0.004512,0.002647
19.5,35631,35328.0,2958.5,0.083744,0.005474,0.001789
20.0,25570,25285.5,1954.0,0.077277,0.006473,0.001284
20.5,23149,22898.0,1743.0,0.07612,0.006803,0.001162
21.0,15437,15219.0,1065.0,0.069978,0.008338,0.000775
21.5,7638,7525.5,607.0,0.080659,0.011886,0.000383
22.0,9864,9728.0,932.0,0.095806,0.010467,0.000495
22.5,5828,5735.5,610.5,0.106442,0.01368,0.000293
23.0,3449,3374.0,193.0,0.057202,0.01783,0.000173
23.5,2930,2854.5,200.0,0.070065,0.019399,0.000147
24.0,2560,2505.0,276.5,0.110379,0.020773,0.000129
24.5,1533,1500.5,134.0,0.089304,0.026671,7.7e-05
25.0,172,171.5,16.0,0.093294,0.07931,9e-06
25.5,918,899.5,97.5,0.108394,0.03444,4.6e-05
26.0,555,543.0,81.5,0.150092,0.044819,2.8e-05
26.5,341,329.5,42.5,0.128983,0.057384,1.7e-05
27.0,21,22.0,-1.0,-0.045455,0.205576,1e-06
27.5,175,171.0,-3.5,-0.020468,0.075216,9e-06
28.0,125,118.0,21.5,0.182203,0.099313,6e-06
28.5,38,40.0,9.0,0.225,0.158064,2e-06
29.0,42,40.5,0.0,-0.0,0.167465,2e-06
29.5,26,24.5,9.0,0.367347,0.217685,1e-06
30.0,20,20.5,-1.5,-0.073171,0.212014,1e-06
30.5,5,5.0,4.0,0.8,0.414729,0.0
31.0,6,5.0,-3.0,-0.6,0.357771,0.0
31.5,4,4.0,-2.0,-0.5,0.433013,0.0
32.5,2,2.0,0.0,0.0,0.707107,0.0
33.0,1,1.0,0.0,0.0,0.0,0.0
