TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-16.0,2,2.000000,-2.000000,-1.000000,0.000000
-15.5,2,3.000000,-1.000000,-0.333333,0.272166
-15.0,6,7.000000,1.000000,0.142857,0.374088
-14.5,14,15.000000,-3.000000,-0.200000,0.234758
-14.0,28,35.000000,-2.000000,-0.057143,0.161336
-13.5,75,86.000000,-18.500000,-0.215116,0.101550
-13.0,175,204.000000,-3.500000,-0.017157,0.067603
-12.5,380,460.000000,-50.500000,-0.109783,0.044510
-12.0,957,1127.000000,-80.500000,-0.071429,0.029194
-11.5,2018,2327.000000,-177.000000,-0.076064,0.020170
-11.0,4450,5154.000000,-373.000000,-0.072371,0.013451
-10.5,9425,10882.000000,-590.000000,-0.054218,0.009334
-10.0,19438,22371.000000,-1220.000000,-0.054535,0.006521
-9.5,37658,43213.000000,-2374.000000,-0.054937,0.004683
-9.0,75179,86025.000000,-5000.500000,-0.058128,0.003323
-8.5,139224,159083.000000,-7821.500000,-0.049166,0.002443
-8.0,255986,292042.000000,-13033.000000,-0.044627,0.001805
-7.5,463867,528176.000000,-22485.000000,-0.042571,0.001342
-7.0,813894,925511.000000,-37932.000000,-0.040985,0.001014
-6.5,1381697,1566542.000000,-56978.500000,-0.036372,0.000780
-6.0,2331546,2638698.000000,-85838.000000,-0.032530,0.000602
-5.5,3873166,4373086.000000,-131595.000000,-0.030092,0.000468
-5.0,6155345,6938877.000000,-197814.000000,-0.028508,0.000371
-4.5,9732700,10946118.000000,-269506.000000,-0.024621,0.000296
-4.0,15147139,17000567.000000,-383837.500000,-0.022578,0.000237
-3.5,23458736,26280230.000000,-521387.500000,-0.019840,0.000191
-3.0,34710907,38806477.000000,-672659.000000,-0.017334,0.000157
-2.5,52056070,58087761.000000,-870185.500000,-0.014981,0.000129
-2.0,77484980,86299976.000000,-1161656.000000,-0.013461,0.000106
-1.5,113789664,126489639.000000,-1498432.000000,-0.011846,0.000087
-1.0,167409755,185742076.000000,-1781615.000000,-0.009592,0.000072
-0.5,249736072,276563273.000000,-1928205.000000,-0.006972,0.000059
0.0,327870266,362453304.000000,-1740119.500000,-0.004801,0.000052
0.5,234991578,259309054.000000,-621836.000000,-0.002398,0.000061
1.0,158851563,174964066.000000,16874.000000,0.000096,0.000074
1.5,108175738,118927016.000000,280158.500000,0.002356,0.000090
2.0,73771033,80958802.000000,388660.500000,0.004801,0.000110
2.5,49872279,54628157.000000,367658.500000,0.006730,0.000133
3.0,33206386,36301270.500000,328226.500000,0.009042,0.000164
3.5,22763517,24627586.000000,269933.500000,0.010961,0.000200
4.0,15246013,16117715.000000,206913.500000,0.012838,0.000249
4.5,9998443,10434376.000000,160533.500000,0.015385,0.000311
5.0,6331922,6588516.000000,113121.500000,0.017169,0.000392
5.5,3971819,4126147.500000,85933.500000,0.020827,0.000496
6.0,2381450,2468988.000000,56250.000000,0.022783,0.000642
6.5,1405488,1453469.500000,34358.500000,0.023639,0.000837
7.0,825247,852086.000000,24358.500000,0.028587,0.001094
7.5,467210,480998.500000,13231.000000,0.027507,0.001458
8.0,257212,264318.000000,8199.500000,0.031021,0.001967
8.5,138749,142343.500000,4362.000000,0.030644,0.002684
9.0,73897,75677.000000,2578.000000,0.034066,0.003686
9.5,37041,37882.500000,1291.500000,0.034092,0.005214
10.0,19083,19523.500000,652.500000,0.033421,0.007253
10.5,9019,9216.000000,236.000000,0.025608,0.010576
11.0,4315,4381.000000,233.000000,0.053184,0.015387
11.5,1870,1912.000000,82.500000,0.043149,0.023212
12.0,868,886.000000,60.000000,0.067720,0.034154
12.5,352,366.500000,70.500000,0.192360,0.053516
13.0,151,149.500000,-2.000000,-0.013378,0.084800
13.5,60,62.000000,2.500000,0.040323,0.128931
14.0,26,25.000000,2.000000,0.080000,0.212000
14.5,7,6.500000,3.000000,0.461538,0.395698
15.0,1,1.000000,1.000000,1.000000,0.000000
