TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-30.5,1,1.000000,-1.000000,-1.000000,0.000000
-30.0,2,2.000000,2.000000,1.000000,0.000000
-29.0,2,3.000000,-1.000000,-0.333333,0.544331
-28.5,5,6.000000,1.000000,0.166667,0.366414
-28.0,10,12.000000,5.500000,0.458333,0.231678
-27.5,7,7.000000,-4.000000,-0.571429,0.275321
-27.0,30,32.000000,-6.000000,-0.187500,0.173641
-26.5,33,48.000000,-3.500000,-0.072917,0.139746
-26.0,60,68.000000,-8.000000,-0.117647,0.118160
-25.5,66,80.000000,3.500000,0.043750,0.110466
-25.0,156,184.000000,7.500000,0.040761,0.072396
-24.5,218,263.000000,-19.500000,-0.074144,0.060036
-24.0,309,361.000000,-27.000000,-0.074792,0.051896
-23.5,489,584.000000,-30.000000,-0.051370,0.040375
-23.0,762,880.000000,-19.500000,-0.022159,0.032863
-22.5,1090,1273.000000,-93.500000,-0.073449,0.027296
-22.0,1561,1840.000000,-190.000000,-0.103261,0.022440
-21.5,2514,2933.000000,-250.500000,-0.085407,0.017817
-21.0,3563,4163.000000,-325.000000,-0.078069,0.015051
-20.5,5185,6026.000000,-352.500000,-0.058497,0.012561
-20.0,8091,9418.000000,-710.500000,-0.075441,0.010020
-19.5,10351,12017.000000,-871.500000,-0.072522,0.008873
-19.0,15453,17888.000000,-998.000000,-0.055792,0.007273
-18.5,23083,26728.000000,-1722.500000,-0.064446,0.005951
-18.0,28278,32599.000000,-2345.500000,-0.071950,0.005390
-17.5,43159,49978.000000,-3117.000000,-0.062367,0.004355
-17.0,61438,70814.000000,-3840.000000,-0.054227,0.003662
-16.5,83607,96273.000000,-5611.000000,-0.058282,0.003139
-16.0,110275,126794.000000,-7142.500000,-0.056332,0.002740
-15.5,152087,174383.000000,-9355.000000,-0.053646,0.002335
-15.0,200377,229642.000000,-12261.000000,-0.053392,0.002035
-14.5,273284,312939.000000,-15727.500000,-0.050257,0.001745
-14.0,357840,409303.000000,-19215.000000,-0.046946,0.001525
-13.5,493574,564006.000000,-26294.500000,-0.046621,0.001300
-13.0,621883,709364.000000,-30215.500000,-0.042595,0.001160
-12.5,842125,959137.000000,-41246.000000,-0.043003,0.000997
-12.0,1071982,1219500.000000,-50215.500000,-0.041177,0.000885
-11.5,1376408,1563253.000000,-59698.500000,-0.038189,0.000782
-11.0,1781629,2021948.000000,-73896.500000,-0.036547,0.000687
-10.5,2285903,2590989.000000,-90093.500000,-0.034772,0.000607
-10.0,2989900,3385090.000000,-111286.500000,-0.032875,0.000532
-9.5,3578213,4045345.000000,-131831.000000,-0.032588,0.000486
-9.0,4560722,5149439.000000,-156040.000000,-0.030302,0.000431
-8.5,5885341,6636856.000000,-192593.000000,-0.029019,0.000380
-8.0,7268849,8187910.000000,-224231.000000,-0.027386,0.000342
-7.5,9013315,10138593.000000,-260578.000000,-0.025702,0.000308
-7.0,11032838,12396226.000000,-297401.500000,-0.023991,0.000278
-6.5,13789508,15476177.000000,-345966.000000,-0.022355,0.000249
-6.0,16764302,18786516.000000,-406754.000000,-0.021651,0.000226
-5.5,20997762,23506893.000000,-462939.000000,-0.019694,0.000202
-5.0,25601204,28623773.000000,-528068.000000,-0.018449,0.000183
-4.5,30690220,34274484.000000,-579424.000000,-0.016905,0.000168
-4.0,37482930,41812000.000000,-653253.500000,-0.015624,0.000152
-3.5,46441882,51742461.000000,-738986.500000,-0.014282,0.000136
-3.0,55632925,61911849.000000,-805614.500000,-0.013012,0.000125
-2.5,67546662,75087118.000000,-857996.000000,-0.011427,0.000113
-2.0,81700562,90716994.000000,-939237.500000,-0.010353,0.000103
-1.5,97973219,108656181.000000,-968007.500000,-0.008909,0.000094
-1.0,120214949,133187394.000000,-1010573.000000,-0.007588,0.000085
-0.5,140854467,155907372.000000,-996029.000000,-0.006389,0.000079
0.0,202445348,223923550.000000,-1154649.500000,-0.005156,0.000066
0.5,134349425,148692761.000000,-556129.000000,-0.003740,0.000081
1.0,114213579,126279110.000000,-282847.000000,-0.002240,0.000088
1.5,93577931,103338817.000000,-114521.500000,-0.001108,0.000097
2.0,77743151,85762635.000000,24054.000000,0.000280,0.000106
2.5,64141293,70674640.000000,109567.500000,0.001550,0.000117
3.0,52825714,58137943.000000,175673.500000,0.003022,0.000129
3.5,44062277,48435895.000000,219692.500000,0.004536,0.000142
4.0,35511541,38975431.500000,229606.000000,0.005891,0.000158
4.5,29222436,31919619.000000,238068.500000,0.007458,0.000175
5.0,24771703,26898329.500000,228468.500000,0.008494,0.000191
5.5,20772967,22363513.500000,206413.000000,0.009230,0.000211
6.0,16858719,18051653.500000,201359.500000,0.011155,0.000236
6.5,13966646,14870772.000000,183185.000000,0.012318,0.000260
7.0,11212176,11894828.500000,164118.500000,0.013797,0.000291
7.5,9169862,9711509.000000,150861.500000,0.015534,0.000323
8.0,7383637,7809827.500000,125469.500000,0.016066,0.000360
8.5,5983707,6322132.000000,110488.500000,0.017476,0.000400
9.0,4631239,4884749.500000,93995.500000,0.019243,0.000455
9.5,3629069,3823418.500000,80866.000000,0.021150,0.000515
10.0,3029590,3188639.500000,74211.000000,0.023274,0.000564
10.5,2314578,2432703.500000,56609.500000,0.023270,0.000646
11.0,1800266,1890113.000000,46295.000000,0.024493,0.000733
11.5,1387716,1455181.500000,39059.000000,0.026841,0.000836
12.0,1077054,1128389.000000,30121.000000,0.026694,0.000950
12.5,846429,884717.500000,25589.000000,0.028923,0.001073
13.0,622477,650927.500000,21063.000000,0.032358,0.001251
13.5,496556,518483.000000,16273.000000,0.031386,0.001401
14.0,359378,374815.500000,12377.000000,0.033022,0.001649
14.5,274075,285368.000000,9446.000000,0.033101,0.001891
15.0,200491,208645.500000,7686.000000,0.036838,0.002214
15.5,153263,159455.500000,6023.500000,0.037775,0.002532
16.0,110274,114370.000000,4997.000000,0.043692,0.002993
16.5,83365,86410.500000,3355.000000,0.038826,0.003439
17.0,61582,63809.000000,2309.000000,0.036186,0.004010
17.5,42744,44283.500000,1960.000000,0.044260,0.004810
18.0,27841,28719.000000,768.000000,0.026742,0.005983
18.5,23095,23794.000000,1018.500000,0.042805,0.006554
19.0,15396,15845.500000,709.500000,0.044776,0.008045
19.5,10343,10646.500000,583.000000,0.054760,0.009818
20.0,7996,8236.000000,495.000000,0.060102,0.011192
20.5,5174,5282.500000,223.500000,0.042310,0.014040
21.0,3608,3696.500000,119.000000,0.032193,0.016663
21.5,2522,2586.000000,84.000000,0.032483,0.019723
22.0,1642,1682.500000,80.500000,0.047845,0.024606
22.5,1157,1184.500000,121.500000,0.102575,0.029579
23.0,804,819.500000,36.000000,0.043929,0.034909
23.5,523,532.000000,-9.000000,-0.016917,0.043553
24.0,322,327.000000,26.000000,0.079511,0.056404
24.5,242,246.000000,30.500000,0.123984,0.064718
25.0,175,180.000000,5.500000,0.030556,0.072878
25.5,81,82.000000,-2.000000,-0.024390,0.110567
26.0,69,68.500000,-8.500000,-0.124088,0.121874
26.5,32,30.500000,-4.500000,-0.147541,0.183536
27.0,21,20.500000,3.500000,0.170732,0.232169
27.5,11,10.000000,0.500000,0.050000,0.303727
28.0,15,16.000000,3.500000,0.218750,0.245939
28.5,7,7.500000,-2.000000,-0.266667,0.387967
29.5,1,1.000000,-1.000000,-1.000000,0.000000
30.0,1,1.000000,1.500000,1.500000,0.000000
31.0,2,2.000000,0.500000,0.250000,0.883883
