TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-19.5,1,1.0,-1.0,-1.0,0.0,0.0
-19.0,1,1.0,-1.0,-1.0,0.0,0.0
-18.5,5,6.0,-2.0,-0.333333,0.3849,0.0
-18.0,7,8.0,-8.0,-1.0,0.0,1e-06
-17.5,24,29.0,-1.0,-0.034483,0.19033,2e-06
-17.0,70,80.0,8.5,0.10625,0.104841,5e-06
-16.5,88,103.0,-8.0,-0.07767,0.093818,6e-06
-16.0,237,273.0,5.5,0.020147,0.05925,1.7e-05
-15.5,442,506.0,-32.5,-0.064229,0.043351,3.3e-05
-15.0,933,1072.0,-21.0,-0.01959,0.029903,6.9e-05
-14.5,1715,1952.0,-59.0,-0.030225,0.022024,0.000127
-14.0,3067,3533.0,-148.0,-0.041891,0.016486,0.000226
-13.5,5459,6251.0,-317.5,-0.050792,0.01234,0.000403
-13.0,9461,10837.0,-446.5,-0.041201,0.009375,0.000698
-12.5,17251,19638.0,-931.0,-0.047408,0.006975,0.001273
-12.0,29588,33659.0,-1689.5,-0.050195,0.005317,0.002183
-11.5,50152,57196.0,-2483.5,-0.043421,0.004083,0.0037
-11.0,84169,95701.0,-3033.5,-0.031698,0.003161,0.006209
-10.5,133839,151754.0,-5749.5,-0.037887,0.00251,0.009873
-10.0,222872,252371.0,-9045.5,-0.035842,0.001946,0.016441
-9.5,343914,388794.0,-12131.0,-0.031202,0.00157,0.02537
-9.0,536977,606726.0,-17766.0,-0.029282,0.001257,0.039612
-8.5,834941,941521.0,-29294.5,-0.031114,0.001009,0.061593
-8.0,1231433,1387010.0,-41292.0,-0.029771,0.000831,0.090841
-7.5,1875376,2110650.0,-57920.0,-0.027442,0.000674,0.138344
-7.0,2753548,3093691.0,-75197.0,-0.024307,0.000557,0.203126
-6.5,3940626,4423758.0,-106425.0,-0.024058,0.000466,0.290695
-6.0,5746807,6443164.0,-134149.0,-0.02082,0.000386,0.423935
-5.5,7900078,8846259.0,-181000.5,-0.020461,0.00033,0.58278
-5.0,11069973,12380473.0,-233841.0,-0.018888,0.000279,0.816619
-4.5,15494099,17307011.0,-309967.5,-0.01791,0.000236,1.142982
-4.0,21007017,23437816.0,-374108.0,-0.015962,0.000203,1.549663
-3.5,28519166,31780564.0,-469389.5,-0.01477,0.000174,2.103825
-3.0,37358848,41583708.0,-553403.0,-0.013308,0.000152,2.755918
-2.5,50236185,55854115.0,-652378.0,-0.01168,0.000131,3.705865
-2.0,66000103,73296931.0,-770723.5,-0.010515,0.000115,4.86875
-1.5,86246848,95669692.0,-861459.0,-0.009005,0.0001,6.362329
-1.0,113602991,125867141.0,-1026249.5,-0.008153,8.8e-05,8.38036
-0.5,146905424,162580702.0,-1117755.0,-0.006875,7.7e-05,10.837041
0.0,181297913,200455384.0,-1121544.5,-0.005595,6.9e-05,13.374135
0.5,139989082,154858610.0,-664630.5,-0.004292,7.9e-05,10.326831
1.0,107844092,119263296.0,-348481.0,-0.002922,9e-05,7.955532
1.5,82015056,90589502.0,-165251.5,-0.001824,0.000103,6.050155
2.0,62579581,69038858.0,-6223.5,-9e-05,0.000119,4.616422
2.5,47514186,52364640.0,73230.0,0.001398,0.000136,3.505066
3.0,35237039,38786093.0,77685.0,0.002003,0.000158,2.599395
3.5,26793228,29459259.0,105517.5,0.003582,0.000182,1.976505
4.0,19696236,21634040.0,109299.5,0.005052,0.000212,1.452968
4.5,14535266,15913096.0,106849.5,0.006715,0.000247,1.07225
5.0,10532278,11411980.5,91932.5,0.008056,0.000294,0.776954
5.5,7741055,8293680.5,74636.5,0.008999,0.000347,0.571049
6.0,5713848,6090816.0,64781.0,0.010636,0.000406,0.421504
6.5,3927050,4170566.0,46778.0,0.011216,0.000492,0.289694
7.0,2731236,2897056.0,39533.0,0.013646,0.00059,0.20148
7.5,1850989,1960145.0,28434.5,0.014506,0.000718,0.136545
8.0,1209986,1280137.5,20859.5,0.016295,0.000889,0.089259
8.5,818470,864780.0,14037.5,0.016232,0.001082,0.060378
9.0,522231,551290.5,10258.5,0.018608,0.001355,0.038524
9.5,335246,353315.0,7947.5,0.022494,0.001695,0.024731
10.0,215782,227343.5,5070.5,0.022303,0.002109,0.015918
10.5,128405,135055.5,3003.5,0.022239,0.00274,0.009472
11.0,80317,84387.0,2005.5,0.023766,0.003465,0.005925
11.5,48329,50610.0,1342.5,0.026526,0.004488,0.003565
12.0,28572,29903.0,852.5,0.028509,0.005827,0.002108
12.5,16530,17369.5,533.0,0.030686,0.007647,0.001219
13.0,9018,9414.5,288.0,0.030591,0.010426,0.000665
13.5,5250,5442.0,263.0,0.048328,0.013666,0.000387
14.0,2852,2982.0,25.0,0.008384,0.018459,0.00021
14.5,1477,1523.5,40.5,0.026584,0.025866,0.000109
15.0,888,946.0,12.0,0.012685,0.032664,6.6e-05
15.5,448,465.0,92.5,0.198925,0.0475,3.3e-05
16.0,224,225.5,16.0,0.070953,0.065643,1.7e-05
16.5,115,118.0,8.0,0.067797,0.092527,8e-06
17.0,46,48.0,2.0,0.041667,0.148658,3e-06
17.5,31,31.5,3.0,0.095238,0.169371,2e-06
18.0,9,10.0,-3.5,-0.35,0.316623,1e-06
18.5,3,3.0,-1.0,-0.333333,0.544331,0.0
19.0,1,1.0,-1.0,-1.0,0.0,0.0
19.5,1,2.0,2.0,1.0,0.0,0.0
