TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-39.5,1,1.000000,-1.000000,-1.000000,0.000000
-37.0,1,1.000000,-1.000000,-1.000000,0.000000
-36.5,1,1.000000,1.000000,1.000000,0.000000
-36.0,3,3.000000,-1.000000,-0.333333,0.544331
-35.5,2,2.000000,-2.000000,-1.000000,0.000000
-35.0,5,6.000000,-6.000000,-1.000000,0.000000
-34.5,7,9.000000,-1.000000,-0.111111,0.331269
-34.0,8,11.000000,1.000000,0.090909,0.300263
-33.5,8,9.000000,-1.000000,-0.111111,0.331269
-33.0,10,13.000000,-9.000000,-0.692308,0.200137
-32.5,22,28.000000,4.500000,0.160714,0.190752
-32.0,33,42.000000,-8.500000,-0.202381,0.151579
-31.5,42,56.000000,-13.000000,-0.232143,0.121090
-31.0,48,56.000000,-1.000000,-0.017857,0.129365
-30.5,93,110.000000,-18.500000,-0.168182,0.091425
-30.0,129,140.000000,-22.500000,-0.160714,0.078452
-29.5,165,200.000000,-30.000000,-0.150000,0.067639
-29.0,222,268.000000,-38.500000,-0.143657,0.058371
-28.5,373,460.000000,-39.500000,-0.085870,0.044756
-28.0,537,647.000000,-32.000000,-0.049459,0.038030
-27.5,655,792.000000,-55.000000,-0.069444,0.034223
-27.0,924,1084.000000,-155.500000,-0.143450,0.029397
-26.5,1120,1312.000000,-78.000000,-0.059451,0.026643
-26.0,2568,3020.000000,-185.000000,-0.061258,0.017613
-25.5,2333,2744.000000,-212.500000,-0.077442,0.018476
-25.0,3275,3882.000000,-417.500000,-0.107548,0.015449
-24.5,4549,5398.000000,-697.000000,-0.129122,0.013080
-24.0,6295,7365.000000,-528.500000,-0.071758,0.011313
-23.5,8425,9944.000000,-640.500000,-0.064411,0.009717
-23.0,10971,12928.000000,-807.000000,-0.062423,0.008554
-22.5,14735,17287.000000,-1107.000000,-0.064037,0.007397
-22.0,19189,22433.000000,-1866.000000,-0.083181,0.006479
-21.5,26670,31058.000000,-2330.500000,-0.075037,0.005515
-21.0,32485,37808.000000,-2581.000000,-0.068266,0.004987
-20.5,43845,51048.000000,-3675.000000,-0.071991,0.004304
-20.0,58519,68079.000000,-4350.000000,-0.063896,0.003726
-19.5,75702,87925.000000,-5905.000000,-0.067160,0.003278
-19.0,96381,111564.000000,-7232.500000,-0.064828,0.002913
-18.5,123637,143302.000000,-8789.500000,-0.061336,0.002569
-18.0,162783,188335.000000,-11314.500000,-0.060076,0.002242
-17.5,192506,222089.000000,-11934.000000,-0.053735,0.002066
-17.0,257778,297115.000000,-16649.500000,-0.056037,0.001788
-16.5,338647,389765.000000,-21623.000000,-0.055477,0.001559
-16.0,395481,454510.000000,-24355.500000,-0.053586,0.001446
-15.5,518497,595180.000000,-31513.500000,-0.052948,0.001264
-15.0,636414,729359.000000,-35345.500000,-0.048461,0.001142
-14.5,811589,928524.000000,-45114.000000,-0.048587,0.001012
-14.0,987558,1128805.000000,-49369.000000,-0.043736,0.000919
-13.5,1196501,1367142.000000,-58925.500000,-0.043101,0.000835
-13.0,1594154,1818701.000000,-76734.000000,-0.042192,0.000724
-12.5,1855232,2113679.000000,-85615.500000,-0.040505,0.000672
-12.0,2285009,2599665.000000,-96323.500000,-0.037052,0.000606
-11.5,2773440,3151280.000000,-113903.000000,-0.036145,0.000550
-11.0,3408577,3865682.000000,-133651.500000,-0.034574,0.000497
-10.5,4092573,4637773.000000,-153291.000000,-0.033053,0.000454
-10.0,5109707,5782629.000000,-180907.000000,-0.031285,0.000407
-9.5,6053947,6844036.000000,-206714.000000,-0.030204,0.000374
-9.0,7218130,8150000.000000,-231298.500000,-0.028380,0.000343
-8.5,9029366,10183199.000000,-272292.500000,-0.026739,0.000307
-8.0,10713085,12064738.000000,-297143.000000,-0.024629,0.000282
-7.5,12757087,14349349.000000,-352010.500000,-0.024531,0.000258
-7.0,15458037,17367025.000000,-389329.000000,-0.022418,0.000235
-6.5,18703277,20987129.000000,-441151.500000,-0.021020,0.000214
-6.0,22098329,24768856.000000,-485150.500000,-0.019587,0.000197
-5.5,26785217,29985024.000000,-528165.000000,-0.017614,0.000179
-5.0,32406021,36236212.000000,-603741.500000,-0.016661,0.000163
-4.5,38648965,43164422.000000,-656733.000000,-0.015215,0.000149
-4.0,46341378,51692473.000000,-720422.000000,-0.013937,0.000136
-3.5,56499430,62954953.000000,-766912.000000,-0.012182,0.000124
-3.0,67476318,75096029.000000,-830630.500000,-0.011061,0.000113
-2.5,81783821,90915473.000000,-897253.000000,-0.009869,0.000103
-2.0,99431667,110413332.000000,-956782.000000,-0.008665,0.000093
-1.5,121077290,134288713.000000,-963112.500000,-0.007172,0.000085
-1.0,149837685,166005984.000000,-970098.000000,-0.005844,0.000076
-0.5,186230511,206118763.000000,-978021.000000,-0.004745,0.000068
0.0,211970753,234405961.000000,-869951.000000,-0.003711,0.000064
0.5,179502649,198586795.000000,-479692.000000,-0.002416,0.000070
1.0,144055474,159292125.000000,-146277.500000,-0.000918,0.000078
1.5,116703626,128894200.000000,54184.500000,0.000420,0.000087
2.0,95776276,105659353.000000,186843.000000,0.001768,0.000096
2.5,78785294,86818587.000000,301659.000000,0.003475,0.000106
3.0,64989214,71523872.000000,312750.500000,0.004373,0.000116
3.5,54377591,59778488.000000,344174.000000,0.005757,0.000127
4.0,44624305,48980259.500000,359789.000000,0.007346,0.000141
4.5,37399075,40876091.000000,336711.000000,0.008237,0.000154
5.0,31925254,34650018.000000,339691.000000,0.009803,0.000168
5.5,27035031,29079598.000000,314935.000000,0.010830,0.000185
6.0,22695687,24283146.000000,289570.000000,0.011925,0.000203
6.5,19373377,20626147.000000,275504.000000,0.013357,0.000221
7.0,16065675,17051568.000000,253702.000000,0.014879,0.000243
7.5,13274518,14062183.500000,230525.500000,0.016393,0.000268
8.0,11148074,11789005.500000,209559.500000,0.017776,0.000293
8.5,9410720,9939355.500000,192991.000000,0.019417,0.000319
9.0,7527680,7940598.500000,163919.500000,0.020643,0.000357
9.5,6315612,6654678.000000,144925.500000,0.021778,0.000390
10.0,5329620,5608895.000000,133475.000000,0.023797,0.000425
10.5,4273135,4491744.000000,111762.500000,0.024882,0.000475
11.0,3563556,3741344.000000,100227.000000,0.026789,0.000521
11.5,2898033,3038580.500000,85384.500000,0.028100,0.000578
12.0,2385915,2499939.000000,73744.000000,0.029498,0.000638
12.5,1937692,2027395.000000,61186.000000,0.030180,0.000708
13.0,1667907,1743255.000000,54115.000000,0.031043,0.000764
13.5,1253063,1307904.000000,43073.000000,0.032933,0.000883
14.0,1034473,1078532.500000,37402.500000,0.034679,0.000972
14.5,852874,887884.000000,31235.000000,0.035179,0.001072
15.0,669099,696499.500000,25459.000000,0.036553,0.001211
15.5,544806,566219.500000,23501.500000,0.041506,0.001343
16.0,416928,433132.000000,16703.500000,0.038564,0.001537
16.5,356811,369902.000000,14866.500000,0.040190,0.001662
17.0,272740,282615.000000,11848.000000,0.041923,0.001901
17.5,204421,211547.500000,8816.000000,0.041674,0.002198
18.0,172282,178196.000000,7963.500000,0.044690,0.002398
18.5,132760,137094.000000,6225.000000,0.045407,0.002735
19.0,102248,105509.000000,4945.000000,0.046868,0.003117
19.5,82101,84551.000000,4761.500000,0.056315,0.003487
20.0,62595,64438.500000,3141.000000,0.048744,0.003990
20.5,47245,48634.000000,2810.500000,0.057789,0.004596
21.0,35576,36552.000000,2139.000000,0.058519,0.005309
21.5,29171,29924.000000,1599.500000,0.053452,0.005862
22.0,21177,21711.500000,1147.000000,0.052829,0.006873
22.5,16151,16581.000000,1102.500000,0.066492,0.007869
23.0,11892,12226.500000,855.500000,0.069971,0.009124
23.5,9338,9574.500000,640.000000,0.066844,0.010350
24.0,6916,7086.500000,433.000000,0.061102,0.012031
24.5,5022,5106.000000,354.500000,0.069428,0.014241
25.0,3640,3733.000000,286.500000,0.076748,0.016517
25.5,2630,2665.000000,207.500000,0.077861,0.019691
26.0,2741,2790.000000,214.000000,0.076703,0.019198
26.5,1293,1315.500000,117.000000,0.088940,0.027622
27.0,953,958.500000,103.500000,0.107981,0.032603
27.5,785,785.000000,39.000000,0.049682,0.036229
28.0,562,565.000000,46.500000,0.082301,0.043576
28.5,337,343.500000,18.000000,0.052402,0.053388
29.0,264,268.500000,-3.500000,-0.013035,0.060880
