table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,40000,190.2745,190.0,-9.7255,0.0,392.5,0.53235,0.346025,0.1904,0.022375,0.06455,65.6311875,65.0,92.5,105.0,0.9945349378108951,1779.5771875,9.86125,312.17435
5.0,500.0,200.0,0.5,40000,190.28375,190.0,-9.71625,0.0,395.0,0.533775,0.344925,0.192,0.0227,0.064,65.44675,65.0,92.5,105.0,0.9945418260404192,1780.1283125,9.86465,312.28265
5.0,500.0,200.0,0.75,40000,190.9794375,190.0,-9.0205625,0.0,392.5,0.5301,0.342125,0.191225,0.021775,0.06375,65.408375,65.0,90.0,105.0,0.9949312269174401,1779.6343125,9.860925,312.1492
5.0,500.0,200.0,1.0,40000,191.7718125,190.0,-8.2281875,0.0,392.5,0.528875,0.33815,0.1859,0.021725,0.0626,65.4674375,65.0,90.0,105.0,0.9953791056150478,1780.64825,9.8649,312.30725
5.0,500.0,200.0,1.25,40000,190.0505625,190.0,-9.9494375,0.0,395.0,0.534,0.346125,0.191625,0.022525,0.0643,65.5485625,65.0,90.0,105.0,0.9944157469404579,1781.6953125,9.86665,312.30795
5.0,500.0,200.0,1.5,40000,190.7224375,190.0,-9.2775625,0.0,392.5,0.529725,0.3444,0.19085,0.02185,0.064775,65.649,65.0,92.5,107.5,0.9947980380984021,1783.47375,9.8641,312.296
5.0,500.0,200.0,2.0,40000,191.518,192.5,-8.482,0.0,397.5,0.5278,0.340725,0.190075,0.023525,0.065075,66.5859375,65.0,95.0,110.0,0.9952751905902095,1795.2046875,9.857425,312.061375
5.0,500.0,200.0,2.5,40000,191.4768125,192.5,-8.5231875,0.0,397.5,0.52735,0.3448,0.191375,0.02425,0.067575,67.50175,65.0,95.0,115.0,0.9952794866450813,1805.5636875,9.84915,311.7769
5.0,500.0,200.0,3.0,40000,192.234625,192.5,-7.765375,0.0,405.0,0.52475,0.34585,0.1991,0.0279,0.072925,69.6355,67.5,102.5,130.0,0.9957453864121656,1825.16575,9.83175,311.1472
5.0,500.0,200.0,4.0,40000,193.5514375,192.5,-6.4485625,0.0,420.0,0.51875,0.350725,0.21185,0.037875,0.093325,75.894125,70.0,120.0,160.0,0.9965817672631322,1886.5194375,9.75685,308.50085
5.0,500.0,200.0,5.0,40000,193.8425,192.5,-6.1575,-2.5,437.5,0.51625,0.359025,0.226125,0.04745,0.11475,83.3630625,75.0,142.5,195.0,0.9968393741858228,1948.190125,9.673775,305.614575
5.0,500.0,200.0,6.0,40000,194.675625,195.0,-5.324375,-7.5,455.0,0.51315,0.365975,0.240425,0.059075,0.134925,89.27475,80.0,162.5,222.5,0.9972993279229013,1971.5,9.5769,302.316325
5.0,500.0,200.0,7.0,40000,196.2939375,195.0,-3.7060625,-12.5,480.06250000000364,0.507525,0.3705,0.255475,0.073975,0.156425,97.3499375,85.0,185.0,250.0,0.9981550406776551,2008.75025,9.46625,298.595175
5.0,500.0,500.0,0.25,40000,490.3778125,490.0,-9.6221875,287.5,692.5,0.533075,0.128125,0.009675,0.0,0.0,65.6125,65.0,92.5,105.0,0.9946860866661971,1810.7535625,10.0,317.611825
5.0,500.0,500.0,0.5,40000,491.4824375,492.5,-8.5175625,290.0,695.0,0.529025,0.124575,0.0092,0.0,0.0,65.6106875,65.0,92.5,105.0,0.9952981841249741,1811.5474375,10.0,317.5979
5.0,500.0,500.0,0.75,40000,490.3214375,490.0,-9.6785625,289.93750000000006,695.0,0.533975,0.1332,0.008675,0.0,0.0,66.315875,65.0,95.0,110.0,0.9946833823503208,1820.4360625,10.0,317.61405
5.0,500.0,500.0,1.0,40000,491.7571875,492.5,-8.2428125,285.0,700.0,0.526925,0.13405,0.0109,0.0,0.0,67.8475625,65.0,97.5,120.0,0.9955205176492997,1840.126125,10.0,317.58695
5.0,500.0,500.0,1.25,40000,490.9996875,490.0,-9.0003125,277.5,705.0,0.52845,0.139475,0.0128,0.0,0.0,70.0495,67.5,105.0,135.0,0.9951687378809565,1862.9319375,10.0,317.6254
5.0,500.0,500.0,1.5,40000,492.4409375,492.5,-7.5590625,267.5,715.0,0.520525,0.145925,0.017275,0.0,0.0,75.309125,70.0,120.0,157.5,0.9960896912855807,1933.1114375,10.0,317.597825
5.0,500.0,500.0,2.0,40000,493.8925,495.0,-6.1075,247.5,740.0,0.514,0.163525,0.02545,0.0001,0.00025,84.245875,75.0,145.0,205.0,0.9969853879545333,2025.9655,9.999775,317.5791
5.0,500.0,500.0,2.5,40000,495.6985625,495.0,-4.3014375,222.5,770.0,0.508025,0.18085,0.0368,0.0007,0.0014,96.71,85.0,182.5,255.0,0.9979770187353055,2126.286375,9.997875,317.53225
5.0,500.0,500.0,3.0,40000,495.1370625,495.0,-4.8629375,187.5,795.0,0.5081,0.202825,0.052925,0.0015,0.003975,108.745125,95.0,212.5,300.0,0.9978399935083486,2251.3531875,9.990875,317.2698
5.0,500.0,500.0,4.0,40000,499.1388125,500.0,-0.8611875,112.5,867.5,0.49815,0.227075,0.0801,0.00675,0.0131,136.0528125,115.0,287.5,405.0,0.9996469820991819,2439.5009375,9.9615,316.193475
5.0,500.0,500.0,5.0,40000,503.08425,505.0,3.08425,2.5,940.0,0.4884,0.25145,0.110025,0.015675,0.029475,162.262375,140.0,345.0,480.0,1.0011585208589393,2662.230875,9.913025,314.48345
5.0,500.0,500.0,6.0,40000,504.727375,505.0,4.727375,-12.5,1015.0,0.487375,0.273225,0.137975,0.028075,0.0498,189.451625,162.5,405.0,555.0,1.001674356091343,2823.3988125,9.8304,311.675025
