table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,1000,-945.275,-932.5,-1145.275,-3220.3125,1172.8749999999995,0.834,0.823,0.813,0.117,0.781,121.21,120.0,140.0,155.0,0.9946348900439974,213467.2,1000.0,37408.814
5.0,500.0,200.0,0.5,1000,-945.69,-998.75,-1145.69,-3096.0625,1410.4374999999995,0.833,0.822,0.812,0.119,0.787,121.085,120.0,140.0,155.0,0.9946337635797892,213499.725,1000.0,37409.5
5.0,500.0,200.0,0.75,1000,-925.48,-868.75,-1125.48,-3192.6875,1237.9999999999995,0.845,0.832,0.819,0.115,0.798,121.285,120.0,140.0,155.0,0.9947281247865435,213487.6025,1000.0,37411.522
5.0,500.0,200.0,1.0,1000,-899.1025,-872.5,-1099.1025,-3030.125,1180.3124999999998,0.835,0.827,0.815,0.124,0.791,121.61,120.0,142.5,160.0,0.9948558751455265,213661.7075,1000.0,37408.422
5.0,500.0,200.0,1.25,1000,-889.7225,-890.0,-1089.7225,-3133.0,1304.6249999999982,0.819,0.811,0.798,0.147,0.783,122.89,120.0,142.5,160.02499999999998,0.9949066529753171,213950.1775,1000.0,37409.666
5.0,500.0,200.0,1.5,1000,-848.3,-848.75,-1048.3,-3025.0625,1232.6874999999998,0.824,0.812,0.79,0.143,0.764,129.095,125.0,157.6249999999999,185.0,0.9951289776598596,215211.495,1000.0,37408.735
5.0,500.0,200.0,2.0,1000,-834.52,-857.5,-1034.52,-2963.125,1337.8749999999995,0.812,0.803,0.789,0.15,0.761,142.2725,135.0,185.1249999999999,225.0,0.9952483993598806,217720.3175,1000.0,37407.74
5.0,500.0,200.0,2.5,1000,-743.325,-735.0,-943.325,-3095.75,1625.125,0.789,0.775,0.766,0.163,0.739,163.8825,157.5,215.0,267.525,0.995728425924557,220837.795,1000.0,37410.507
5.0,500.0,200.0,3.0,1000,-738.0475,-787.5,-938.0475,-3032.8125,1683.374999999999,0.778,0.769,0.752,0.183,0.737,187.145,180.0,255.0,322.6249999999999,0.9958231846795582,224584.385,1000.0,37412.637
5.0,500.0,200.0,4.0,1000,-425.745,-408.75,-625.745,-2967.5625,2255.125,0.685,0.67,0.654,0.263,0.628,246.535,240.0,342.5,420.0,0.9973792881909761,238769.1,1000.0,37411.363
5.0,500.0,200.0,5.0,1000,-309.955,-266.25,-509.955,-3290.375,2527.75,0.639,0.627,0.603,0.313,0.582,305.32,297.5,415.0,520.1749999999998,0.9979713089931255,251371.45,1000.0,37409.793
5.0,500.0,200.0,6.0,1000,-168.9475,-130.0,-368.9475,-3487.875,3000.999999999999,0.573,0.562,0.548,0.364,0.528,353.9725,345.0,482.5,575.1249999999999,0.9985836929555272,260499.6575,1000.0,37409.186
5.0,500.0,200.0,7.0,1000,-27.605,-33.75,-227.605,-3393.3125,3324.312499999996,0.549,0.543,0.531,0.394,0.51,413.805,396.25,592.5,742.525,0.9991635259535593,272100.4925,1000.0,37411.752
5.0,500.0,500.0,0.25,1000,-634.335,-657.5,-1134.335,-2817.625,1587.7499999999998,0.844,0.821,0.777,0.072,0.717,121.38,120.0,140.0,155.0,0.9946859184486753,213458.335,1000.0,37409.144
5.0,500.0,500.0,0.5,1000,-663.4425,-661.25,-1163.4425,-2871.4375,1529.1249999999986,0.863,0.843,0.811,0.067,0.734,124.105,120.0,150.0,172.5,0.9945619778608276,213945.8925,1000.0,37409.746
