table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,40000,190.0096875,190.0,-9.9903125,0.0,390.0,0.53215,0.345825,0.19255,0.021,0.06405,65.3293125,65.0,90.0,105.0,0.9943560470148045,1770.091375,9.862925,311.466
5.0,500.0,200.0,0.5,40000,191.0466875,190.0,-8.9533125,0.0,392.5,0.5305,0.341225,0.1878,0.021625,0.06315,65.1523125,65.0,90.0,105.0,0.9949439033857879,1770.795375,9.86725,311.623075
5.0,500.0,200.0,0.75,40000,190.523,190.0,-9.477,0.0,395.0,0.5313,0.346,0.191025,0.022275,0.063,65.242125,65.0,90.0,105.0,0.9946463801173212,1770.204125,9.8638,311.480375
5.0,500.0,200.0,1.0,40000,190.6769375,190.0,-9.3230625,0.0,392.5,0.5337,0.3443,0.19,0.021675,0.06215,65.165,65.0,90.0,105.0,0.9947359446450714,1771.079875,9.870125,311.7002
5.0,500.0,200.0,1.25,40000,190.29,190.0,-9.71,0.0,392.5,0.53395,0.3448,0.1884,0.021675,0.0616,65.313375,65.0,90.0,105.0,0.9945169649396329,1770.917,9.867725,311.672425
5.0,500.0,200.0,1.5,40000,190.8236875,190.0,-9.1763125,0.0,392.5,0.5316,0.3435,0.188025,0.0217,0.061925,65.3279375,65.0,90.0,105.0,0.9948197023843672,1771.387125,9.86945,311.685375
5.0,500.0,200.0,2.0,40000,190.6348125,190.0,-9.3651875,0.0,390.0,0.5293,0.342275,0.1892,0.020725,0.063675,65.1255625,65.0,90.0,105.0,0.9947094174649987,1770.161875,9.865825,311.53105
5.0,500.0,200.0,2.5,40000,190.4835625,190.0,-9.5164375,0.0,392.5,0.5328,0.3425,0.18915,0.0211,0.063475,65.29075,65.0,90.0,105.0,0.9946244102184043,1770.30575,9.864875,311.541775
5.0,500.0,200.0,3.0,40000,190.8838125,190.0,-9.1161875,0.0,395.0,0.531775,0.343725,0.187575,0.022575,0.062575,65.2979375,65.0,90.0,105.0,0.9948516240297313,1770.691875,9.8654,311.5823
5.0,500.0,200.0,4.0,40000,190.38375,190.0,-9.61625,0.0,395.0,0.5295,0.3463,0.193,0.0228,0.066675,65.3498125,65.0,90.0,105.0,0.9945656469914078,1769.529875,9.8616,311.391875
5.0,500.0,200.0,5.0,40000,190.8624375,190.0,-9.1375625,0.0,392.5,0.532225,0.34195,0.187675,0.021825,0.062175,65.3291875,65.0,90.0,105.0,0.9948425994701248,1771.738,9.873075,311.794875
5.0,500.0,200.0,6.0,40000,189.9720625,190.0,-10.0279375,0.0,390.0,0.5342,0.345375,0.19115,0.02105,0.062325,65.3141875,65.0,90.0,105.0,0.9943382267213312,1771.1655,9.869825,311.67095
5.0,500.0,200.0,7.0,40000,190.3053125,190.0,-9.6946875,0.0,387.56250000000364,0.532525,0.34225,0.1876,0.02035,0.063,65.28275,65.0,90.0,105.0,0.9945243477402604,1770.50825,9.864875,311.538175
5.0,500.0,500.0,0.25,40000,490.50625,490.0,-9.49375,287.5,692.5,0.532375,0.1283,0.009825,0.0,0.0,65.540625,65.0,92.5,105.0,0.9947270595501387,1800.466,10.0,316.8143
5.0,500.0,500.0,0.5,40000,490.1273125,490.0,-9.8726875,287.5,692.5,0.532525,0.131,0.0096,0.0,0.0,65.3761875,65.0,90.0,105.0,0.9945165859710162,1800.463625,10.0,316.8232
5.0,500.0,500.0,0.75,40000,489.4061875,490.0,-10.5938125,285.0,692.5,0.533275,0.128325,0.0101,0.0,0.0,65.50675,65.0,92.5,105.0,0.9941156037160559,1800.32275,10.0,316.84685
5.0,500.0,500.0,1.0,40000,489.729875,490.0,-10.270125,287.5,692.5,0.535275,0.128575,0.01015,0.0,0.0,65.534625,65.0,92.5,105.0,0.9942960362794336,1800.52425,10.0,316.804925
5.0,500.0,500.0,1.25,40000,490.0685,490.0,-9.9315,287.5,690.0,0.531075,0.1301,0.0091,0.0,0.0,65.4565625,65.0,90.0,105.0,0.9944830130031659,1800.167375,10.0,316.799125
5.0,500.0,500.0,1.5,40000,491.0736875,490.0,-8.9263125,287.5,692.5,0.531425,0.126675,0.008625,0.0,0.0,65.3885625,65.0,92.5,105.0,0.9950419088038378,1800.352625,10.0,316.80855
5.0,500.0,500.0,2.0,40000,490.8730625,490.0,-9.1269375,287.5,695.0,0.532,0.1296,0.01025,0.0,0.0,65.4106875,65.0,92.5,105.0,0.9949301121984908,1800.22475,10.0,316.81795
5.0,500.0,500.0,2.5,40000,490.5543125,490.0,-9.4456875,290.0,695.0,0.532,0.1306,0.008875,0.0,0.0,65.580125,65.0,92.5,105.0,0.9947529977810879,1800.2065,10.0,316.8032
5.0,500.0,500.0,3.0,40000,489.810625,490.0,-10.189375,287.5,692.5,0.537075,0.1291,0.01,0.0,0.0,65.3728125,65.0,92.5,105.0,0.994340038332067,1800.255125,10.0,316.787625
5.0,500.0,500.0,4.0,40000,490.3791875,490.0,-9.6208125,287.5,692.5,0.5344,0.128125,0.00965,0.0,0.0,65.4744375,65.0,92.5,105.0,0.9946555677219385,1800.156125,10.0,316.824875
5.0,500.0,500.0,5.0,40000,490.442125,490.0,-9.557875,290.0,690.0,0.530575,0.128675,0.00935,0.0,0.0,65.451125,65.0,92.5,105.0,0.9946906431499485,1800.1945,10.0,316.7938
5.0,500.0,500.0,6.0,40000,490.299625,490.0,-9.700375,290.0,695.0,0.533625,0.1265,0.00945,0.0,0.0,65.4136875,65.0,92.5,105.0,0.9946113503350694,1800.1495,10.0,316.835925
5.0,500.0,500.0,7.0,40000,490.4851875,490.0,-9.5148125,290.0,692.5,0.53125,0.127775,0.00865,0.0,0.0,65.3308125,65.0,92.5,105.0,0.9947149293205072,1800.318875,10.0,316.82105
5.0,500.0,1000.0,0.25,40000,989.004375,987.5,-10.995625,785.0,1190.0,0.539175,0.00975,0.0,0.0,0.0,65.4163125,65.0,92.5,105.0,0.9938925714672936,1800.369,10.0,316.821025
5.0,500.0,1000.0,0.5,40000,990.626125,990.0,-9.373875,787.5,1192.5,0.530825,0.00965,0.0,0.0,0.0,65.441875,65.0,92.5,105.0,0.9947929577341565,1800.23025,10.0,316.823875
5.0,500.0,1000.0,0.75,40000,990.117,990.0,-9.883,787.5,1192.5,0.531625,0.00955,0.0,0.0,0.0,65.384375,65.0,92.5,105.0,0.9945103902584561,1800.310125,10.0,316.807225
5.0,500.0,1000.0,1.0,40000,989.6873125,990.0,-10.3126875,787.5,1190.0,0.534325,0.00955,0.0,0.0,0.0,65.485,65.0,92.5,105.0,0.9942720712521941,1800.42175,10.0,316.77855
5.0,500.0,1000.0,1.25,40000,989.443625,990.0,-10.556375,787.5,1192.5,0.5356,0.0091,0.0,0.0,0.0,65.550625,65.0,92.5,105.0,0.9941354926131345,1800.044625,10.0,316.8164
