table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,1000,-1175.305,-1185.0,-1375.305,-3502.5,1067.9374999999995,0.876,0.859,0.85,0.095,0.836,130.4825,130.0,152.5,165.0,0.9943641017576518,244025.875,1000.0,42942.428
5.0,500.0,200.0,0.5,1000,-1154.07,-1146.25,-1354.07,-3535.5625,1197.9999999999995,0.858,0.85,0.84,0.107,0.826,130.5275,130.0,152.5,165.0,0.994451269017072,244032.375,1000.0,42944.165
5.0,500.0,200.0,0.75,1000,-1277.385,-1305.0,-1477.385,-3548.0,979.9374999999977,0.878,0.875,0.871,0.083,0.849,130.33,128.75,152.5,160.0,0.9939463245295933,244047.605,1000.0,42942.996
5.0,500.0,200.0,1.0,1000,-1212.3575,-1232.5,-1412.3575,-3430.875,1003.1249999999994,0.885,0.875,0.865,0.082,0.848,130.3375,130.0,152.5,165.0,0.9942127660045252,244047.07,1000.0,42944.63
5.0,500.0,200.0,1.25,1000,-1263.8975,-1272.5,-1463.8975,-3552.875,1033.9999999999986,0.889,0.882,0.875,0.085,0.858,130.2,130.0,152.5,165.0,0.9940011859141753,244031.15,1000.0,42944.023
5.0,500.0,200.0,1.5,1000,-1190.645,-1216.25,-1390.645,-3570.4375,1186.4374999999986,0.879,0.873,0.861,0.097,0.845,130.595,130.0,152.5,162.52499999999998,0.9943012586041305,244026.69,1000.0,42941.835
5.0,500.0,200.0,2.0,1000,-1218.7975,-1255.0,-1418.7975,-3405.0625,1225.0625,0.89,0.883,0.871,0.08,0.844,130.725,130.0,155.0,165.0,0.9941857847883789,244022.185,1000.0,42941.623
5.0,500.0,200.0,2.5,1000,-1206.325,-1221.25,-1406.325,-3645.0625,1125.0625,0.876,0.872,0.859,0.1,0.841,130.3225,130.0,152.5,165.0,0.9942373808187441,244042.675,1000.0,42943.207
5.0,500.0,200.0,3.0,1000,-1169.205,-1177.5,-1369.205,-3657.75,1230.3124999999998,0.874,0.871,0.86,0.093,0.841,129.9375,127.5,152.5,162.5,0.9943893389141423,244036.305,1000.0,42943.151
5.0,500.0,200.0,4.0,1000,-1237.405,-1207.5,-1437.405,-3492.625,1057.625,0.874,0.866,0.856,0.087,0.839,131.3675,130.0,152.5,165.0,0.9941096172887336,244025.74,1000.0,42942.817
5.0,500.0,200.0,5.0,1000,-1196.4225,-1203.75,-1396.4225,-3632.625,1042.7499999999998,0.869,0.858,0.851,0.099,0.83,130.2825,127.5,152.5,165.02499999999998,0.9942778730938016,244039.065,1000.0,42943.546
5.0,500.0,200.0,6.0,1000,-1188.47,-1197.5,-1388.47,-3557.875,1137.8749999999995,0.882,0.872,0.868,0.093,0.855,129.455,127.5,150.0,160.02499999999998,0.9943103514440925,244034.405,1000.0,42943.67
