table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,2000,-31.36375,-35.0,-231.36375,-1262.5625,1322.5,0.641,0.612,0.5815,0.2515,0.5245,68.83375,70.0,80.0,85.0,0.9970622516759788,78755.47,1000.0,13754.7165
5.0,500.0,200.0,0.5,2000,19.19875,2.5,-180.80125,-1310.4375,1385.187499999999,0.6115,0.5855,0.553,0.2815,0.501,68.6225,67.5,80.0,85.0,0.9977045433856709,78764.83,1000.0,13754.717
5.0,500.0,200.0,0.75,2000,29.245,22.5,-170.755,-1330.25,1352.6249999999993,0.5935,0.561,0.534,0.3095,0.4855,71.42125,70.0,85.0,95.0,0.997847140990028,79315.45875,1000.0,13754.6155
5.0,500.0,200.0,1.0,2000,129.83125,108.75,-70.16875,-1282.5625,1500.1249999999993,0.549,0.521,0.4925,0.351,0.441,80.93125,80.0,100.0,117.5,0.9991350841678586,81127.83625,1000.0,13754.3755
5.0,500.0,200.0,1.25,2000,192.67875,180.0,-7.32125,-1225.3125,1615.374999999998,0.51,0.479,0.4585,0.3915,0.409,93.025,90.0,122.5,140.0,0.9999119011750491,83102.6975,1000.0,13754.526
5.0,500.0,200.0,1.5,2000,295.74,337.5,95.74,-1235.4375,1788.3749999999952,0.4315,0.406,0.3865,0.4645,0.3445,109.41625,105.0,145.0,165.0,1.0011036903319757,86745.34625,1000.0,13755.3575
5.0,500.0,200.0,2.0,2000,518.685,516.25,318.685,-1167.5625,2267.5,0.362,0.3395,0.313,0.55,0.279,141.08,137.5,185.0,215.0,1.0034172684218183,93257.23375,1000.0,13754.822
5.0,500.0,200.0,2.5,2000,757.93125,772.5,557.93125,-1228.0625,2685.6874999999964,0.283,0.2705,0.252,0.6465,0.225,171.8475,167.5,225.0,260.04999999999995,1.0055156263888465,101154.64875,1000.0,13754.345
5.0,500.0,200.0,3.0,2000,990.14625,1003.75,790.14625,-1147.8125,3175.124999999999,0.2495,0.237,0.22,0.6905,0.194,209.25125,205.0,270.1249999999999,315.0,1.0072579549743326,108866.2375,1000.0,13755.1485
5.0,500.0,200.0,4.0,2000,1364.68,1357.5,1164.68,-1427.6875,4307.5625,0.2205,0.2125,0.204,0.739,0.1895,271.17,265.0,360.0,417.6249999999999,1.0093678547968028,124327.29,1000.0,13754.953
5.0,500.0,200.0,5.0,2000,1920.16125,1921.25,1720.16125,-1406.625,5235.0625,0.1525,0.144,0.138,0.822,0.125,340.8575,332.5,452.5,525.05,1.0120608325019063,142623.7575,1000.0,13754.3375
5.0,500.0,200.0,6.0,2000,2417.165,2443.75,2217.165,-1757.5,6337.999999999997,0.141,0.136,0.1325,0.842,0.1245,408.27375,400.0,537.6249999999999,680.0,1.0137848481193918,160840.7275,1000.0,13754.4365
5.0,500.0,200.0,7.0,2000,2729.4725,2757.5,2529.4725,-1736.875,7437.624999999999,0.148,0.1445,0.1395,0.835,0.1275,472.59375,460.0,620.0,710.05,1.0142866876734655,177051.01125,1000.0,13754.5345
5.0,500.0,500.0,0.25,2000,303.3625,302.5,-196.6375,-1022.5625,1572.5624999999995,0.6175,0.546,0.465,0.1545,0.3215,69.51,70.0,80.0,87.52499999999998,0.9975069908376247,78875.5625,1000.0,13754.1075
5.0,500.0,500.0,0.5,2000,497.39125,485.0,-2.60875,-930.25,1897.5,0.509,0.435,0.3675,0.248,0.245,92.175,90.0,120.0,135.0,0.9999686155337468,83122.33125,1000.0,13754.3505
5.0,500.0,500.0,0.75,2000,737.6075,737.5,237.6075,-978.125,2387.874999999998,0.379,0.3295,0.277,0.385,0.189,132.50125,130.0,175.0,202.52499999999998,1.0026048341746088,91217.89875,1000.0,13755.1325
5.0,500.0,500.0,1.0,2000,1032.03125,1061.25,532.03125,-975.125,3060.187499999999,0.301,0.2635,0.227,0.524,0.159,172.08375,167.5,227.5,270.0,1.0052611535899862,101124.4475,1000.0,13754.5255
5.0,500.0,500.0,1.25,2000,1323.0825,1318.75,823.0825,-882.6875,3536.3749999999927,0.2375,0.2065,0.1765,0.6055,0.1295,216.06125,210.0,285.0,340.0,1.007417508456537,110964.82125,1000.0,13754.656
5.0,500.0,500.0,1.5,2000,1593.0825,1590.0,1093.0825,-1015.0625,4257.5,0.205,0.187,0.16,0.684,0.12,253.3275,247.5,335.0,395.07499999999993,1.0091028685268892,120081.10375,1000.0,13754.3135
5.0,500.0,500.0,2.0,2000,2177.895,2138.75,1677.895,-1097.875,5450.0,0.1565,0.1375,0.118,0.755,0.095,341.28375,335.0,452.5,550.1499999999999,1.011761499059008,142659.96125,1000.0,13754.2095
5.0,500.0,500.0,2.5,2000,2671.84125,2667.5,2171.84125,-1350.875,6650.124999999999,0.143,0.126,0.115,0.794,0.091,423.38,412.5,550.1249999999999,635.0,1.0131930691748006,164619.86375,1000.0,13754.792
5.0,500.0,500.0,3.0,2000,3183.8075,3120.0,2683.8075,-1497.75,7910.0625,0.1335,0.1235,0.115,0.82,0.095,504.935,490.0,662.5,787.5,1.014469332233463,185482.47125,1000.0,13754.342
