table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,8000,140.07625,2.5,-59.92375,-5.0,777.5,0.724125,0.701875,0.68275,0.15925,0.67,91.28375,90.0,115.0,130.0,0.9950183203169428,12028.824375,56.711875,2108.0075
5.0,500.0,200.0,0.5,8000,140.8840625,2.5,-59.1159375,-5.0,790.0,0.726875,0.703625,0.68525,0.166125,0.6685,91.1365625,90.0,115.0,130.0,0.9951207533019792,12115.791875,57.1205,2123.220625
5.0,500.0,200.0,0.75,8000,138.00625,2.5,-61.99375,-5.0,772.5,0.725375,0.705375,0.687,0.159625,0.670875,91.293125,90.0,115.0,130.0,0.994852998332141,12044.63375,56.785,2110.88825
5.0,500.0,200.0,1.0,8000,137.710625,2.5,-62.289375,-5.0,765.0,0.72625,0.7055,0.690625,0.158125,0.6745,90.98,90.0,115.0,130.0,0.9947493351913292,11863.140625,55.908125,2078.225625
5.0,500.0,200.0,1.25,8000,140.02625,2.5,-59.97375,-5.0,790.0624999999991,0.7265,0.704375,0.68625,0.16125,0.6685,92.6490625,92.5,120.0,132.5,0.9950257767176202,12056.9075,56.59625,2104.018
5.0,500.0,200.0,1.5,8000,145.29375,2.5,-54.70625,-5.0,787.5624999999991,0.717125,0.69675,0.678,0.174375,0.665625,93.4403125,92.5,120.0,137.5,0.9954918510043623,12134.969375,56.711,2108.264875
5.0,500.0,200.0,2.0,8000,146.3653125,2.5,-53.6346875,-5.0,820.0624999999991,0.722875,0.701,0.68575,0.176,0.669625,97.8509375,95.0,132.5,160.0,0.9956056419613251,12205.3521875,56.259875,2091.462875
5.0,500.0,200.0,2.5,8000,156.0596875,2.5,-43.9403125,-7.5,847.5,0.707375,0.689625,0.673,0.189625,0.660125,105.1053125,100.0,150.0,185.0,0.9964815731436,12488.6246875,56.380625,2096.4225
5.0,500.0,200.0,3.0,8000,161.6046875,2.5,-38.3953125,-10.0,897.5,0.710625,0.69425,0.6815,0.1945,0.670125,115.8390625,110.0,177.5,220.0,0.9969273110814619,12495.671875,54.997125,2045.05025
5.0,500.0,200.0,4.0,8000,171.4090625,2.5,-28.5909375,-15.0,982.5,0.711625,0.69775,0.686875,0.206,0.679,136.3621875,127.5,217.5,277.52500000000055,0.997733667667163,12615.5096875,52.833875,1964.510375
5.0,500.0,200.0,5.0,8000,180.57,2.5,-19.43,-25.0,1080.0,0.72425,0.7145,0.705375,0.21,0.697125,159.8709375,150.0,265.0,337.5,0.9984514759519266,12547.431875,50.114875,1863.3715
5.0,500.0,200.0,6.0,8000,196.18125,0.0,-3.81875,-30.0,1210.0,0.728,0.72025,0.713,0.223375,0.7075,183.8696875,175.0,312.5,392.5,0.999697811853654,12636.9946875,47.6545,1771.458125
5.0,500.0,200.0,7.0,8000,204.57625,0.0,4.57625,-40.0,1335.062499999999,0.74225,0.735625,0.731625,0.222125,0.727375,207.745,197.5,357.5,465.0,1.0003622457594563,12632.998125,45.172875,1678.835375
5.0,500.0,500.0,0.25,8000,403.67375,392.5,-96.32625,0.0,1077.5,0.618,0.48075,0.353375,0.041875,0.23375,98.2215625,97.5,120.0,135.0,0.9950683733546826,19532.3484375,91.640375,3422.827125
