table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,80000,197.86759375,197.5,-2.13240625,65.0,332.5,0.50495,0.2362375,0.07225,0.0015,0.00185,40.80675,40.0,57.5,65.0,0.997292356065276,787.55046875,10.0,137.50245
5.0,500.0,200.0,0.5,80000,197.70559375,197.5,-2.29440625,65.0,330.0,0.50605,0.2341,0.0708625,0.0016,0.0020375,40.83153125,40.0,57.5,65.0,0.9970868540146093,787.60428125,10.0,137.508425
5.0,500.0,200.0,0.75,80000,198.2335,197.5,-1.7665,65.0,332.5,0.5033,0.237875,0.0734125,0.0017875,0.0022,41.33171875,40.0,60.0,67.5,0.9977745570550455,793.7745625,10.0,137.4911125
5.0,500.0,200.0,1.0,80000,198.49128125,197.5,-1.50871875,60.0,337.5,0.5013,0.2407125,0.078825,0.0022125,0.002625,42.703125,40.0,62.5,75.0,0.9981340875980538,808.56890625,10.0,137.50515
5.0,500.0,200.0,1.25,80000,199.1755,200.0,-0.8245,55.0,342.5,0.4986125,0.2432375,0.0844625,0.0033375,0.0043,44.91365625,42.5,67.5,85.0,0.9990077252933508,830.91909375,10.0,137.512725
5.0,500.0,200.0,1.5,80000,200.51296875,200.0,0.51296875,50.0,355.0,0.491775,0.2495375,0.093975,0.005825,0.0058875,48.0880625,45.0,77.5,100.0,1.0005961613311711,860.45290625,10.0,137.5087
5.0,500.0,200.0,2.0,80000,202.656625,202.5,2.656625,30.0,375.0,0.481825,0.2658375,0.1139125,0.013575,0.0123,56.02615625,50.0,100.0,130.0,1.0028680215829655,926.29184375,10.0,137.50755
5.0,500.0,200.0,2.5,80000,204.21471875,205.0,4.21471875,7.5,402.5,0.4769875,0.283325,0.139575,0.026775,0.02335,65.142375,60.0,120.0,160.0,1.0042049718879744,1002.3179375,10.0,137.5100625
5.0,500.0,200.0,3.0,80000,206.68165625,207.5,6.68165625,-17.5,430.0,0.4698625,0.2943,0.1597625,0.0441875,0.035725,74.688625,65.0,142.5,187.5,1.006176566198032,1081.77521875,10.0,137.499075
5.0,500.0,200.0,4.0,80000,210.7911875,210.0,10.7911875,-70.0,490.0,0.460475,0.31525,0.19805,0.0836125,0.0650875,94.88121875,85.0,187.5,250.0,1.008724554991935,1236.87540625,10.0,137.499675
5.0,500.0,200.0,5.0,80000,215.9823125,215.0,15.9823125,-125.0,555.0,0.457425,0.3346625,0.23055,0.1298375,0.0963375,116.62725,105.0,230.0,310.0,1.0113443835603615,1408.83040625,10.0,137.51585
5.0,500.0,200.0,6.0,80000,221.105875,220.0,21.105875,-182.5,630.0,0.45255,0.347025,0.2548625,0.1742,0.1294125,140.21921875,125.0,280.0,375.0,1.0132728830613464,1590.15,10.0,137.49395
5.0,500.0,200.0,7.0,80000,225.02196875,225.0,25.02196875,-242.5,690.0,0.4518375,0.357425,0.27375,0.2082,0.153375,161.185125,145.0,325.0,440.0,1.014294794222147,1750.42525,10.0,137.5014625
5.0,500.0,500.0,0.25,80000,497.748125,497.5,-2.251875,365.0,632.5,0.505375,0.03475,0.0001,0.0,0.0,41.0304375,40.0,57.5,67.5,0.9971494653289381,789.983375,10.0,137.499025
5.0,500.0,500.0,0.5,80000,499.69934375,500.0,-0.30065625,355.0,642.5,0.4939875,0.0432,0.0003125,0.0,0.0,44.87421875,42.5,67.5,85.0,0.9996380861834877,830.73990625,10.0,137.497425
5.0,500.0,500.0,0.75,80000,503.0110625,502.5,3.0110625,334.93750000000034,672.5,0.4789875,0.0648625,0.00205,0.0,0.0,54.059375,50.0,92.5,122.5,1.00329160563699,914.770125,10.0,137.5044125
5.0,500.0,500.0,1.0,80000,504.9773125,505.0,4.9773125,307.5,702.5,0.47505,0.08975,0.0063875,1.25e-05,1.25e-05,65.02321875,60.0,120.0,160.0,1.0049656528367858,1002.3480625,10.0,137.513525
5.0,500.0,500.0,1.25,80000,507.499375,507.5,7.499375,277.5,737.5,0.468875,0.1184375,0.0153875,0.0001125,5e-05,77.7185625,70.0,150.0,197.5,1.0068016839765528,1102.57621875,10.0,137.505825
5.0,500.0,500.0,1.5,80000,510.84940625,510.0,10.84940625,247.5,775.0,0.4614875,0.1393375,0.02525,0.0005375,0.0004375,89.03696875,80.0,175.0,235.0,1.0091180692545278,1189.87978125,10.0,137.5076125
5.0,500.0,500.0,2.0,80000,516.27753125,515.0,16.27753125,175.0,855.0,0.4560875,0.1856125,0.0559125,0.0044,0.0032375,116.99353125,105.0,230.0,312.5,1.0115434491306805,1410.10984375,10.0,137.502675
5.0,500.0,500.0,2.5,80000,521.18153125,520.0,21.18153125,107.5,940.0,0.454875,0.2193875,0.0857625,0.0144,0.0091625,143.15859375,127.5,285.0,385.0,1.0131600123055549,1609.53734375,10.0,137.5074375
5.0,500.0,500.0,3.0,80000,527.07575,525.0,27.07575,32.5,1025.0,0.45115,0.246675,0.116425,0.0307375,0.0199625,171.656625,152.5,345.0,467.5,1.0147766417440538,1832.33446875,10.0,137.520525
5.0,500.0,500.0,4.0,80000,535.07,532.5,35.07,-122.5,1200.0,0.4532625,0.2918625,0.1721625,0.07435,0.0506375,228.818125,205.0,460.0,625.0,1.0154214828797958,2274.100375,10.0,137.508725
5.0,500.0,500.0,5.0,80000,549.8064375,545.0,49.8064375,-265.0,1375.0,0.444925,0.31335,0.207875,0.12125,0.08085,284.10409375,255.0,575.0,775.0,1.0182793289082415,2724.74103125,10.0,137.515475
5.0,500.0,500.0,6.0,80000,560.00403125,557.5,60.00403125,-415.0,1542.5,0.4447125,0.3335125,0.2382875,0.1634875,0.1120125,339.79228125,300.0,692.5,937.5,1.0190929028363913,3142.74009375,10.0,137.5170375
5.0,500.0,500.0,7.0,80000,570.4548125,565.0,70.4548125,-560.0,1717.5,0.446375,0.3486625,0.26465,0.205325,0.1423375,397.9366875,355.0,805.0,1075.024999999987,1.019415855197514,3628.7256875,10.0,137.497825
5.0,500.0,1000.0,0.25,80000,999.5481875,1000.0,-0.4518125,857.5,1142.5,0.494475,0.0003625,0.0,0.0,0.0,44.93309375,45.0,67.5,85.0,0.9994563512429714,831.07428125,10.0,137.5002375
5.0,500.0,1000.0,0.5,80000,1005.20834375,1005.0,5.20834375,807.5,1202.5,0.4745625,0.0065625,0.0,0.0,0.0,65.056125,60.0,120.0,160.0,1.0051961208499731,1002.3523125,10.0,137.4993
5.0,500.0,1000.0,0.75,80000,1009.44275,1010.0,9.44275,745.0,1275.0,0.46565,0.02635,0.0002125,0.0,0.0,89.736375,80.0,175.0,237.5,1.0079212833607332,1192.07325,10.0,137.51065
5.0,500.0,1000.0,1.0,80000,1014.827875,1015.0,14.827875,675.0,1357.5,0.4604375,0.0562125,0.00275,0.0,0.0,117.3418125,105.0,232.5,315.0,1.010512784614625,1410.46121875,10.0,137.502425
5.0,500.0,1000.0,1.25,80000,1021.20959375,1020.0,21.20959375,610.0,1437.5,0.453125,0.0856875,0.008725,6.25e-05,1.25e-05,143.089375,127.5,285.0,385.0,1.0131800314892114,1609.22178125,10.0,137.5084625
