table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,1000,32.9775,2.5,-167.0225,-5.0,410.1249999999976,0.971,0.971,0.971,0.027,0.971,100.87,100.0,135.0,147.52499999999998,0.9945615759536819,30711.5625,125.373,5375.63
5.0,500.0,200.0,0.5,1000,37.81,2.5,-162.19,-5.0,642.9374999999995,0.968,0.968,0.968,0.03,0.968,100.9225,100.0,130.0,145.0,0.9950287203353276,32625.4025,133.148,5709.97
5.0,500.0,200.0,0.75,1000,36.3925,2.5,-163.6075,-5.0,728.6874999999989,0.965,0.963,0.963,0.031,0.963,101.445,100.0,132.5,147.52499999999998,0.9952534098052486,34468.4275,140.592,6031.195
5.0,500.0,200.0,1.0,1000,37.7425,0.0,-162.2575,-5.0,509.62499999999807,0.963,0.961,0.961,0.033,0.959,102.4,100.0,135.0,147.5,0.9954772109353616,35875.54,145.846,6257.851
5.0,500.0,200.0,1.25,1000,40.4075,0.0,-159.5925,-5.0,822.8749999999997,0.963,0.963,0.961,0.035,0.961,103.2525,102.5,137.5,160.02499999999998,0.9954271109989166,34899.71,141.194,6057.193
5.0,500.0,200.0,1.5,1000,48.585,0.0,-151.415,-5.0,837.4374999999977,0.961,0.961,0.96,0.034,0.96,107.6425,105.0,145.0,167.52499999999998,0.9958747933088637,36704.8275,147.159,6313.992
5.0,500.0,200.0,2.0,1000,43.6625,0.0,-156.3375,-10.0,810.3124999999998,0.963,0.963,0.962,0.035,0.962,117.7275,110.0,182.5,225.02499999999998,0.995590181269042,35452.1375,138.864,5956.957
5.0,500.0,200.0,2.5,1000,79.42,0.0,-120.58,-12.5,1488.437499999999,0.943,0.943,0.942,0.054,0.942,133.96,122.5,215.0,267.5,0.9970243350315452,40522.035,153.264,6577.873
5.0,500.0,200.0,3.0,1000,87.52,0.0,-112.48,-15.0,1521.9999999999982,0.945,0.945,0.945,0.051,0.945,149.5,137.5,260.1249999999999,327.54999999999995,0.997247217849619,40860.48,151.309,6494.36
5.0,500.0,200.0,4.0,1000,135.905,0.0,-64.095,-27.562499999999996,2350.749999999999,0.926,0.926,0.926,0.072,0.926,192.86,177.5,340.1249999999999,430.0,0.9987038313215284,49449.5825,168.532,7237.936
5.0,500.0,200.0,5.0,1000,211.08,0.0,11.08,-35.0625,3278.0624999999995,0.914,0.914,0.913,0.086,0.913,217.245,197.5,397.5,490.04999999999995,1.0002153761776744,51444.8725,165.151,7092.249
5.0,500.0,200.0,6.0,1000,291.69,0.0,91.69,-47.5,3843.437499999999,0.897,0.897,0.896,0.103,0.896,252.145,227.5,485.2499999999998,637.5,1.0017056611011002,53756.2825,160.28,6885.199
5.0,500.0,200.0,7.0,1000,355.2225,-2.5,155.2225,-52.5,4588.874999999999,0.886,0.886,0.886,0.112,0.886,292.0125,250.0,585.1249999999999,720.1249999999999,1.0025068783810498,61918.64,175.3,7532.033
5.0,500.0,500.0,0.25,1000,104.655,2.5,-395.345,-5.0,1452.4999999999977,0.931,0.924,0.917,0.049,0.914,115.805,115.0,142.5,155.02499999999998,0.9948483699807132,76741.73,312.475,13430.464
5.0,500.0,500.0,0.5,1000,138.205,2.5,-361.795,-5.0,1709.3124999999984,0.904,0.9,0.893,0.06,0.882,119.5325,117.5,152.5,170.02499999999998,0.9956528268025555,83225.3475,336.008,14445.026
5.0,500.0,500.0,0.75,1000,156.0475,2.5,-343.9525,-5.0,1755.0625,0.891,0.885,0.881,0.078,0.879,136.8125,132.5,192.5,225.0,0.9959624134473252,85187.6475,336.417,14461.604
5.0,500.0,500.0,1.0,1000,218.2275,2.5,-281.7725,-12.5,2145.4374999999995,0.861,0.855,0.851,0.104,0.847,172.8825,170.0,262.6249999999999,322.5,0.9969765080829164,93194.395,351.497,15112.067
5.0,500.0,500.0,1.25,1000,315.1675,2.5,-184.8325,-17.5,2682.75,0.821,0.815,0.81,0.146,0.807,204.0975,198.75,312.5,360.0,0.9982045480524727,102944.8325,374.942,16124.239
5.0,500.0,500.0,1.5,1000,341.41,0.0,-158.59,-22.5,2778.1249999999973,0.807,0.804,0.803,0.159,0.801,234.4325,231.25,355.0,400.04999999999995,0.9984547529767855,102630.84,358.182,15404.405
5.0,500.0,500.0,2.0,1000,544.76,0.0,44.76,-37.5,4320.937499999999,0.78,0.777,0.772,0.202,0.77,306.16,300.0,485.0,567.5,1.0003743589463727,119564.3925,382.794,16464.969
5.0,500.0,500.0,2.5,1000,746.1275,0.0,246.1275,-45.0,5009.124999999998,0.749,0.745,0.744,0.235,0.744,370.545,366.25,592.5,687.5749999999999,1.0018608794213228,132264.0775,391.168,16824.117
5.0,500.0,500.0,3.0,1000,868.89,0.0,368.89,-60.0,6034.374999999998,0.763,0.763,0.763,0.228,0.762,435.2525,428.75,690.0,837.5,1.0028827847408324,127963.075,346.575,14906.375
5.0,500.0,500.0,4.0,1000,1147.6875,-5.0,647.6875,-77.5,7940.0625,0.767,0.767,0.765,0.226,0.764,548.9925,530.0,895.0,1092.725,1.0047415353094078,136598.6875,324.489,13956.407
5.0,500.0,500.0,5.0,1000,1249.885,-10.0,749.885,-95.0625,10435.0625,0.812,0.812,0.812,0.185,0.812,621.9925,585.0,1080.0,1335.0,1.0059207202152662,126654.355,259.603,11162.621
5.0,500.0,500.0,6.0,1000,1402.84,-12.5,902.84,-137.5625,11254.874999999993,0.821,0.821,0.821,0.179,0.821,704.3125,637.5,1252.5,1552.8499999999997,1.0070368781588872,128301.2125,240.018,10320.642
5.0,500.0,500.0,7.0,1000,1704.9675,-15.0,1204.9675,-140.0625,14113.562499999998,0.824,0.824,0.824,0.176,0.824,808.225,710.0,1550.3749999999995,1937.5749999999998,1.0083669063057241,144015.895,239.514,10298.333
5.0,500.0,1000.0,0.25,1000,396.0225,2.5,-603.9775,-5.0,2250.1875,0.81,0.774,0.728,0.042,0.688,129.5,127.5,157.5,180.0,0.9960170009831417,151638.8775,611.671,26315.943
5.0,500.0,1000.0,0.5,1000,526.145,2.5,-473.855,-10.0,2828.249999999999,0.759,0.715,0.684,0.09,0.651,194.845,190.0,265.2499999999998,305.0,0.9971345577323304,165368.8875,623.342,26819.468
5.0,500.0,1000.0,0.75,1000,820.21,2.5,-179.79,-20.0,3662.8749999999995,0.661,0.638,0.612,0.185,0.583,274.9,270.0,397.5,475.0,0.9990196901656041,183401.2,639.081,27498.977
5.0,500.0,1000.0,1.0,1000,1055.255,2.5,55.255,-30.062499999999996,4992.6875,0.633,0.615,0.599,0.245,0.587,356.55,345.0,520.0,635.05,1.0002894647242992,190886.8175,610.891,26287.281
5.0,500.0,1000.0,1.25,1000,1416.245,2.5,416.245,-40.0,6081.687499999998,0.567,0.549,0.542,0.331,0.532,439.915,425.0,647.5,805.0,1.001928456776261,215843.5725,638.241,27464.692
5.0,500.0,1000.0,1.5,1000,1598.88,2.5,598.88,-50.0625,7053.937499999999,0.597,0.588,0.583,0.351,0.577,516.265,505.0,765.0,877.5749999999999,1.0028131862185254,212883.17,575.716,24771.687
5.0,500.0,1000.0,2.0,1000,2029.595,1.25,1029.595,-77.5625,9062.5625,0.599,0.596,0.592,0.365,0.591,666.4225,655.0,1000.0,1200.1499999999999,1.0044929581942306,229157.485,544.341,23422.122
5.0,500.0,1000.0,2.5,1000,2715.635,0.0,1715.635,-102.5625,11795.125,0.598,0.595,0.593,0.391,0.592,798.65,785.0,1220.125,1445.1999999999998,1.0069605770831975,246478.845,503.845,21679.517
5.0,500.0,1000.0,3.0,1000,2603.9275,-5.0,1603.9275,-107.5625,12961.374999999998,0.663,0.66,0.66,0.327,0.658,929.81,917.5,1475.2499999999998,1755.1499999999999,1.0067524737604912,237531.8375,442.035,19017.79
5.0,500.0,1000.0,4.0,1000,3302.0725,-7.5,2302.0725,-170.0625,17677.9375,0.697,0.697,0.697,0.297,0.696,1140.265,1110.0,1870.6249999999995,2245.075,1.00922439773557,249563.4475,375.165,16139.718
5.0,500.0,1000.0,5.0,1000,3356.8,-22.5,2356.8,-202.5,20155.124999999993,0.746,0.746,0.746,0.252,0.746,1332.64,1233.75,2321.4999999999986,2850.7249999999995,1.0092632584808752,254424.51,326.43,14040.879
5.0,500.0,1000.0,6.0,1000,3367.0075,-27.5,2367.0075,-252.87499999999997,24053.187499999985,0.784,0.783,0.783,0.215,0.783,1466.8425,1320.0,2705.0,3335.125,1.0097816520674492,241984.43,274.593,11809.835
5.0,500.0,1000.0,7.0,1000,4285.705,-35.0,3285.705,-270.0625,30454.687499999996,0.775,0.775,0.775,0.225,0.775,1664.9775,1475.0,3112.75,4075.0,1.0118291049216825,277764.465,276.962,11911.115
