TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-12.5,1,25.000000,0.000000,0.000000,0.000000
-12.0,1,25.000000,37.500000,1.500000,0.000000
-11.5,4,125.000000,75.000000,0.600000,0.071554
-11.0,18,550.000000,12.500000,0.022727,0.041896
-10.5,23,625.000000,12.500000,0.020000,0.040192
-10.0,67,2000.000000,-800.000000,-0.400000,0.020187
-9.5,245,7025.000000,387.500000,0.055160,0.011397
-9.0,718,20800.000000,-1950.000000,-0.093750,0.006699
-8.5,2079,58850.000000,-3775.000000,-0.064146,0.004007
-8.0,5148,146950.000000,-10975.000000,-0.074685,0.002534
-7.5,13097,372550.000000,-19862.500000,-0.053315,0.001596
-7.0,30841,878475.000000,-35975.000000,-0.040952,0.001043
-6.5,70029,1986825.000000,-78537.500000,-0.039529,0.000693
-6.0,155376,4393775.000000,-171550.000000,-0.039044,0.000466
-5.5,306938,8673600.000000,-317537.500000,-0.036610,0.000332
-5.0,620880,17491350.000000,-562450.000000,-0.032156,0.000234
-4.5,1207825,33972450.000000,-962787.500000,-0.028340,0.000168
-4.0,2199864,61767975.000000,-1512075.000000,-0.024480,0.000125
-3.5,3968599,111190550.000000,-2479712.500000,-0.022301,0.000093
-3.0,6792408,189905800.000000,-3751937.500000,-0.019757,0.000071
-2.5,11578956,323145850.000000,-5748075.000000,-0.017788,0.000055
-2.0,18788375,523237325.000000,-7996225.000000,-0.015282,0.000043
-1.5,30191370,839196650.000000,-10354500.000000,-0.012339,0.000034
-1.0,47660309,1322071875.000000,-13332662.500000,-0.010085,0.000027
-0.5,77477423,2145198825.000000,-16705625.000000,-0.007787,0.000021
0.0,102185008,2826474575.000000,-15704437.500000,-0.005556,0.000018
0.5,72855564,2015046075.000000,-6648762.500000,-0.003300,0.000022
1.0,44966609,3400950450.000000,-2058487.500000,-0.000605,0.000017
1.5,28472751,4303468075.000000,7584162.500000,0.001762,0.000015
2.0,17676545,4013971250.000000,16233412.500000,0.004044,0.000016
2.5,10848046,3287614225.000000,22014237.500000,0.006696,0.000017
3.0,6436323,2443482100.000000,20732000.000000,0.008485,0.000020
3.5,3934044,1753311412.500000,18482650.000000,0.010542,0.000024
4.0,2216245,1139518862.500000,13993275.000000,0.012280,0.000030
4.5,1212430,709902300.000000,10519000.000000,0.014818,0.000038
5.0,618147,406761150.000000,6224162.500000,0.015302,0.000050
5.5,306365,223865300.000000,4719600.000000,0.021082,0.000067
6.0,153827,122993625.000000,2924575.000000,0.023778,0.000091
6.5,68931,59997700.000000,1555712.500000,0.025930,0.000131
7.0,30787,29058812.500000,957412.500000,0.032947,0.000188
7.5,12971,13143475.000000,436287.500000,0.033194,0.000279
8.0,5224,5662412.500000,175400.000000,0.030976,0.000425
8.5,2021,2316775.000000,43775.000000,0.018895,0.000666
9.0,738,905187.500000,136050.000000,0.150300,0.001071
9.5,238,306662.500000,-425.000000,-0.001386,0.001802
10.0,75,103325.000000,-1375.000000,-0.013308,0.003173
10.5,22,31950.000000,6850.000000,0.214397,0.005883
11.0,1,1450.000000,-1450.000000,-1.000000,0.000000
