TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-25.0,1,25.000000,37.500000,1.500000,0.000000
-24.5,2,75.000000,-25.000000,-0.333333,0.108866
-23.5,1,25.000000,-25.000000,-1.000000,0.000000
-23.0,3,75.000000,-25.000000,-0.333333,0.108866
-22.5,16,525.000000,12.500000,0.023810,0.039542
-22.0,10,300.000000,50.000000,0.166667,0.056928
-21.5,20,600.000000,-175.000000,-0.291667,0.038150
-21.0,44,1350.000000,-100.000000,-0.074074,0.026111
-20.5,57,1625.000000,162.500000,0.100000,0.024635
-20.0,117,3250.000000,-362.500000,-0.111538,0.017106
-19.5,157,4475.000000,-412.500000,-0.092179,0.014769
-19.0,272,7700.000000,187.500000,0.024351,0.011239
-18.5,483,14025.000000,425.000000,0.030303,0.008303
-18.0,589,16925.000000,-562.500000,-0.033235,0.007549
-17.5,1158,33600.000000,-1475.000000,-0.043899,0.005348
-17.0,1813,51950.000000,-2537.500000,-0.048845,0.004273
-16.5,2762,79475.000000,-1375.000000,-0.017301,0.003482
-16.0,4192,121725.000000,-3750.000000,-0.030807,0.002808
-15.5,6772,194700.000000,-10125.000000,-0.052003,0.002209
-15.0,9526,273875.000000,-18287.500000,-0.066773,0.001868
-14.5,15179,435250.000000,-23475.000000,-0.053935,0.001481
-14.0,21351,608675.000000,-27637.500000,-0.045406,0.001254
-13.5,33711,963000.000000,-27037.500000,-0.028076,0.000996
-13.0,46473,1329100.000000,-47825.000000,-0.035983,0.000849
-12.5,69063,1973225.000000,-75862.500000,-0.038446,0.000697
-12.0,96071,2731200.000000,-102350.000000,-0.037474,0.000592
-11.5,134538,3819800.000000,-127450.000000,-0.033366,0.000501
-11.0,192273,5454725.000000,-197687.500000,-0.036242,0.000419
-10.5,261356,7407425.000000,-266712.500000,-0.036006,0.000360
-10.0,384266,10881925.000000,-339700.000000,-0.031217,0.000297
-9.5,471158,13309075.000000,-430825.000000,-0.032371,0.000269
-9.0,640640,18092725.000000,-477175.000000,-0.026374,0.000230
-8.5,929277,26212625.000000,-687575.000000,-0.026231,0.000191
-8.0,1179599,33224800.000000,-817337.500000,-0.024600,0.000170
-7.5,1557931,43818575.000000,-1036275.000000,-0.023649,0.000148
-7.0,1951574,54816700.000000,-1193800.000000,-0.021778,0.000132
-6.5,2597440,72861450.000000,-1447350.000000,-0.019864,0.000115
-6.0,3308606,92662625.000000,-1773125.000000,-0.019135,0.000102
-5.5,4308126,120592450.000000,-2155925.000000,-0.017878,0.000089
-5.0,5491795,153475725.000000,-2439325.000000,-0.015894,0.000079
-4.5,6611172,184612075.000000,-2591900.000000,-0.014040,0.000072
-4.0,8293245,231248275.000000,-3000875.000000,-0.012977,0.000065
-3.5,10714775,298433925.000000,-3401462.500000,-0.011398,0.000057
-3.0,13079741,363857325.000000,-3724112.500000,-0.010235,0.000051
-2.5,15536233,431758025.000000,-3643250.000000,-0.008438,0.000047
-2.0,19630795,544810700.000000,-4325862.500000,-0.007940,0.000042
-1.5,24015523,665816450.000000,-4581475.000000,-0.006881,0.000038
-1.0,29853847,826715150.000000,-4302612.500000,-0.005204,0.000034
-0.5,35859601,992560375.000000,-3980250.000000,-0.004010,0.000031
0.0,44975789,1245038075.000000,-3539075.000000,-0.002843,0.000028
0.5,34655711,958989200.000000,-1691575.000000,-0.001764,0.000032
1.0,27650822,764278775.000000,-674787.500000,-0.000883,0.000036
1.5,21728767,897375175.000000,974287.500000,0.001086,0.000033
2.0,18066719,1501982575.000000,3138537.500000,0.002090,0.000025
2.5,14371972,1769462800.000000,6349150.000000,0.003588,0.000023
3.0,11973813,1973161150.000000,8850812.500000,0.004486,0.000022
3.5,9960492,2048561437.500000,12736075.000000,0.006217,0.000022
4.0,7716544,1901395437.500000,12392587.500000,0.006518,0.000023
4.5,6217033,1770646325.000000,13368837.500000,0.007550,0.000024
5.0,5239772,1699554987.500000,16223075.000000,0.009545,0.000024
5.5,4143041,1498706412.500000,16141500.000000,0.010770,0.000026
6.0,3189742,1285503912.500000,15909350.000000,0.012376,0.000028
6.5,2499252,1098770025.000000,16241125.000000,0.014781,0.000030
7.0,1864725,895290912.500000,12902237.500000,0.014411,0.000034
7.5,1483326,768759612.500000,12968975.000000,0.016870,0.000036
8.0,1117781,625077412.500000,11831050.000000,0.018927,0.000040
8.5,880127,525763625.000000,9486562.500000,0.018043,0.000044
9.0,596761,381853325.000000,7547037.500000,0.019764,0.000051
9.5,440137,296792975.000000,6466612.500000,0.021788,0.000058
10.0,357085,255270287.500000,5311925.000000,0.020809,0.000063
10.5,240264,180959450.000000,4683725.000000,0.025883,0.000075
11.0,175668,139861575.000000,3488962.500000,0.024946,0.000085
11.5,120691,100117325.000000,2029387.500000,0.020270,0.000100
12.0,86004,74941325.000000,1783337.500000,0.023796,0.000116
12.5,61557,55909425.000000,1657400.000000,0.029644,0.000134
13.0,41659,39389075.000000,865125.000000,0.021964,0.000160
13.5,30243,29699900.000000,1099437.500000,0.037018,0.000184
14.0,18531,19002062.500000,566150.000000,0.029794,0.000231
14.5,13138,14014875.000000,596462.500000,0.042559,0.000268
15.0,7880,8685700.000000,245700.000000,0.028288,0.000342
15.5,5640,6430875.000000,272687.500000,0.042403,0.000397
16.0,3568,4217137.500000,108837.500000,0.025808,0.000491
16.5,2308,2773912.500000,183925.000000,0.066305,0.000602
17.0,1419,1774162.500000,61125.000000,0.034453,0.000754
17.5,952,1211475.000000,11962.500000,0.009874,0.000925
18.0,485,649687.500000,43137.500000,0.066397,0.001281
18.5,325,432087.500000,-17000.000000,-0.039344,0.001515
19.0,205,284925.000000,19625.000000,0.068878,0.001890
19.5,92,130750.000000,17200.000000,0.131549,0.002779
20.0,85,129675.000000,40800.000000,0.314633,0.002766
20.5,41,65212.500000,-21112.500000,-0.323749,0.003551
21.0,26,41437.500000,11212.500000,0.270588,0.004775
21.5,17,26975.000000,8425.000000,0.312326,0.005738
22.0,10,17350.000000,2400.000000,0.138329,0.007948
22.5,4,8125.000000,5687.500000,0.700000,0.009672
23.5,1,1675.000000,-1675.000000,-1.000000,0.000000
