TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-44.5,1,25.000000,-25.000000,-1.000000,0.000000
-41.5,1,25.000000,-25.000000,-1.000000,0.000000
-40.0,1,25.000000,-25.000000,-1.000000,0.000000
-39.5,1,25.000000,-25.000000,-1.000000,0.000000
-39.0,3,100.000000,-50.000000,-0.500000,0.086603
-38.5,6,225.000000,50.000000,0.222222,0.061083
-38.0,10,325.000000,-250.000000,-0.769231,0.031931
-37.0,12,375.000000,37.500000,0.100000,0.053500
-36.5,20,550.000000,12.500000,0.022727,0.041896
-36.0,8,225.000000,50.000000,0.222222,0.061083
-35.5,32,1100.000000,200.000000,0.181818,0.029474
-35.0,61,1725.000000,-125.000000,-0.072464,0.023926
-34.5,43,1250.000000,-350.000000,-0.280000,0.024684
-34.0,99,2875.000000,-12.500000,-0.004348,0.018548
-33.5,125,3500.000000,-475.000000,-0.135714,0.016594
-33.0,178,5025.000000,525.000000,0.104478,0.013416
-32.5,128,3600.000000,-512.500000,-0.142361,0.015886
-32.0,248,7225.000000,250.000000,0.034602,0.011322
-31.5,422,11900.000000,-812.500000,-0.068277,0.009002
-31.0,379,11075.000000,-1312.500000,-0.118510,0.009324
-30.5,530,15475.000000,-525.000000,-0.033926,0.007926
-30.0,872,25150.000000,-1237.500000,-0.049205,0.006100
-29.5,730,21400.000000,-2412.500000,-0.112734,0.006674
-29.0,1352,38725.000000,-1850.000000,-0.047773,0.004917
-28.5,1798,52125.000000,-2787.500000,-0.053477,0.004279
-28.0,2156,61975.000000,-2412.500000,-0.038927,0.003897
-27.5,2971,85950.000000,-8462.500000,-0.098458,0.003315
-27.0,2853,82275.000000,-5825.000000,-0.070799,0.003406
-26.5,6405,185300.000000,-8800.000000,-0.047491,0.002263
-26.0,3580,103875.000000,-8250.000000,-0.079422,0.003031
-25.5,10276,295025.000000,-12162.500000,-0.041225,0.001799
-25.0,7468,214025.000000,-10737.500000,-0.050169,0.002119
-24.5,13341,379850.000000,-22112.500000,-0.058214,0.001586
-24.0,14231,407125.000000,-23725.000000,-0.058274,0.001532
