TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-81.5,1,25.000000,-25.000000,-1.000000,0.000000
-81.0,1,25.000000,25.000000,1.000000,0.000000
-80.5,1,50.000000,-50.000000,-1.000000,0.000000
-80.0,1,50.000000,-50.000000,-1.000000,0.000000
-79.5,1,25.000000,-25.000000,-1.000000,0.000000
-78.0,1,25.000000,-25.000000,-1.000000,0.000000
-77.0,8,275.000000,0.000000,0.000000,0.051426
-76.5,3,75.000000,-75.000000,-1.000000,0.000000
-76.0,3,100.000000,50.000000,0.500000,0.086603
-75.0,6,175.000000,-100.000000,-0.571429,0.055064
-74.5,4,125.000000,25.000000,0.200000,0.087636
-74.0,8,200.000000,-50.000000,-0.250000,0.058630
-73.5,15,500.000000,300.000000,0.600000,0.035777
-73.0,12,350.000000,50.000000,0.142857,0.048894
-72.5,15,525.000000,-175.000000,-0.333333,0.038881
-72.0,8,250.000000,-50.000000,-0.200000,0.061968
-71.5,10,300.000000,-225.000000,-0.750000,0.034359
-71.0,17,625.000000,-75.000000,-0.120000,0.038065
-70.5,28,875.000000,-350.000000,-0.400000,0.029361
-70.0,36,1125.000000,-237.500000,-0.211111,0.029227
-69.5,31,925.000000,125.000000,0.135135,0.028768
-69.0,33,950.000000,150.000000,0.157895,0.031161
-68.5,50,1575.000000,-112.500000,-0.071429,0.024162
-68.0,45,1425.000000,-325.000000,-0.228070,0.025311
-67.5,66,2050.000000,-187.500000,-0.091463,0.021061
-67.0,63,1800.000000,-350.000000,-0.194444,0.022096
-66.5,65,2175.000000,-350.000000,-0.160920,0.020270
-66.0,91,2725.000000,-475.000000,-0.174312,0.018274
-65.5,73,2450.000000,-425.000000,-0.173469,0.019580
-65.0,129,3800.000000,-625.000000,-0.164474,0.015701
-64.5,109,3275.000000,-950.000000,-0.290076,0.016335
-64.0,137,4125.000000,-525.000000,-0.127273,0.014762
-63.5,189,5725.000000,-262.500000,-0.045852,0.012709
-63.0,144,4225.000000,487.500000,0.115385,0.014566
-62.5,291,8725.000000,137.500000,0.015759,0.010554
-62.0,219,6550.000000,-950.000000,-0.145038,0.011764
-61.5,279,8425.000000,-1400.000000,-0.166172,0.010545
-61.0,345,10575.000000,-400.000000,-0.037825,0.009372
-60.5,366,11350.000000,-1312.500000,-0.115639,0.009179
-60.0,384,11750.000000,-1850.000000,-0.157447,0.008776
