TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-40.0,1,25.000000,-25.000000,-1.000000,0.000000
-38.0,2,50.000000,50.000000,1.000000,0.000000
-37.0,2,50.000000,-25.000000,-0.500000,0.070711
-36.5,5,125.000000,25.000000,0.200000,0.087636
-36.0,6,200.000000,-50.000000,-0.250000,0.068465
-35.5,10,275.000000,-225.000000,-0.818182,0.023258
-35.0,8,225.000000,0.000000,0.000000,0.062854
-34.5,17,525.000000,-37.500000,-0.071429,0.043792
-34.0,14,425.000000,-75.000000,-0.176471,0.044753
-33.5,32,1025.000000,-300.000000,-0.292683,0.029466
-33.0,46,1350.000000,25.000000,0.018519,0.025386
-32.5,51,1475.000000,-337.500000,-0.228814,0.024482
-32.0,70,2150.000000,-375.000000,-0.174419,0.020589
-31.5,83,2325.000000,-125.000000,-0.053763,0.020200
-31.0,153,4675.000000,-400.000000,-0.085561,0.014012
-30.5,183,5525.000000,-1025.000000,-0.185520,0.012747
-30.0,231,6675.000000,-362.500000,-0.054307,0.011867
-29.5,357,10600.000000,-2187.500000,-0.206368,0.009216
-29.0,515,15450.000000,-350.000000,-0.022654,0.007872
-28.5,611,17800.000000,-1987.500000,-0.111657,0.007186
-28.0,873,25800.000000,-812.500000,-0.031492,0.006035
-27.5,889,26175.000000,-2525.000000,-0.096466,0.005958
-27.0,1649,48675.000000,-3400.000000,-0.069851,0.004380
-26.5,2371,68950.000000,-5575.000000,-0.080856,0.003664
-26.0,1697,49675.000000,-6287.500000,-0.126573,0.004318
-25.5,3816,110925.000000,-9175.000000,-0.082714,0.002909
-25.0,5119,150100.000000,-8450.000000,-0.056296,0.002507
-24.5,4739,139225.000000,-12812.500000,-0.092027,0.002595
-24.0,7530,220150.000000,-18425.000000,-0.083693,0.002062
-23.5,9399,274275.000000,-21800.000000,-0.079482,0.001847
-23.0,13081,381800.000000,-33687.500000,-0.088233,0.001569
-22.5,16320,473300.000000,-35362.500000,-0.074715,0.001410
-22.0,19343,564250.000000,-40575.000000,-0.071910,0.001292
-21.5,24426,710400.000000,-42887.500000,-0.060371,0.001152
