TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-53.0,1,50.000000,50.000000,1.000000,0.000000
-51.0,1,25.000000,0.000000,0.000000,0.000000
-50.5,1,25.000000,-25.000000,-1.000000,0.000000
-49.5,3,75.000000,25.000000,0.333333,0.108866
-48.5,3,100.000000,-50.000000,-0.500000,0.086603
-48.0,3,100.000000,-100.000000,-1.000000,0.000000
-47.5,1,25.000000,25.000000,1.000000,0.000000
-47.0,2,100.000000,-100.000000,-1.000000,0.000000
-46.5,8,225.000000,62.500000,0.277778,0.065000
-46.0,11,375.000000,-225.000000,-0.600000,0.041312
-45.5,10,300.000000,50.000000,0.166667,0.056928
-45.0,11,375.000000,-212.500000,-0.566667,0.045084
-44.5,10,350.000000,-100.000000,-0.285714,0.047072
-44.0,11,300.000000,-75.000000,-0.250000,0.053359
-43.5,17,500.000000,-175.000000,-0.350000,0.040682
-43.0,29,900.000000,-75.000000,-0.083333,0.032750
-42.5,47,1475.000000,-475.000000,-0.322034,0.022710
-42.0,37,1050.000000,-200.000000,-0.190476,0.029538
-41.5,66,2100.000000,0.000000,0.000000,0.020960
-41.0,60,1925.000000,-325.000000,-0.168831,0.021467
-40.5,110,3325.000000,12.500000,0.003759,0.017096
-40.0,129,3875.000000,-1062.500000,-0.274194,0.015081
-39.5,149,4750.000000,-462.500000,-0.097368,0.014062
-39.0,224,6775.000000,-862.500000,-0.127306,0.011525
-38.5,167,5100.000000,-450.000000,-0.088235,0.013652
-38.0,354,10350.000000,-1862.500000,-0.179952,0.009378
-37.5,370,11125.000000,-1950.000000,-0.175281,0.008959
-37.0,484,14750.000000,-1525.000000,-0.103390,0.007984
-36.5,634,18975.000000,-2112.500000,-0.111331,0.006988
-36.0,739,22525.000000,-1925.000000,-0.085461,0.006364
-35.5,848,25175.000000,-2212.500000,-0.087885,0.006078
-35.0,1051,32475.000000,-4162.500000,-0.128176,0.005338
-34.5,1447,43350.000000,-5475.000000,-0.126298,0.004607
-34.0,2050,60600.000000,-7650.000000,-0.126238,0.003908
-33.5,2065,61275.000000,-6325.000000,-0.103223,0.003900
-33.0,2716,81125.000000,-8650.000000,-0.106626,0.003390
-32.5,2906,86300.000000,-9637.500000,-0.111674,0.003278
-32.0,3847,115000.000000,-13325.000000,-0.115870,0.002828
-31.5,4871,145475.000000,-12975.000000,-0.089191,0.002528
-31.0,5644,166650.000000,-16912.500000,-0.101485,0.002361
-30.5,7159,210750.000000,-23750.000000,-0.112693,0.002100
-30.0,7261,214550.000000,-20425.000000,-0.095199,0.002080
-29.5,9729,290000.000000,-27950.000000,-0.096379,0.001793
-29.0,13016,384550.000000,-36012.500000,-0.093648,0.001562
-28.5,13669,403200.000000,-38062.500000,-0.094401,0.001515
-28.0,17334,509275.000000,-50137.500000,-0.098449,0.001354
-27.5,17769,524400.000000,-52137.500000,-0.099423,0.001336
-27.0,27070,794900.000000,-69850.000000,-0.087873,0.001085
-26.5,33159,972325.000000,-91737.500000,-0.094349,0.000982
-26.0,24102,707950.000000,-45550.000000,-0.064341,0.001154
-25.5,45945,1342000.000000,-106187.500000,-0.079126,0.000836
-25.0,52724,1540625.000000,-121700.000000,-0.078994,0.000780
-24.5,51331,1501775.000000,-116037.500000,-0.077267,0.000791
-24.0,66684,1942325.000000,-154225.000000,-0.079402,0.000695
-23.5,75442,2195650.000000,-175100.000000,-0.079749,0.000654
-23.0,99134,2877925.000000,-224212.500000,-0.077908,0.000571
-22.5,105126,3052825.000000,-227575.000000,-0.074546,0.000555
-22.0,115554,3356175.000000,-230012.500000,-0.068534,0.000529
-21.5,148711,4303775.000000,-278637.500000,-0.064743,0.000468
-21.0,171694,4970250.000000,-318287.500000,-0.064039,0.000436
-20.5,196362,5672525.000000,-380662.500000,-0.067106,0.000407
-20.0,224133,6472300.000000,-431550.000000,-0.066676,0.000382
-19.5,255029,7349325.000000,-402487.500000,-0.054765,0.000359
-19.0,307135,8839500.000000,-502287.500000,-0.056823,0.000327
-18.5,351900,10130425.000000,-564875.000000,-0.055760,0.000306
-18.0,422691,12154000.000000,-693162.500000,-0.057032,0.000279
-17.5,474692,13631350.000000,-712100.000000,-0.052240,0.000264
-17.0,524081,15020800.000000,-768125.000000,-0.051137,0.000251
-16.5,653377,18717200.000000,-927850.000000,-0.049572,0.000225
-16.0,667376,19085325.000000,-918550.000000,-0.048129,0.000223
