TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-7.5,13,400.000000,150.000000,0.375000,0.042848
-7.0,57,1575.000000,-112.500000,-0.071429,0.025283
-6.5,315,8875.000000,-462.500000,-0.052113,0.010453
-6.0,1406,39375.000000,-12.500000,-0.000317,0.004919
-5.5,6134,174250.000000,-7437.500000,-0.042683,0.002343
-5.0,22452,632750.000000,-23900.000000,-0.037772,0.001230
-4.5,74821,2107725.000000,-66087.500000,-0.031355,0.000674
-4.0,227220,6378750.000000,-156525.000000,-0.024539,0.000388
-3.5,638440,17889500.000000,-380175.000000,-0.021251,0.000232
-3.0,1571556,43911000.000000,-776125.000000,-0.017675,0.000148
-2.5,3667025,102271875.000000,-1767162.500000,-0.017279,0.000097
-2.0,7920748,220562725.000000,-3396775.000000,-0.015400,0.000066
-1.5,15772821,438342425.000000,-6132875.000000,-0.013991,0.000047
-1.0,29938224,830473350.000000,-9591325.000000,-0.011549,0.000034
-0.5,54287087,1503060600.000000,-13293887.500000,-0.008845,0.000025
0.0,79956768,2209866950.000000,-15086875.000000,-0.006827,0.000021
0.5,49693310,1371016200.000000,-6172625.000000,-0.004502,0.000027
1.0,27610356,760331700.000000,-1644850.000000,-0.002163,0.000036
1.5,14494623,972166525.000000,31812.500000,0.000033,0.000032
2.0,7267074,986835300.000000,3304787.500000,0.003349,0.000031
2.5,3368339,698827975.000000,3779362.500000,0.005408,0.000037
3.0,1438283,394878987.500000,2333662.500000,0.005910,0.000050
3.5,590312,202825137.500000,1927012.500000,0.009501,0.000070
4.0,221845,88642400.000000,1491600.000000,0.016827,0.000107
4.5,74520,34565637.500000,234012.500000,0.006770,0.000171
5.0,22983,12125125.000000,189600.000000,0.015637,0.000290
5.5,6515,3866262.500000,52325.000000,0.013534,0.000512
6.0,1609,1066262.500000,11712.500000,0.010985,0.000975
6.5,330,233412.500000,6762.500000,0.028972,0.002104
7.0,73,56912.500000,-912.500000,-0.016033,0.004363
7.5,11,9200.000000,-3725.000000,-0.404891,0.010170
8.0,8,8000.000000,2650.000000,0.331250,0.010549
