TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-24.5,1,25.000000,25.000000,1.000000,0.000000
-23.5,1,25.000000,25.000000,1.000000,0.000000
-23.0,5,175.000000,-25.000000,-0.142857,0.074818
-22.5,5,175.000000,-25.000000,-0.142857,0.074818
-22.0,11,400.000000,-150.000000,-0.375000,0.042848
-21.5,14,425.000000,-150.000000,-0.352941,0.040554
-21.0,23,700.000000,-25.000000,-0.035714,0.037091
-20.5,49,1625.000000,-400.000000,-0.246154,0.023446
-20.0,78,2550.000000,-87.500000,-0.034314,0.019124
-19.5,137,4175.000000,-800.000000,-0.191617,0.014928
-19.0,236,7125.000000,-250.000000,-0.035088,0.011714
-18.5,397,12100.000000,-1125.000000,-0.092975,0.008725
-18.0,524,15825.000000,-1725.000000,-0.109005,0.007645
-17.5,968,29125.000000,-4550.000000,-0.156223,0.005658
-17.0,1514,45075.000000,-5387.500000,-0.119523,0.004559
-16.5,2337,68750.000000,-7837.500000,-0.114000,0.003695
-16.0,3602,106450.000000,-13062.500000,-0.122710,0.002956
-15.5,5302,157575.000000,-13975.000000,-0.088688,0.002431
-15.0,8369,246750.000000,-23487.500000,-0.095187,0.001952
-14.5,12039,354525.000000,-27450.000000,-0.077428,0.001626
-14.0,18182,531125.000000,-47075.000000,-0.088633,0.001328
-13.5,28169,820775.000000,-74750.000000,-0.091072,0.001070
-13.0,35914,1044125.000000,-88750.000000,-0.084999,0.000951
-12.5,58709,1706750.000000,-132075.000000,-0.077384,0.000742
-12.0,80629,2344325.000000,-152912.500000,-0.065227,0.000634
-11.5,112738,3265225.000000,-192000.000000,-0.058801,0.000538
-11.0,161014,4655500.000000,-274587.500000,-0.058981,0.000451
-10.5,222372,6404250.000000,-397725.000000,-0.062103,0.000384
-10.0,321531,9244700.000000,-518087.500000,-0.056042,0.000320
-9.5,422173,12115675.000000,-665612.500000,-0.054938,0.000280
-9.0,590888,16921300.000000,-848587.500000,-0.050149,0.000237
-8.5,801129,22892850.000000,-1093087.500000,-0.047748,0.000204
