TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-30.5,1,50.000000,50.000000,1.000000,0.000000
-29.5,1,25.000000,25.000000,1.000000,0.000000
-29.0,2,100.000000,-50.000000,-0.500000,0.050000
-28.5,1,25.000000,25.000000,1.000000,0.000000
-28.0,3,100.000000,0.000000,-0.000000,0.100000
-27.5,1,25.000000,-25.000000,-1.000000,0.000000
-27.0,3,100.000000,12.500000,0.125000,0.089268
-26.5,11,300.000000,112.500000,0.375000,0.056673
-26.0,27,750.000000,87.500000,0.116667,0.033890
-25.5,39,1125.000000,-37.500000,-0.033333,0.029880
-25.0,38,1025.000000,-50.000000,-0.048780,0.030032
-24.5,71,2250.000000,-525.000000,-0.233333,0.019889
-24.0,106,3100.000000,250.000000,0.080645,0.017829
-23.5,151,4500.000000,-162.500000,-0.036111,0.014615
-23.0,216,6500.000000,-312.500000,-0.048077,0.012081
-22.5,382,11275.000000,-537.500000,-0.047672,0.009134
-22.0,540,15800.000000,-1700.000000,-0.107595,0.007675
-21.5,866,25150.000000,-1250.000000,-0.049702,0.006184
-21.0,1082,31900.000000,-2475.000000,-0.077586,0.005417
-20.5,1616,47675.000000,-3225.000000,-0.067646,0.004442
-20.0,2432,70200.000000,-4612.500000,-0.065705,0.003681
-19.5,3701,107925.000000,-5437.500000,-0.050382,0.002954
-19.0,4885,141550.000000,-12512.500000,-0.088396,0.002578
-18.5,6979,202575.000000,-12362.500000,-0.061027,0.002170
-18.0,10186,295950.000000,-17750.000000,-0.059976,0.001786
-17.5,13234,382200.000000,-27312.500000,-0.071461,0.001575
-17.0,18830,545000.000000,-39637.500000,-0.072729,0.001320
-16.5,27249,784425.000000,-43375.000000,-0.055295,0.001101
-16.0,34489,993850.000000,-55025.000000,-0.055365,0.000978
-15.5,49767,1427675.000000,-73550.000000,-0.051517,0.000816
-15.0,64256,1840925.000000,-95275.000000,-0.051754,0.000719
-14.5,91043,2604150.000000,-118875.000000,-0.045648,0.000605
-14.0,116208,3321625.000000,-173687.500000,-0.052290,0.000536
-13.5,147502,4208725.000000,-203187.500000,-0.048278,0.000476
-13.0,230563,6579025.000000,-300737.500000,-0.045712,0.000381
-12.5,260167,7405950.000000,-290412.500000,-0.039213,0.000359
-12.0,349006,9926800.000000,-372937.500000,-0.037569,0.000310
-11.5,442618,12572450.000000,-459687.500000,-0.036563,0.000276
-11.0,581003,16473725.000000,-613550.000000,-0.037244,0.000241
-10.5,709519,20103850.000000,-726462.500000,-0.036135,0.000218
-10.0,944734,26718625.000000,-939862.500000,-0.035176,0.000189
-9.5,1178863,33318125.000000,-1089587.500000,-0.032703,0.000169
-9.0,1404964,39655900.000000,-1171575.000000,-0.029544,0.000155
-8.5,1929111,54374000.000000,-1606300.000000,-0.029542,0.000133
-8.0,2291320,64489900.000000,-1623150.000000,-0.025169,0.000122
-7.5,2774356,77982125.000000,-2088187.500000,-0.026778,0.000111
-7.0,3464044,97302000.000000,-2307075.000000,-0.023710,0.000099
-6.5,4333967,121551750.000000,-2598925.000000,-0.021381,0.000089
-6.0,5084992,142443575.000000,-3041200.000000,-0.021350,0.000082
-5.5,6277562,175669175.000000,-3434575.000000,-0.019551,0.000074
-5.0,7866520,219832300.000000,-3828925.000000,-0.017417,0.000066
-4.5,9211543,257171575.000000,-4263200.000000,-0.016577,0.000061
-4.0,10976448,306049550.000000,-4690812.500000,-0.015327,0.000056
-3.5,13466713,375049175.000000,-5180837.500000,-0.013814,0.000051
-3.0,16110521,448210250.000000,-5529325.000000,-0.012336,0.000046
-2.5,18727404,520362825.000000,-5766175.000000,-0.011081,0.000043
-2.0,23140987,642241125.000000,-6371525.000000,-0.009921,0.000039
-1.5,27825063,771403175.000000,-6576487.500000,-0.008525,0.000035
-1.0,33390049,924696475.000000,-6779400.000000,-0.007331,0.000032
-0.5,38725358,1072032500.000000,-6275975.000000,-0.005854,0.000030
0.0,48269238,1336335775.000000,-6346587.500000,-0.004749,0.000027
0.5,37611477,1040832075.000000,-3606550.000000,-0.003465,0.000030
1.0,30843758,852453275.000000,-1763050.000000,-0.002068,0.000034
1.5,25821692,1059914775.000000,-797012.500000,-0.000752,0.000030
2.0,21511008,1874566325.000000,1724512.500000,0.000920,0.000023
2.5,17567105,2220415787.500000,4711100.000000,0.002122,0.000021
3.0,14969971,2573380950.000000,7861362.500000,0.003055,0.000019
3.5,12684066,2675412150.000000,12537212.500000,0.004686,0.000019
4.0,10447289,2666719612.500000,17793337.500000,0.006672,0.000019
4.5,8886621,2613334537.500000,18537400.000000,0.007093,0.000019
5.0,7712026,2582241137.500000,20647662.500000,0.007996,0.000020
5.5,6192091,2328967000.000000,22681375.000000,0.009739,0.000021
6.0,5038259,2083870225.000000,23205175.000000,0.011136,0.000022
6.5,4304756,1963197275.000000,25472862.500000,0.012975,0.000023
7.0,3424981,1693727125.000000,23198375.000000,0.013697,0.000024
7.5,2732721,1469847925.000000,24007837.500000,0.016334,0.000026
8.0,2247494,1293794812.500000,20787850.000000,0.016067,0.000028
8.5,1900243,1174761950.000000,23431225.000000,0.019946,0.000029
9.0,1372373,904166012.500000,17281412.500000,0.019113,0.000033
9.5,1154393,805603750.000000,16848950.000000,0.020915,0.000035
10.0,921689,682150562.500000,16387462.500000,0.024023,0.000039
10.5,686822,533731512.500000,13710137.500000,0.025687,0.000044
11.0,566035,464519237.500000,12625662.500000,0.027180,0.000047
11.5,428331,366573825.000000,9587675.000000,0.026155,0.000053
12.0,336571,302722437.500000,8712162.500000,0.028779,0.000058
12.5,250966,234570787.500000,7026925.000000,0.029957,0.000066
13.0,222446,217212812.500000,7760787.500000,0.035729,0.000068
13.5,140791,143785125.000000,4890800.000000,0.034015,0.000084
14.0,111318,117527250.000000,4162487.500000,0.035417,0.000093
14.5,85964,94322837.500000,2719075.000000,0.028827,0.000104
15.0,61497,69673812.500000,2726700.000000,0.039135,0.000121
15.5,47574,56053662.500000,2700362.500000,0.048175,0.000135
16.0,32856,39798600.000000,1723075.000000,0.043295,0.000161
16.5,25746,32288450.000000,1358812.500000,0.042084,0.000178
17.0,17332,22448925.000000,924812.500000,0.041196,0.000214
17.5,12468,16571637.500000,659375.000000,0.039789,0.000249
18.0,9571,13041150.000000,533812.500000,0.040933,0.000280
18.5,6432,9033025.000000,532262.500000,0.058924,0.000337
19.0,4469,6485737.500000,293350.000000,0.045230,0.000398
19.5,3446,5058012.500000,238612.500000,0.047175,0.000454
20.0,2277,3465012.500000,170075.000000,0.049084,0.000542
20.5,1495,2328062.500000,96212.500000,0.041327,0.000656
21.0,959,1546637.500000,184312.500000,0.119170,0.000815
21.5,719,1164212.500000,25375.000000,0.021796,0.000936
22.0,469,762850.000000,63537.500000,0.083290,0.001160
22.5,328,562062.500000,68475.000000,0.121828,0.001353
23.0,166,305737.500000,115750.000000,0.378593,0.001766
23.5,142,254650.000000,34162.500000,0.134155,0.001998
24.0,103,183025.000000,52812.500000,0.288553,0.002262
24.5,68,120812.500000,-2800.000000,-0.023176,0.002805
25.0,50,92150.000000,0.000000,0.000000,0.003368
25.5,24,48737.500000,19175.000000,0.393434,0.004117
26.0,21,41912.500000,15625.000000,0.372800,0.004646
26.5,4,10000.000000,-2000.000000,-0.200000,0.009798
27.0,13,24000.000000,5000.000000,0.208333,0.007331
27.5,2,4000.000000,2000.000000,0.500000,0.007906
28.0,5,9000.000000,-1000.000000,-0.111111,0.013328
