TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-32.5,1,25.000000,25.000000,1.000000,0.000000
-32.0,1,50.000000,50.000000,1.000000,0.000000
-31.0,1,25.000000,-25.000000,-1.000000,0.000000
-30.5,1,25.000000,25.000000,1.000000,0.000000
-29.5,4,125.000000,-75.000000,-0.600000,0.071554
-29.0,8,275.000000,-50.000000,-0.181818,0.050244
-28.5,13,350.000000,-75.000000,-0.214286,0.045975
-28.0,16,425.000000,25.000000,0.058824,0.048423
-27.5,30,850.000000,50.000000,0.058824,0.032156
-27.0,41,1300.000000,-87.500000,-0.067308,0.026927
-26.5,47,1350.000000,-62.500000,-0.046296,0.027625
-26.0,103,3150.000000,-637.500000,-0.202381,0.017065
-25.5,101,3050.000000,12.500000,0.004098,0.017446
-25.0,183,5450.000000,-300.000000,-0.055046,0.013002
-24.5,231,6775.000000,-425.000000,-0.062731,0.011841
-24.0,338,9975.000000,-887.500000,-0.088972,0.009843
-23.5,553,16600.000000,-1537.500000,-0.092620,0.007561
-23.0,820,23675.000000,-2637.500000,-0.111404,0.006297
-22.5,1068,31175.000000,-2050.000000,-0.065758,0.005517
-22.0,1508,43475.000000,-3337.500000,-0.076768,0.004648
-21.5,2173,64225.000000,-4512.500000,-0.070261,0.003830
-21.0,3141,91100.000000,-3475.000000,-0.038145,0.003219
-20.5,4210,122025.000000,-10512.500000,-0.086150,0.002781
-20.0,6268,182375.000000,-12837.500000,-0.070391,0.002277
-19.5,7790,226375.000000,-16512.500000,-0.072943,0.002040
-19.0,11009,319325.000000,-25462.500000,-0.079739,0.001718
-18.5,15476,446700.000000,-27750.000000,-0.062122,0.001456
-18.0,18631,539300.000000,-25125.000000,-0.046588,0.001324
-17.5,26520,765500.000000,-47925.000000,-0.062606,0.001111
-17.0,37061,1068400.000000,-62237.500000,-0.058253,0.000943
-16.5,48341,1392500.000000,-67112.500000,-0.048196,0.000827
-16.0,62129,1785225.000000,-97062.500000,-0.054370,0.000728
-15.5,83077,2384250.000000,-123687.500000,-0.051877,0.000631
-15.0,106320,3048175.000000,-149487.500000,-0.049042,0.000559
-14.5,138785,3971450.000000,-196862.500000,-0.049569,0.000490
-14.0,178350,5099800.000000,-242262.500000,-0.047504,0.000432
-13.5,236940,6769050.000000,-339387.500000,-0.050138,0.000375
-13.0,293527,8377400.000000,-353762.500000,-0.042228,0.000337
-12.5,385415,10980525.000000,-449487.500000,-0.040935,0.000295
-12.0,480829,13670275.000000,-538700.000000,-0.039407,0.000264
-11.5,608091,17280375.000000,-628350.000000,-0.036362,0.000235
-11.0,766294,21735550.000000,-785250.000000,-0.036127,0.000210
-10.5,967121,27406850.000000,-914537.500000,-0.033369,0.000187
-10.0,1235548,34972300.000000,-1169262.500000,-0.033434,0.000165
-9.5,1468524,41496625.000000,-1227175.000000,-0.029573,0.000152
-9.0,1839098,51901550.000000,-1450725.000000,-0.027951,0.000136
-8.5,2319592,65398725.000000,-1762212.500000,-0.026946,0.000121
-8.0,2838468,79927875.000000,-2079637.500000,-0.026019,0.000110
-7.5,3480837,97884075.000000,-2346387.500000,-0.023971,0.000099
-7.0,4234886,118937475.000000,-2682250.000000,-0.022552,0.000090
-6.5,5230292,146717300.000000,-3075725.000000,-0.020964,0.000081
-6.0,6360493,178239350.000000,-3441825.000000,-0.019310,0.000073
-5.5,7842481,219528600.000000,-3917937.500000,-0.017847,0.000066
-5.0,9537420,266594550.000000,-4377587.500000,-0.016420,0.000060
-4.5,11526784,321881000.000000,-4761950.000000,-0.014794,0.000055
-4.0,14057703,392017625.000000,-5425125.000000,-0.013839,0.000050
-3.5,17391934,484406375.000000,-6023862.500000,-0.012436,0.000045
-3.0,20905860,581702725.000000,-6450037.500000,-0.011088,0.000041
-2.5,25569150,710639325.000000,-7336300.000000,-0.010324,0.000037
-2.0,31275294,868156975.000000,-7420737.500000,-0.008548,0.000033
-1.5,38165473,1058368500.000000,-7624087.500000,-0.007204,0.000030
-1.0,47994947,1329377375.000000,-8026150.000000,-0.006038,0.000027
-0.5,59964693,1659096125.000000,-8103850.000000,-0.004884,0.000024
0.0,68426889,1891752275.000000,-6446825.000000,-0.003408,0.000023
0.5,57741016,1596947875.000000,-3469212.500000,-0.002172,0.000025
1.0,46097231,1274274875.000000,-1444562.500000,-0.001134,0.000028
1.5,36739859,1540515350.000000,518575.000000,0.000337,0.000025
2.0,30070885,2594090700.000000,4814962.500000,0.001856,0.000019
2.5,24574293,3107923525.000000,10330562.500000,0.003324,0.000018
3.0,20080115,3468268075.000000,15964875.000000,0.004603,0.000017
3.5,16698870,3543129825.000000,20580587.500000,0.005809,0.000017
4.0,13479790,3475559287.500000,26377062.500000,0.007589,0.000017
4.5,11109075,3301737262.500000,27877675.000000,0.008443,0.000017
5.0,9348907,3160762500.000000,28959862.500000,0.009162,0.000018
5.5,7897681,2980346550.000000,32556537.500000,0.010924,0.000018
6.0,6519922,2709812737.500000,32904737.500000,0.012143,0.000019
6.5,5397418,2467209600.000000,32934237.500000,0.013349,0.000020
7.0,4388710,2169062137.500000,32980875.000000,0.015205,0.000022
7.5,3612697,1945661525.000000,31953700.000000,0.016423,0.000023
8.0,2939848,1693611862.500000,29661212.500000,0.017514,0.000024
8.5,2405650,1488791500.000000,27438650.000000,0.018430,0.000026
9.0,1910846,1257095887.500000,27098362.500000,0.021556,0.000028
9.5,1522671,1062978200.000000,23894362.500000,0.022479,0.000031
10.0,1282156,946996050.000000,24413562.500000,0.025780,0.000033
10.5,1002532,779575087.500000,19101437.500000,0.024502,0.000036
11.0,796658,654012425.000000,17562512.500000,0.026853,0.000039
11.5,627768,537935125.000000,14860587.500000,0.027625,0.000043
12.0,498752,448977550.000000,13499212.500000,0.030067,0.000048
12.5,402179,377536762.500000,12080962.500000,0.031999,0.000052
13.0,304914,297798325.000000,9438962.500000,0.031696,0.000058
13.5,246076,250652150.000000,8539800.000000,0.034070,0.000064
14.0,186940,197594037.500000,7802900.000000,0.039490,0.000072
