TrueCount,HandsPlayed,TotalPayout,EV,StdError
-45.0,1,-50.000000,-50.000000,0.000000
-44.5,1,-50.000000,-50.000000,0.000000
-42.5,1,-50.000000,-50.000000,0.000000
-42.0,4,25.000000,6.250000,22.316964
-41.0,1,25.000000,25.000000,0.000000
-40.5,4,-125.000000,-31.250000,5.412659
-40.0,8,-225.000000,-28.125000,2.923170
-39.5,21,-625.000000,-29.761905,4.942713
-39.0,7,-175.000000,-25.000000,8.748178
-38.5,14,-325.000000,-23.214286,6.420772
-38.0,49,-875.000000,-17.857143,4.207251
-37.5,6,-200.000000,-33.333333,4.811252
-37.0,119,-1875.000000,-15.756303,2.655142
-36.5,1,-25.000000,-25.000000,0.000000
-36.0,69,-825.000000,-11.956522,3.572423
-35.5,200,-1875.000000,-9.375000,2.348121
-34.5,500,-5200.000000,-10.400000,1.392365
-34.0,273,-2625.000000,-9.615385,1.909105
-33.5,132,-1900.000000,-14.393939,2.528550
-33.0,554,-5500.000000,-9.927798,1.313041
-32.5,348,-2962.500000,-8.512931,1.659932
-32.0,1491,-14162.500000,-9.498659,0.800979
-31.5,803,-8550.000000,-10.647572,1.080436
-31.0,651,-6450.000000,-9.907834,1.210592
-30.5,2643,-23150.000000,-8.758986,0.612321
-30.0,535,-5775.000000,-10.794393,1.298998
-29.5,6155,-52012.500000,-8.450447,0.398651
-29.0,1738,-11712.500000,-6.739068,0.749293
-28.5,5076,-36412.500000,-7.173463,0.439065
-28.0,4629,-32150.000000,-6.945345,0.455450
-27.5,634,-4712.500000,-7.432965,1.260415
-27.0,20971,-139962.500000,-6.674098,0.214738
-26.5,168,-700.000000,-4.166667,2.478174
-26.0,24933,-155250.000000,-6.226688,0.196411
-25.5,465,-1012.500000,-2.177419,1.482373
-25.0,50909,-288925.000000,-5.675323,0.136828
-24.5,4662,-27475.000000,-5.893393,0.450799
-24.0,28712,-148937.500000,-5.187291,0.182315
-23.5,35213,-178450.000000,-5.067731,0.164576
-23.0,31110,-174025.000000,-5.593860,0.173549
-22.5,95659,-449175.000000,-4.695585,0.099200
-22.0,29307,-130525.000000,-4.453714,0.178904
-21.5,102019,-435387.500000,-4.267710,0.095786
-21.0,81032,-345725.000000,-4.266524,0.107232
-20.5,90440,-384137.500000,-4.247429,0.101006
-20.0,160917,-620762.500000,-3.857656,0.075895
-19.5,156422,-571250.000000,-3.651980,0.076781
-19.0,159123,-569275.000000,-3.577578,0.075880
-18.5,169951,-616450.000000,-3.627222,0.073351
-18.0,292448,-967437.500000,-3.308067,0.055845
-17.5,474566,-1459650.000000,-3.075758,0.043680
-17.0,121015,-378262.500000,-3.125749,0.086306
-16.5,500501,-1472737.500000,-2.942527,0.042377
-16.0,523522,-1415787.500000,-2.704351,0.041380
-15.5,366576,-1013287.500000,-2.764195,0.049401
-15.0,852387,-2170862.500000,-2.546804,0.032286
-14.5,631902,-1512687.500000,-2.393864,0.037427
