TrueCount,HandsPlayed,TotalPayout,EV,StdError
-10.0,3,0.000000,0.000000,20.412415
-9.5,5,-50.000000,-10.000000,8.944272
-9.0,38,-187.500000,-4.934211,4.251942
-8.5,74,175.000000,2.364865,3.272633
-8.0,169,100.000000,0.591716,2.310276
-7.5,341,-475.000000,-1.392962,1.615303
-7.0,777,-2400.000000,-3.088803,1.025641
-6.5,1634,-3900.000000,-2.386781,0.713146
-6.0,3675,-5925.000000,-1.612245,0.476055
-5.5,7936,-7862.500000,-0.990738,0.323756
-5.0,17772,-22275.000000,-1.253376,0.217596
-4.5,37051,-31337.500000,-0.845794,0.149703
-4.0,85910,-52750.000000,-0.614015,0.098183
-3.5,186464,-116487.500000,-0.624718,0.066313
-3.0,277599,-174637.500000,-0.629100,0.054408
-2.5,637702,-352225.000000,-0.552335,0.035764
-2.0,1240288,-564725.000000,-0.455318,0.025597
-1.5,2220151,-773537.500000,-0.348417,0.019110
-1.0,4174821,-1300575.000000,-0.311528,0.013914
-0.5,6901837,-2023125.000000,-0.293128,0.010828
0.0,61350972,-4892237.500000,-0.079742,0.003604
0.5,12950370,-2964250.000000,-0.228893,0.007885
1.0,14281479,-2441562.500000,-0.170960,0.007492
1.5,13892378,-2461475.000000,-0.177182,0.007593
2.0,15080204,-2389437.500000,-0.158449,0.007291
2.5,12997158,-2404800.000000,-0.185025,0.007853
3.0,14857805,-1967775.000000,-0.132440,0.007339
3.5,14269253,-2182450.000000,-0.152948,0.007490
4.0,14616538,-2072225.000000,-0.141773,0.007395
4.5,13459132,-2072762.500000,-0.154004,0.007710
5.0,11919270,-1671562.500000,-0.140240,0.008188
5.5,13360925,-1490787.500000,-0.111578,0.007735
6.0,11887139,-1733037.500000,-0.145791,0.008202
6.5,11522581,-1452462.500000,-0.126054,0.008327
7.0,11875348,-1497900.000000,-0.126135,0.008205
7.5,10858370,-1203150.000000,-0.110804,0.008575
8.0,11043934,-1186950.000000,-0.107475,0.008501
8.5,9644512,-1185125.000000,-0.122881,0.009105
9.0,10557364,-1211462.500000,-0.114750,0.008694
9.5,9848385,-889650.000000,-0.090335,0.009001
10.0,9543222,-1218162.500000,-0.127647,0.009158
10.5,9505897,-705800.000000,-0.074249,0.009155
11.0,9409631,-717437.500000,-0.076245,0.009202
11.5,9078225,-985875.000000,-0.108598,0.009380
12.0,8302431,-846525.000000,-0.101961,0.009803
12.5,7772106,-563725.000000,-0.072532,0.010125
13.0,9443444,-895287.500000,-0.094805,0.009194
13.5,7328192,-661987.500000,-0.090334,0.010436
14.0,7711246,-522775.000000,-0.067794,0.010161
14.5,8150496,-893987.500000,-0.109685,0.009899
15.0,7071329,-458200.000000,-0.064797,0.010619
15.5,6872633,-601975.000000,-0.087590,0.010766
16.0,6958750,-528762.500000,-0.075985,0.010697
16.5,7344677,-898287.500000,-0.122305,0.010430
17.0,5845587,1400.000000,0.000239,0.011653
17.5,7654030,-968612.500000,-0.126549,0.010220
18.0,6478406,-237362.500000,-0.036639,0.011068
18.5,5776471,-649450.000000,-0.112430,0.011748
19.0,6148895,-453550.000000,-0.073761,0.011376
19.5,6208055,-521500.000000,-0.084004,0.011320
20.0,5858273,-514375.000000,-0.087803,0.011670
20.5,5277591,-219000.000000,-0.041496,0.012276
21.0,6242317,-444175.000000,-0.071155,0.011299
21.5,5693282,-254450.000000,-0.044693,0.011812
22.0,4782332,-473337.500000,-0.098976,0.012905
22.5,5343930,-402437.500000,-0.075307,0.012204
23.0,5708095,-387750.000000,-0.067930,0.011811
23.5,5053696,-331325.000000,-0.065561,0.012549
24.0,4588453,-167937.500000,-0.036600,0.013153
24.5,4885434,-254750.000000,-0.052145,0.012743
25.0,4744220,-124275.000000,-0.026195,0.012934
25.5,4785112,-494575.000000,-0.103357,0.012922
26.0,4790186,-531662.500000,-0.110990,0.012915
26.5,4780097,-519262.500000,-0.108630,0.012925
27.0,4406860,98725.000000,0.022403,0.013402
27.5,4195701,8600.000000,0.002050,0.013747
28.0,3774191,-272387.500000,-0.072171,0.014514
28.5,4237869,-293687.500000,-0.069301,0.013715
29.0,3997031,-206450.000000,-0.051651,0.014097
29.5,4671810,-161212.500000,-0.034508,0.013045
30.0,3707833,-280650.000000,-0.075691,0.014653
30.5,3847644,-241212.500000,-0.062691,0.014379
31.0,4233772,-149850.000000,-0.035394,0.013695
31.5,3304761,-112800.000000,-0.034133,0.015505
32.0,3820825,-12625.000000,-0.003304,0.014424
32.5,3334019,-344025.000000,-0.103186,0.015472
33.0,3672489,-221287.500000,-0.060255,0.014736
33.5,3350468,-235487.500000,-0.070285,0.015435
34.0,3577933,-545737.500000,-0.152529,0.015000
34.5,4166861,207750.000000,0.049858,0.013806
35.0,2731049,-292787.500000,-0.107207,0.017156
35.5,2806431,27550.000000,0.009816,0.016861
36.0,3368749,-100925.000000,-0.029968,0.015425
36.5,3139266,-81300.000000,-0.025907,0.015969
37.0,3144135,-61212.500000,-0.019485,0.015968
37.5,3256279,-76875.000000,-0.023657,0.015694
38.0,2943158,-312462.500000,-0.106694,0.016557
38.5,3513853,154437.500000,0.044052,0.015110
39.0,1951198,-167650.000000,-0.086584,0.020346
39.5,3367215,138337.500000,0.041266,0.015421
40.0,2709155,-50400.000000,-0.018444,0.017263
40.5,2678018,-38075.000000,-0.014949,0.034758
41.0,2798267,-31025.000000,-0.010727,0.034006
41.5,2901956,315650.000000,0.112241,0.033483
42.0,2620242,1006075.000000,0.396774,0.035081
42.5,2687395,126600.000000,0.051036,0.034805
43.0,2512738,801550.000000,0.333621,0.035897
43.5,2580938,624650.000000,0.252893,0.035468
44.0,2715872,1218787.500000,0.470340,0.041917
44.5,2276609,1013175.000000,0.467291,0.056626
45.0,2536099,1022587.500000,0.428973,0.053701
45.5,2608676,331762.500000,0.135219,0.053071
46.0,2550126,1791337.500000,0.737397,0.053370
46.5,1971637,1347975.000000,0.716117,0.060649
47.0,2121644,-499050.000000,-0.240618,0.058978
47.5,2737048,1490212.500000,0.576819,0.051604
48.0,1995118,5529012.500000,2.918690,0.074048
48.5,1609005,-4704650.000000,-3.079103,0.091870
49.0,3702717,3408350.000000,0.968954,0.059071
49.5,1283150,6007100.000000,4.932625,0.097246
50.0,717781,-5094650.000000,-7.479688,0.140864
50.5,5489153,6492950.000000,1.251230,0.048416
51.0,138973,980650.000000,7.440294,0.290467
52.0,6246151,4553937.500000,0.769072,0.056998
53.0,56361,519812.500000,9.670508,0.565043
53.5,4910050,12805812.500000,2.747268,0.063617
54.0,1151478,-6823062.500000,-6.249003,0.137513
54.5,390264,3071750.000000,8.290610,0.217391
55.0,2839654,10956187.500000,4.075425,0.082970
55.5,2415035,-4714787.500000,-2.059686,0.101691
56.0,775814,1136175.000000,1.552893,0.193201
56.5,1663544,10143450.000000,6.434448,0.129115
57.0,2081321,4018950.000000,2.044120,0.117915
