TrueCount,HandsPlayed,TotalPayout,EV,StdError
-16.0,3,0.000000,0.000000,11.785113
-15.5,5,0.000000,0.000000,10.000000
-15.0,20,50.000000,2.500000,6.098155
-14.5,12,-50.000000,-4.166667,7.701761
-14.0,37,37.500000,1.013514,4.690435
-13.5,60,-275.000000,-4.583333,3.829784
-13.0,93,137.500000,1.478495,3.099274
-12.5,135,325.000000,2.407407,2.520480
-12.0,325,-187.500000,-0.576923,1.642766
-11.5,476,-1425.000000,-2.993697,1.310054
-11.0,837,-1112.500000,-1.329152,1.015041
-10.5,1314,-737.500000,-0.561263,0.800125
-10.0,1935,-1912.500000,-0.988372,0.667688
-9.5,3216,-3712.500000,-1.154384,0.521726
-9.0,6029,-4462.500000,-0.740172,0.375973
-8.5,8684,-6862.500000,-0.790246,0.309461
-8.0,14772,-13937.500000,-0.943508,0.236410
-7.5,23803,-26400.000000,-1.109104,0.187218
-7.0,36205,-24875.000000,-0.687060,0.151226
-6.5,56213,-46775.000000,-0.832103,0.121292
-6.0,85542,-71637.500000,-0.837454,0.097882
-5.5,136574,-97987.500000,-0.717468,0.077452
-5.0,207086,-145562.500000,-0.702908,0.062999
-4.5,332103,-189250.000000,-0.569853,0.049561
-4.0,560850,-296525.000000,-0.528706,0.038087
-3.5,798019,-397875.000000,-0.498578,0.031903
-3.0,1005228,-504062.500000,-0.501441,0.028401
-2.5,1787573,-687725.000000,-0.384726,0.021287
-2.0,2087891,-852637.500000,-0.408373,0.019690
-1.5,3188466,-1266312.500000,-0.397154,0.015909
-1.0,4314332,-1244687.500000,-0.288501,0.013670
-0.5,5416994,-1861800.000000,-0.343696,0.012210
0.0,58404127,-7024275.000000,-0.120270,0.003693
0.5,8026414,-2293087.500000,-0.285693,0.010020
1.0,8626219,-1969787.500000,-0.228349,0.009643
1.5,8092283,-1959962.500000,-0.242201,0.009952
2.0,9739542,-2287212.500000,-0.234838,0.009077
2.5,8324222,-1880612.500000,-0.225921,0.009814
3.0,9704709,-1675787.500000,-0.172678,0.009081
3.5,9629316,-1923412.500000,-0.199745,0.009116
4.0,9964913,-1598800.000000,-0.160443,0.008956
4.5,8448321,-1759337.500000,-0.208247,0.009730
5.0,8346761,-1245837.500000,-0.149260,0.009778
5.5,9734723,-1495000.000000,-0.153574,0.009057
6.0,8660374,-1233450.000000,-0.142425,0.009593
6.5,8048436,-1089825.000000,-0.135408,0.009952
7.0,7802931,-1179012.500000,-0.151099,0.010112
