TrueCount,HandsPlayed,TotalPayout,EV,StdError
-18.0,2,-50.000000,-25.000000,0.000000
-17.5,2,-25.000000,-12.500000,8.838835
-17.0,2,-25.000000,-12.500000,8.838835
-16.5,7,0.000000,0.000000,10.101525
-16.0,7,-100.000000,-14.285714,11.131339
-15.5,13,-200.000000,-15.384615,7.946968
-15.0,21,-125.000000,-5.952381,5.023968
-14.5,31,75.000000,2.419355,5.362126
-14.0,61,-150.000000,-2.459016,3.831690
-13.5,87,100.000000,1.149425,2.906650
-13.0,157,-475.000000,-3.025478,2.362923
-12.5,219,-862.500000,-3.938356,1.946724
-12.0,438,-450.000000,-1.027397,1.391407
-11.5,683,-1875.000000,-2.745242,1.110692
-11.0,1118,-3137.500000,-2.806351,0.875144
-10.5,1695,-3037.500000,-1.792035,0.696118
-10.0,2285,-1837.500000,-0.804158,0.606988
-9.5,3872,-3937.500000,-1.016916,0.468086
-9.0,6825,-7162.500000,-1.049451,0.352805
-8.5,9509,-11725.000000,-1.233042,0.295253
-8.0,16285,-21912.500000,-1.345563,0.227247
-7.5,25405,-23037.500000,-0.906810,0.180340
-7.0,38839,-34725.000000,-0.894076,0.146145
-6.5,59723,-46737.500000,-0.782571,0.118138
-6.0,90563,-80487.500000,-0.888746,0.095427
-5.5,141335,-84937.500000,-0.600966,0.076187
-5.0,213861,-162537.500000,-0.760015,0.061956
-4.5,345557,-223900.000000,-0.647939,0.048686
-4.0,573450,-268850.000000,-0.468829,0.037690
-3.5,811829,-364150.000000,-0.448555,0.031655
-3.0,1031859,-446437.500000,-0.432654,0.028066
-2.5,1816366,-763462.500000,-0.420324,0.021112
-2.0,2112864,-778250.000000,-0.368339,0.019584
-1.5,3250098,-1080962.500000,-0.332594,0.015760
-1.0,4368016,-1147137.500000,-0.262622,0.013585
-0.5,5473046,-1381762.500000,-0.252467,0.012151
0.0,58568704,-4217275.000000,-0.072006,0.003687
0.5,8103848,-1980937.500000,-0.244444,0.009967
1.0,8783408,-1719125.000000,-0.195724,0.009556
1.5,8337839,-1642862.500000,-0.197037,0.009811
2.0,9906920,-1742612.500000,-0.175899,0.009000
2.5,8539029,-1571400.000000,-0.184026,0.009694
3.0,10023189,-1465037.500000,-0.146165,0.008940
3.5,9932517,-1559312.500000,-0.156991,0.008983
4.0,10243602,-1496650.000000,-0.146106,0.008839
4.5,8955082,-1682150.000000,-0.187843,0.009462
5.0,8771688,-1255550.000000,-0.143137,0.009548
5.5,10124117,-1398550.000000,-0.138140,0.008886
6.0,9407737,-1343437.500000,-0.142801,0.009220
6.5,8745377,-1342725.000000,-0.153535,0.009560
7.0,8543213,-1405637.500000,-0.164533,0.009680
7.5,8619196,-1167150.000000,-0.135413,0.009629
8.0,8381241,-1324612.500000,-0.158045,0.009767
8.5,7656726,-947525.000000,-0.123751,0.010217
9.0,8506012,-1186387.500000,-0.139476,0.009690
9.5,7927245,-877212.500000,-0.110658,0.010037
