TrueCount,HandsPlayed,TotalPayout,EV,StdError
-72.0,1,-25.000000,-25.000000,0.000000
-71.5,2,-100.000000,-50.000000,0.000000
-70.5,4,-125.000000,-31.250000,5.412659
-69.5,2,25.000000,12.500000,8.838835
-69.0,1,-50.000000,-50.000000,0.000000
-68.5,5,-50.000000,-10.000000,8.944272
-68.0,1,25.000000,25.000000,0.000000
-67.5,7,-75.000000,-10.714286,8.537347
-66.5,10,0.000000,0.000000,12.247449
-66.0,5,0.000000,0.000000,14.142136
-65.5,5,-75.000000,-15.000000,15.165751
-65.0,17,-75.000000,-4.411765,7.274670
-64.5,11,-150.000000,-13.636364,5.894770
-64.0,10,0.000000,0.000000,7.905694
-63.5,11,50.000000,4.545455,10.071122
-63.0,21,-250.000000,-11.904762,5.221578
-62.5,16,-75.000000,-4.687500,7.724109
-62.0,17,-250.000000,-14.705882,5.119178
-61.5,35,-12.500000,-0.357143,5.063014
-61.0,40,-300.000000,-7.500000,4.348132
-60.5,35,-50.000000,-1.428571,5.434476
-60.0,29,-275.000000,-9.482759,5.371706
-59.5,53,75.000000,1.415094,3.783307
-59.0,50,-312.500000,-6.250000,4.157072
-58.5,83,-1237.500000,-14.909639,2.947023
-58.0,124,-337.500000,-2.721774,2.878057
-57.5,91,-212.500000,-2.335165,3.046306
-57.0,145,-400.000000,-2.758621,2.570264
-56.5,120,212.500000,1.770833,2.921483
-56.0,235,-725.000000,-3.085106,2.015449
-55.5,132,-662.500000,-5.018939,2.616996
-55.0,390,612.500000,1.570513,1.479521
-54.5,139,-237.500000,-1.708633,2.518632
-54.0,612,-1162.500000,-1.899510,1.262524
-53.5,76,-225.000000,-2.960526,3.119528
-53.0,924,-2575.000000,-2.786797,0.987654
-52.5,1,25.000000,25.000000,0.000000
-52.0,1199,-3850.000000,-3.211009,0.850985
-51.0,1602,-3150.000000,-1.966292,0.759731
-50.5,222,-112.500000,-0.506757,2.025959
-50.0,1932,-5087.500000,-2.633282,0.682491
-49.5,737,-2987.500000,-4.053596,1.096227
-49.0,1960,-3737.500000,-1.906888,0.684671
-48.5,1402,-5437.500000,-3.878388,0.802823
-48.0,2219,-4925.000000,-2.219468,0.635726
-47.5,2458,-3750.000000,-1.525631,0.600886
-47.0,2550,-7675.000000,-3.009804,0.589340
-46.5,2862,-4662.500000,-1.629106,0.556354
-46.0,3655,-8512.500000,-2.329001,0.489619
-45.5,4866,-9387.500000,-1.929203,0.423611
-45.0,3553,-7887.500000,-2.219955,0.499069
-44.5,6114,-14650.000000,-2.396140,0.374846
-44.0,5563,-13800.000000,-2.480676,0.397412
-43.5,7173,-14162.500000,-1.974418,0.352566
-43.0,7193,-11850.000000,-1.647435,0.349255
-42.5,9722,-20800.000000,-2.139477,0.299424
-42.0,10492,-25587.500000,-2.438763,0.288388
-41.5,9790,-22725.000000,-2.321246,0.297337
