TrueCount,HandsPlayed,TotalPayout,EV,StdError
-54.5,1,-25.000000,-25.000000,0.000000
-53.0,3,0.000000,0.000000,20.412415
-52.0,4,-50.000000,-12.500000,18.750000
-51.0,8,-50.000000,-6.250000,11.481983
-50.0,2,-75.000000,-37.500000,8.838835
-49.5,14,-125.000000,-8.928571,7.408947
-48.5,24,75.000000,3.125000,5.949823
-48.0,1,25.000000,25.000000,0.000000
-47.5,13,25.000000,1.923077,8.796490
-47.0,24,-75.000000,-3.125000,6.129480
-46.5,11,-75.000000,-6.818182,9.142416
-46.0,87,-725.000000,-8.333333,3.242588
-45.5,8,-25.000000,-3.125000,12.837247
-45.0,47,-137.500000,-2.925532,4.469553
-44.5,106,-850.000000,-8.018868,2.913422
-44.0,35,-475.000000,-13.571429,4.556097
-43.5,221,-637.500000,-2.884615,2.066788
-43.0,93,-875.000000,-9.408602,3.086461
-42.5,198,-1787.500000,-9.027778,2.087845
-42.0,196,-1100.000000,-5.612245,2.242587
-41.5,191,-650.000000,-3.403141,2.221126
-41.0,507,-2125.000000,-4.191321,1.364506
-40.5,235,-1887.500000,-8.031915,1.993066
-40.0,620,-2925.000000,-4.717742,1.230613
-39.5,782,-4312.500000,-5.514706,1.095246
-39.0,418,-1675.000000,-4.007177,1.497917
-38.5,1513,-3762.500000,-2.486781,0.791796
-38.0,1070,-3025.000000,-2.827103,0.930868
-37.5,1357,-6950.000000,-5.121592,0.830783
-37.0,1892,-5525.000000,-2.920190,0.709997
-36.5,2347,-9537.500000,-4.063698,0.620992
-36.0,3454,-13587.500000,-3.933845,0.514163
-35.5,2020,-5650.000000,-2.797030,0.679817
-35.0,2747,-9937.500000,-3.617583,0.571633
-34.5,6858,-22637.500000,-3.300889,0.367202
-34.0,4368,-15325.000000,-3.508471,0.461314
-33.5,6974,-24112.500000,-3.457485,0.363465
-33.0,6646,-22262.500000,-3.349759,0.369092
-32.5,8385,-28550.000000,-3.404890,0.327220
-32.0,13029,-36887.500000,-2.831184,0.264677
-31.5,10929,-36537.500000,-3.343170,0.286067
-31.0,17909,-49175.000000,-2.745826,0.225876
-30.5,14641,-40550.000000,-2.769620,0.248532
-30.0,20247,-53375.000000,-2.636193,0.212343
-29.5,32860,-91812.500000,-2.794051,0.165233
-29.0,29807,-74812.500000,-2.509897,0.173561
-28.5,41222,-103587.500000,-2.512918,0.147715
-28.0,29763,-81000.000000,-2.721500,0.172810
-27.5,34403,-91287.500000,-2.653475,0.161352
-27.0,65523,-167075.000000,-2.549868,0.116508
-26.5,65637,-163175.000000,-2.486022,0.116171
-26.0,89377,-208125.000000,-2.328619,0.099438
-25.5,90375,-229037.500000,-2.534302,0.098385
-25.0,122853,-252825.000000,-2.057947,0.084445
-24.5,95194,-184325.000000,-1.936309,0.096179
-24.0,102054,-223087.500000,-2.185975,0.092671
-23.5,169376,-350862.500000,-2.071501,0.071802
-23.0,199629,-406425.000000,-2.035902,0.066114
-22.5,230764,-435862.500000,-1.888780,0.061439
-22.0,222397,-413750.000000,-1.860412,0.062418
-21.5,242432,-404337.500000,-1.667839,0.059790
-21.0,351290,-643000.000000,-1.830397,0.049583
-20.5,303774,-501287.500000,-1.650199,0.053243
-20.0,448401,-736462.500000,-1.642419,0.043737
-19.5,438001,-707050.000000,-1.614266,0.044225
-19.0,487777,-757475.000000,-1.552912,0.041939
-18.5,583714,-882675.000000,-1.512170,0.038226
-18.0,554492,-798175.000000,-1.439471,0.039212
-17.5,1019320,-1414725.000000,-1.387911,0.028883
-17.0,653387,-847150.000000,-1.296552,0.036031
-16.5,1002525,-1303150.000000,-1.299868,0.029054
-16.0,1062482,-1333337.500000,-1.254927,0.028197
-15.5,1201550,-1437912.500000,-1.196715,0.026474
-15.0,1303445,-1445412.500000,-1.108917,0.025383
-14.5,1617969,-1774750.000000,-1.096900,0.022761
-14.0,1605543,-1682575.000000,-1.047979,0.022828
-13.5,2072636,-2041350.000000,-0.984905,0.020062
-13.0,2052863,-2013862.500000,-0.981002,0.020140
-12.5,2274648,-2109537.500000,-0.927413,0.019116
-12.0,2807780,-2486250.000000,-0.885486,0.017187
-11.5,2796650,-2377150.000000,-0.849999,0.017196
-11.0,3540685,-2950075.000000,-0.833193,0.015276
-10.5,3361297,-2566100.000000,-0.763426,0.015659
-10.0,4521111,-3156637.500000,-0.698200,0.013488
-9.5,4141198,-2759937.500000,-0.666459,0.014076
-9.0,5107017,-3269400.000000,-0.640178,0.012665
-8.5,5967761,-3618800.000000,-0.606392,0.011697
-8.0,5801336,-3306750.000000,-0.569998,0.011853
-7.5,7280825,-3895062.500000,-0.534975,0.010568
-7.0,7532128,-3594500.000000,-0.477222,0.010383
-6.5,8062218,-3723437.500000,-0.461838,0.010028
-6.0,10212250,-4231525.000000,-0.414358,0.008898
-5.5,10194411,-4023100.000000,-0.394638,0.008897
-5.0,10628528,-3735675.000000,-0.351476,0.008705
-4.5,13405667,-4452737.500000,-0.332153,0.007746
-4.0,14227014,-4182187.500000,-0.293961,0.007509
-3.5,16075957,-3693025.000000,-0.229723,0.007059
-3.0,17145876,-3761662.500000,-0.219392,0.006830
-2.5,18121221,-3292012.500000,-0.181666,0.006640
-2.0,22352933,-3480300.000000,-0.155698,0.005977
-1.5,18360458,-2197687.500000,-0.119697,0.006593
-1.0,24820956,-1964487.500000,-0.079146,0.005665
-0.5,18751110,-1465087.500000,-0.078133,0.006518
0.0,83759158,-2953500.000000,-0.035262,0.003080
0.5,18522967,-15262.500000,-0.000824,0.006543
1.0,23145576,1452350.000000,0.062748,0.005848
1.5,17364467,2815025.000000,0.162114,0.013945
2.0,19392948,8210937.500000,0.423398,0.024739
2.5,16946199,13784812.500000,0.814019,0.038389
3.0,15484123,21640400.000000,1.399990,0.054098
3.5,14621670,35215950.000000,2.420478,0.069731
4.0,12822733,43341625.000000,3.408265,0.089241
4.5,11794656,57297950.000000,4.918136,0.108787
5.0,10406976,67557650.000000,6.593015,0.131983
5.5,9199342,72575987.500000,8.029505,0.157877
6.0,9406856,96136987.500000,10.459257,0.173673
6.5,7198115,92891400.000000,13.316981,0.217906
7.0,6887602,110089500.000000,16.579512,0.241439
7.5,6678324,123967725.000000,19.298859,0.265602
8.0,5290641,114182650.000000,22.534384,0.321068
8.5,5403676,133183487.500000,25.774226,0.340239
9.0,4650091,130908550.000000,29.536220,0.391593
9.5,3877770,125428612.500000,34.050538,0.455369
10.0,3963247,138472050.000000,36.814124,0.474924
10.5,3139765,121834662.500000,40.970579,0.564467
11.0,3208248,140048212.500000,46.029514,0.584536
11.5,2522297,122167075.000000,51.350174,0.692943
12.0,2556567,131165275.000000,54.294038,0.720201
12.5,2068887,112623675.000000,57.699912,0.834385
13.0,1844719,110216025.000000,63.265118,0.917591
13.5,1871026,120145887.500000,68.111462,0.952221
14.0,1455230,99994825.000000,72.798220,1.124004
14.5,1449071,108688875.000000,79.545603,1.167059
15.0,1173205,90364987.500000,81.765891,1.338438
15.5,1083388,91623062.500000,89.599078,1.447017
16.0,946707,81367575.000000,91.045708,1.594699
16.5,897138,82087975.000000,97.117763,1.693823
17.0,584177,57756575.000000,104.933506,2.157486
17.5,915540,96356050.000000,111.619877,1.780027
18.0,492346,54632837.500000,117.487274,2.505700
18.5,520478,59901912.500000,122.552231,2.494517
19.0,433502,52082687.500000,127.546331,2.807091
19.5,388282,49951612.500000,136.816907,3.050015
20.0,397957,53855612.500000,143.494369,3.087434
20.5,271410,38837250.000000,151.764185,3.829471
21.0,308291,45034250.000000,155.125244,3.691863
21.5,211719,31992612.500000,160.080429,4.548391
22.0,196308,33177425.000000,179.489018,4.833234
22.5,202685,34780662.500000,182.094515,4.868217
23.0,176454,31981287.500000,192.306197,5.338138
23.5,149639,27271400.000000,193.985189,5.939087
24.0,89186,16018325.000000,191.194140,7.861554
24.5,82740,15617450.000000,200.848270,8.277457
25.0,109138,21256575.000000,206.686785,7.337846
25.5,79231,15178162.500000,203.092713,8.830304
26.0,79402,18454937.500000,247.556624,9.027362
26.5,57066,11585875.000000,214.848201,10.835204
27.0,57185,12309337.500000,229.209498,11.048256
27.5,29497,6342975.000000,229.839068,15.611646
28.0,25792,6096400.000000,252.383829,16.887386
28.5,36269,8799000.000000,257.545800,14.500365
29.0,26051,7053737.500000,287.925977,17.366397
29.5,28274,7308025.000000,276.167161,17.088278
30.0,17449,5278337.500000,321.797333,22.216678
30.5,12244,3269212.500000,282.641712,26.688245
31.0,15716,5318412.500000,361.053562,23.938649
31.5,9635,2793037.500000,307.565705,30.886907
32.0,11116,4057775.000000,387.351994,29.361980
32.5,7042,2299150.000000,347.358677,37.495095
33.0,5797,1864962.500000,342.997909,41.950972
33.5,5890,2100312.500000,379.584233,41.950804
34.0,3759,1572687.500000,444.853718,53.397251
34.5,6005,2207462.500000,385.117805,42.900411
35.0,2373,890150.000000,402.363709,69.926725
35.5,1734,882912.500000,529.482799,82.554869
36.0,2919,1278525.000000,467.946481,63.292373
36.5,2031,1013450.000000,534.651405,76.842052
37.0,1639,979362.500000,640.416258,87.063468
37.5,1168,367600.000000,349.104880,106.637565
38.0,868,403212.500000,499.130118,122.308047
38.5,1271,378912.500000,317.274847,101.543987
39.0,358,57650.000000,185.722518,200.027331
39.5,669,267837.500000,431.721511,147.762544
40.0,507,186112.500000,396.582217,170.040248
40.5,198,35525.000000,177.531820,274.618140
41.0,420,213862.500000,534.870724,191.489925
41.5,158,122775.000000,849.517203,304.996501
42.0,192,80225.000000,468.085335,293.866292
42.5,179,48700.000000,236.222173,309.679003
43.0,78,-4087.500000,-23.280800,483.511406
43.5,161,86162.500000,546.945745,332.027423
44.0,28,6062.500000,215.306122,829.893385
44.5,99,76600.000000,833.739641,481.923784
45.0,38,8112.500000,385.276746,675.172764
45.5,4,-12550.000000,-3137.500000,2281.267123
46.0,60,57562.500000,981.185897,604.571798
46.5,11,15100.000000,1372.727273,1214.847474
47.0,25,12.500000,0.547619,764.910678
47.5,8,-4337.500000,257.812500,1417.137074
48.0,1,4425.000000,4425.000000,0.000000
48.5,22,-4487.500000,-203.977273,1018.905861
49.5,13,11500.000000,884.615385,1532.984333
50.0,1,-4625.000000,-4625.000000,0.000000
51.0,4,2350.000000,587.500000,2097.794601
52.0,5,-4825.000000,-965.000000,2516.412128
