TrueCount,HandsPlayed,TotalPayout,EV,StdError
-27.5,1,-25.000000,-25.000000,0.000000
-26.5,1,25.000000,25.000000,0.000000
-26.0,1,25.000000,25.000000,0.000000
-25.5,4,-50.000000,-12.500000,10.825318
-25.0,9,-75.000000,-8.333333,6.804138
-24.5,6,-100.000000,-16.666667,9.622504
-24.0,22,37.500000,1.704545,5.810778
-23.5,37,-112.500000,-3.040541,4.951495
-23.0,69,200.000000,2.898551,3.332003
-22.5,41,12.500000,0.304878,4.829942
-22.0,170,-575.000000,-3.382353,2.135587
-21.5,189,-125.000000,-0.661376,2.248163
-21.0,217,-187.500000,-0.864055,2.073703
-20.5,574,-2675.000000,-4.660279,1.196788
-20.0,674,-1312.500000,-1.947329,1.139129
-19.5,795,-925.000000,-1.163522,1.064445
-19.0,1615,-1487.500000,-0.921053,0.734774
-18.5,3007,-4387.500000,-1.459095,0.533778
-18.0,4154,-7412.500000,-1.784425,0.454992
-17.5,4220,-4912.500000,-1.164100,0.456780
-17.0,8008,-10937.500000,-1.365822,0.328515
-16.5,10865,-14937.500000,-1.374827,0.281395
-16.0,12840,-12875.000000,-1.002726,0.258428
-15.5,29005,-44800.000000,-1.544561,0.172002
-15.0,35166,-56912.500000,-1.618396,0.155392
-14.5,30795,-37312.500000,-1.211642,0.166447
-14.0,66379,-78262.500000,-1.179025,0.113014
-13.5,88766,-111400.000000,-1.254985,0.097743
-13.0,113810,-139775.000000,-1.228143,0.086102
-12.5,142235,-144800.000000,-1.018034,0.076955
-12.0,224224,-219725.000000,-0.979935,0.061150
-11.5,228654,-216175.000000,-0.945424,0.060432
-11.0,359340,-372975.000000,-1.037945,0.048186
-10.5,536017,-506275.000000,-0.944513,0.039356
-10.0,565315,-469475.000000,-0.830466,0.038287
-9.5,680850,-518212.500000,-0.761126,0.034840
-9.0,972122,-661700.000000,-0.680676,0.029147
-8.5,1214070,-877750.000000,-0.722981,0.026050
-8.0,1481221,-999225.000000,-0.674595,0.023546
-7.5,1817625,-1061537.500000,-0.584024,0.021236
-7.0,2504196,-1369562.500000,-0.546907,0.018059
-6.5,2802068,-1440950.000000,-0.514245,0.017055
-6.0,3313594,-1604687.500000,-0.484274,0.015660
-5.5,4618459,-1988687.500000,-0.430595,0.013250
-5.0,4746271,-1862350.000000,-0.392382,0.013054
-4.5,6042392,-2235550.000000,-0.369978,0.011559
-4.0,7878706,-2623275.000000,-0.332958,0.010107
-3.5,9494845,-2711125.000000,-0.285537,0.009192
-3.0,9552005,-2205700.000000,-0.230915,0.009159
-2.5,11343813,-2526337.500000,-0.222706,0.008393
-2.0,15396036,-2783050.000000,-0.180764,0.007201
-1.5,14810264,-2054637.500000,-0.138731,0.007338
-1.0,12934225,-1710712.500000,-0.132262,0.007852
-0.5,19570351,-1527762.500000,-0.078065,0.006380
0.0,71399376,-3426050.000000,-0.047984,0.003336
0.5,19024237,52837.500000,0.002777,0.006453
1.0,11608192,425962.500000,0.036695,0.008253
1.5,12708612,1903412.500000,0.149773,0.018257
2.0,12972260,5592937.500000,0.431395,0.033530
2.5,10031702,10163750.000000,1.015996,0.057146
3.0,8679035,15732075.000000,1.823967,0.080363
3.5,7635434,22844712.500000,3.028162,0.107737
4.0,7104314,32366150.000000,4.629750,0.135229
4.5,4676151,29653312.500000,6.480761,0.193751
5.0,4490787,38378200.000000,8.812938,0.223353
5.5,3898467,43713937.500000,11.653326,0.272732
6.0,2767179,39706575.000000,14.987586,0.360365
6.5,2182963,37856362.500000,18.169668,0.441347
7.0,2099785,43967350.000000,21.952551,0.493042
7.5,1514993,36521450.000000,25.404557,0.630163
8.0,1156698,32812525.000000,29.946181,0.771362
8.5,962801,26453775.000000,28.937046,0.902823
9.0,820661,27614187.500000,35.513109,1.049966
9.5,532643,21096550.000000,41.775909,1.377709
10.0,425210,16367837.500000,40.712345,1.612640
10.5,433302,20018375.000000,48.697147,1.697750
11.0,281049,14945287.500000,56.117340,2.233944
11.5,162440,9587700.000000,62.233807,3.062031
12.0,173365,10396912.500000,63.159464,3.097076
12.5,110438,7049850.000000,67.210817,4.078796
13.0,84331,5461937.500000,68.798353,4.818246
13.5,64470,4350787.500000,71.335251,5.753999
14.0,52099,4656537.500000,95.139402,6.664721
14.5,20736,1876450.000000,95.790280,10.971944
15.0,26164,2159487.500000,87.469114,9.986471
15.5,20928,1529712.500000,76.119901,11.744589
16.0,9289,1029687.500000,116.554910,18.206849
16.5,7723,633100.000000,89.452192,20.557461
17.0,5934,725962.500000,127.123169,24.179468
17.5,2758,497237.500000,195.327181,36.553944
18.0,2778,494675.000000,190.592299,37.378849
18.5,2143,251200.000000,125.231895,43.721000
19.0,1149,92012.500000,85.836267,61.986505
19.5,451,32262.500000,77.007134,101.266119
20.0,438,60700.000000,145.377633,103.088825
20.5,346,71900.000000,225.255869,117.089986
21.0,102,43175.000000,450.276848,213.869754
21.5,103,45775.000000,482.809947,227.800822
22.0,91,47137.500000,548.773137,251.333993
22.5,16,6875.000000,429.687500,581.729552
23.0,37,7025.000000,174.889175,441.516065
23.5,16,6025.000000,376.562500,650.279645
24.0,7,-3712.500000,-530.357143,1168.850214
24.5,3,0.000000,0.000000,1190.296415
25.0,3,5100.000000,1700.000000,1836.209865
25.5,2,-25.000000,-12.500000,1847.316466
26.0,2,-5350.000000,-2675.000000,0.000000
