TrueCount,HandsPlayed,TotalPayout,EV,StdError
-12.0,3,50.000000,16.666667,18.002057
-11.5,4,75.000000,18.750000,13.621559
-11.0,15,-25.000000,-1.666667,5.993824
-10.5,40,-150.000000,-3.750000,4.467767
-10.0,129,-200.000000,-1.550388,2.635972
-9.5,354,-575.000000,-1.624294,1.470395
-9.0,1078,-1962.500000,-1.820501,0.892039
-8.5,2964,-3612.500000,-1.218792,0.532193
-8.0,7342,-10400.000000,-1.416508,0.339303
-7.5,18427,-25975.000000,-1.409616,0.214063
-7.0,42806,-51225.000000,-1.196678,0.139163
-6.5,95590,-113837.500000,-1.190893,0.093353
-6.0,211579,-218300.000000,-1.031766,0.062573
-5.5,415817,-382437.500000,-0.919726,0.044544
-5.0,840697,-704025.000000,-0.837430,0.031286
-4.5,1639213,-1318187.500000,-0.804159,0.022344
-4.0,2990161,-2199887.500000,-0.735709,0.016522
-3.5,5396669,-3429062.500000,-0.635404,0.012269
-3.0,9224965,-5064225.000000,-0.548970,0.009364
-2.5,15724371,-7746512.500000,-0.492644,0.007158
-2.0,25530065,-10700275.000000,-0.419124,0.005607
-1.5,41034041,-14059487.500000,-0.342630,0.004414
-1.0,64780953,-18434400.000000,-0.284565,0.003506
-0.5,105361561,-22942350.000000,-0.217749,0.002744
0.0,138968644,-20921937.500000,-0.150551,0.002388
0.5,99107453,-9107162.500000,-0.091892,0.002829
1.0,61173273,-1403587.500000,-0.022944,0.004051
1.5,38740208,8111412.500000,0.209380,0.017195
2.0,24051158,18262375.000000,0.759314,0.042724
2.5,14775846,27961212.500000,1.892359,0.081930
3.0,8637251,40701862.500000,4.767372,0.143637
3.5,5040073,52908075.000000,10.961602,0.234116
4.0,2784624,45523025.000000,17.276331,0.377176
4.5,1525116,31920450.000000,22.050812,0.594652
5.0,775388,21264475.000000,29.083331,0.952339
5.5,382104,12197787.500000,33.906937,1.516824
6.0,192985,7978625.000000,43.938310,2.365012
6.5,87125,3864062.500000,46.953650,3.862566
7.0,37468,1752087.500000,50.348929,6.410682
7.5,16396,902187.500000,58.460204,10.500705
8.0,6398,443412.500000,71.858104,18.055633
8.5,2520,216925.000000,89.092561,30.539511
9.0,836,72312.500000,88.291369,57.109623
9.5,313,-10675.000000,-39.235763,99.455623
10.0,95,-14775.000000,-170.680189,195.847463
10.5,39,2587.500000,65.197650,295.411523
11.0,10,5725.000000,572.500000,534.362354
11.5,3,1012.500000,666.666667,1078.600774
12.0,4,4200.000000,1050.000000,1151.595361
