TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.0,4,-100.000000,-25.000000,0.000000
-2.5,51,137.500000,2.696078,4.135026
-2.0,790,-600.000000,-0.759494,1.032864
-1.5,13087,-5000.000000,-0.382059,0.247469
-1.0,237093,-64475.000000,-0.271940,0.058005
-0.5,3502179,-643650.000000,-0.183786,0.015063
0.0,28532125,-3461200.000000,-0.121309,0.005266
0.5,25397294,-3762662.500000,-0.148152,0.005584
1.0,26564012,-3724837.500000,-0.140221,0.005459
1.5,23900732,-3199750.000000,-0.133877,0.005755
2.0,22797252,-2998987.500000,-0.131550,0.005892
2.5,22002593,-3059675.000000,-0.139060,0.005998
3.0,21200275,-2800850.000000,-0.132114,0.006110
3.5,20796555,-2613312.500000,-0.125661,0.006168
4.0,19828110,-2671850.000000,-0.134751,0.006317
4.5,19109081,-2731162.500000,-0.142925,0.006436
5.0,18732683,-2329275.000000,-0.124343,0.006499
5.5,17901619,-2202650.000000,-0.123042,0.006648
6.0,17287624,-2292250.000000,-0.132595,0.006765
6.5,16862031,-1973000.000000,-0.117008,0.006849
7.0,16271769,-2098175.000000,-0.128946,0.006971
7.5,15753811,-1856662.500000,-0.117855,0.007085
8.0,15308006,-1866200.000000,-0.121910,0.007188
8.5,14748627,-1939187.500000,-0.131483,0.007322
9.0,14515095,-1830650.000000,-0.126120,0.007383
9.5,13809347,-1632900.000000,-0.118246,0.007567
10.0,13619713,-1751437.500000,-0.128596,0.007620
10.5,13291795,-1805100.000000,-0.135806,0.007714
11.0,12876187,-1477325.000000,-0.114733,0.007838
11.5,12471251,-1514787.500000,-0.121462,0.007961
12.0,12165045,-1464800.000000,-0.120411,0.008061
12.5,11687519,-1563337.500000,-0.133761,0.008225
13.0,11602028,-1236975.000000,-0.106617,0.008253
13.5,11182361,-1265475.000000,-0.113167,0.008409
14.0,10861776,-1294887.500000,-0.119215,0.008532
14.5,10749694,-1153575.000000,-0.107312,0.008576
15.0,10295183,-1138662.500000,-0.110601,0.008764
15.5,10029465,-1162512.500000,-0.115910,0.008879
16.0,9740872,-1026087.500000,-0.105338,0.009007
16.5,9695320,-1042550.000000,-0.107531,0.009029
17.0,8872930,-936012.500000,-0.105491,0.009437
17.5,9435276,-1047612.500000,-0.111031,0.009151
18.0,8840149,-783825.000000,-0.088666,0.009451
18.5,8500629,-1037162.500000,-0.122010,0.009635
19.0,8126906,-616812.500000,-0.075898,0.009855
19.5,7891810,-514125.000000,-0.065147,0.009997
20.0,7503366,-427500.000000,-0.056974,0.010247
20.5,6784575,-429600.000000,-0.063320,0.010769
21.0,6863117,-261300.000000,-0.038073,0.010704
21.5,6195828,-142612.500000,-0.023018,0.011259
22.0,5484463,-102000.000000,-0.018598,0.011961
22.5,5282993,69262.500000,0.013110,0.012178
23.0,4552398,136400.000000,0.029962,0.013110
23.5,3990606,246837.500000,0.061855,0.013989
24.0,3411223,288387.500000,0.084541,0.015119
24.5,2924549,243737.500000,0.083342,0.016312
25.0,2396745,213012.500000,0.088876,0.017994
25.5,1942163,297650.000000,0.153257,0.019971
26.0,1895413,358562.500000,0.189174,0.020212
26.5,1176776,247725.000000,0.210512,0.025601
27.0,911142,240562.500000,0.264023,0.029068
27.5,688783,218037.500000,0.316555,0.033384
28.0,503294,166837.500000,0.331491,0.039026
28.5,360388,123412.500000,0.342443,0.046060
29.0,251866,75500.000000,0.299763,0.054986
29.5,171550,70675.000000,0.411979,0.066596
30.0,109977,51212.500000,0.465666,0.082926
30.5,71567,27300.000000,0.381461,0.103048
31.0,46879,19137.500000,0.408232,0.126952
31.5,26573,13387.500000,0.503801,0.169033
32.0,15674,9575.000000,0.610884,0.218617
32.5,9248,6900.000000,0.746107,0.282713
33.0,5183,6300.000000,1.215512,0.379056
33.5,2801,-387.500000,-0.138343,0.516414
34.0,1515,675.000000,0.445545,0.713879
34.5,838,1125.000000,1.342482,0.929182
35.0,403,37.500000,0.093052,1.374940
35.5,190,25.000000,0.131579,1.995471
36.0,68,-87.500000,-1.286765,3.258810
36.5,40,-200.000000,-5.000000,3.947903
37.0,19,87.500000,4.605263,6.115982
37.5,11,-50.000000,-4.545455,6.280448
38.5,1,25.000000,25.000000,0.000000
39.0,1,50.000000,50.000000,0.000000
