TrueCount,HandsPlayed,TotalPayout,EV,StdError
-31.5,1,-25.000000,-25.000000,0.000000
-31.0,1,25.000000,25.000000,0.000000
-30.5,1,25.000000,25.000000,0.000000
-30.0,4,75.000000,18.750000,13.621559
-29.5,3,0.000000,0.000000,11.785113
-29.0,1,-25.000000,-25.000000,0.000000
-28.5,7,-25.000000,-3.571429,12.806021
-28.0,16,-25.000000,-1.562500,7.802728
-27.5,20,-150.000000,-7.500000,5.889609
-27.0,37,-387.500000,-10.472973,4.907692
-26.5,53,-475.000000,-8.962264,3.598184
-26.0,72,-250.000000,-3.472222,3.482816
-25.5,125,-125.000000,-1.000000,2.520317
-25.0,178,262.500000,1.474719,2.306241
-24.5,248,-512.500000,-2.066532,1.852085
-24.0,374,-75.000000,-0.200535,1.558327
-23.5,559,-687.500000,-1.229875,1.255743
-23.0,829,-2450.000000,-2.955368,1.038514
-22.5,1068,-12.500000,-0.011704,0.926402
-22.0,1552,-287.500000,-0.185245,0.743543
-21.5,2082,-4325.000000,-2.077329,0.645643
-21.0,2897,-3737.500000,-1.290128,0.543771
-20.5,4585,-9275.000000,-2.022901,0.431992
-20.0,6173,-10437.500000,-1.690831,0.375747
-19.5,8115,-17375.000000,-2.141097,0.325063
-19.0,11720,-16287.500000,-1.389718,0.271471
-18.5,16400,-31412.500000,-1.915396,0.227836
-18.0,22170,-36400.000000,-1.641858,0.196853
-17.5,27449,-44987.500000,-1.638949,0.176444
-17.0,43135,-59762.500000,-1.385476,0.140530
-16.5,55239,-79500.000000,-1.439201,0.123966
-16.0,69991,-96550.000000,-1.379463,0.110294
-15.5,98276,-124587.500000,-1.267731,0.092888
-15.0,128510,-181525.000000,-1.412536,0.081042
-14.5,161979,-223987.500000,-1.382818,0.071948
-14.0,222602,-256725.000000,-1.153292,0.061514
-13.5,278265,-307100.000000,-1.103624,0.054871
-13.0,365771,-397700.000000,-1.087292,0.047751
-12.5,473031,-538850.000000,-1.139143,0.041937
-12.0,598181,-629000.000000,-1.051521,0.037289
-11.5,758893,-818687.500000,-1.078792,0.033060
-11.0,949161,-887312.500000,-0.934839,0.029522
-10.5,1246008,-1177400.000000,-0.944938,0.025735
-10.0,1537570,-1360900.000000,-0.885098,0.023157
-9.5,1895358,-1665100.000000,-0.878515,0.020833
-9.0,2395150,-1920500.000000,-0.801829,0.018510
-8.5,2931357,-2249862.500000,-0.767516,0.016714
-8.0,3672947,-2587112.500000,-0.704370,0.014910
-7.5,4485426,-3087087.500000,-0.688248,0.013478
-7.0,5553853,-3436062.500000,-0.618681,0.012104
-6.5,6804996,-4276875.000000,-0.628490,0.010920
-6.0,8236668,-4715225.000000,-0.572468,0.009916
-5.5,10198992,-5596650.000000,-0.548745,0.008901
-5.0,12331871,-6319862.500000,-0.512482,0.008087
-4.5,14956014,-6941500.000000,-0.464128,0.007336
-4.0,18310334,-7602037.500000,-0.415177,0.006622
-3.5,22222773,-8814662.500000,-0.396650,0.006006
-3.0,26783754,-9722625.000000,-0.363005,0.005465
-2.5,32567199,-10010487.500000,-0.307379,0.004951
-2.0,39499835,-11492012.500000,-0.290938,0.004491
-1.5,48381493,-11972612.500000,-0.247463,0.004054
-1.0,59280159,-13093850.000000,-0.220881,0.003658
-0.5,73311592,-13530487.500000,-0.184561,0.003286
0.0,84706037,-13146950.000000,-0.155207,0.003054
0.5,70629858,-8573350.000000,-0.121384,0.003344
1.0,56588131,-4731587.500000,-0.083614,0.003741
1.5,46462361,-3501000.000000,-0.075351,0.008130
2.0,37898856,-2055950.000000,-0.054248,0.017349
2.5,31245896,3793775.000000,0.121417,0.028413
3.0,25665178,11315250.000000,0.440879,0.041674
3.5,21280635,19204037.500000,0.902418,0.057476
4.0,17527611,23595812.500000,1.346208,0.075903
4.5,14300590,30204225.000000,2.112096,0.097905
5.0,11792433,32747500.000000,2.776993,0.123241
5.5,9739364,39908837.500000,4.107305,0.153183
6.0,7863045,49613462.500000,6.381812,0.190088
6.5,6516570,60690612.500000,9.540402,0.228828
7.0,5320701,69537225.000000,13.602564,0.275628
7.5,4287384,71416662.500000,17.506309,0.331736
8.0,3515860,68467775.000000,20.576518,0.394513
8.5,2800278,63378312.500000,23.967661,0.473584
9.0,2289803,59174237.500000,27.346809,0.557623
9.5,1811123,50425237.500000,29.511691,0.664608
10.0,1465996,47560887.500000,34.335892,0.781546
10.5,1191998,41679887.500000,36.985272,0.914474
11.0,904958,34708837.500000,40.628281,1.102997
11.5,724518,30357050.000000,44.381099,1.291887
12.0,571270,25930425.000000,47.923068,1.523137
12.5,451930,24292662.500000,56.905403,1.786945
13.0,348399,18523550.000000,56.250160,2.121406
13.5,266198,17090412.500000,67.809394,2.526169
14.0,213423,12457275.000000,61.524848,2.931947
14.5,155085,10787887.500000,73.568355,3.563774
15.0,122560,8472387.500000,73.501550,4.146618
15.5,93487,7476025.000000,84.647842,4.916501
16.0,66780,5793975.000000,91.512404,6.005998
16.5,52843,4651475.000000,93.668105,6.970775
17.0,40897,3642612.500000,94.316130,8.198459
17.5,26153,2945412.500000,119.470989,10.523832
18.0,21147,2358375.000000,118.641516,12.097491
18.5,15846,1343900.000000,89.378458,14.296921
19.0,11245,1004025.000000,94.474792,17.527372
19.5,7945,619200.000000,86.461095,21.391874
20.0,5919,605162.500000,110.315255,25.523808
20.5,4393,494462.500000,116.366870,30.355665
21.0,2780,263150.000000,99.173012,38.462546
21.5,2136,368212.500000,181.214481,44.885126
22.0,1457,138487.500000,99.131429,56.314736
22.5,982,141825.000000,156.720908,71.233039
23.0,758,160237.500000,216.230073,80.498497
23.5,493,100312.500000,223.475196,102.716873
24.0,396,76125.000000,221.546176,119.994632
24.5,241,-8087.500000,-38.195805,156.569123
25.0,153,70437.500000,512.532837,188.275083
25.5,108,30137.500000,298.032905,246.557878
26.0,82,3825.000000,51.064902,283.981041
26.5,46,-33687.500000,-742.324358,316.527325
27.0,30,14800.000000,493.333333,473.468193
27.5,17,7587.500000,520.147059,753.917619
28.0,15,12737.500000,849.166667,653.414607
28.5,3,-5225.000000,-1741.666667,711.056856
29.0,5,1350.000000,270.000000,1210.565983
29.5,4,8100.000000,2025.000000,584.567148
30.0,1,2725.000000,2725.000000,0.000000
31.0,2,0.000000,0.000000,2015.254326
32.5,1,4500.000000,4500.000000,0.000000
