TrueCount,HandsPlayed,TotalPayout,EV,StdError
-42.5,1,25.000000,25.000000,0.000000
-42.0,1,-25.000000,-25.000000,0.000000
-41.0,1,-50.000000,-50.000000,0.000000
-40.0,2,50.000000,25.000000,0.000000
-39.5,2,25.000000,12.500000,26.516504
-39.0,3,25.000000,8.333333,24.532669
-38.5,7,-250.000000,-35.714286,4.676098
-38.0,3,-100.000000,-33.333333,6.804138
-37.5,11,-325.000000,-29.545455,5.395688
-37.0,6,25.000000,4.166667,12.383718
-36.5,14,-200.000000,-14.285714,6.036816
-36.0,24,-137.500000,-5.729167,6.420384
-35.5,21,-200.000000,-9.523810,6.180438
-35.0,25,-25.000000,-1.000000,5.912698
-34.5,35,-12.500000,-0.357143,5.162801
-34.0,42,-25.000000,-0.595238,5.222385
-33.5,63,-150.000000,-2.380952,4.132105
-33.0,84,-362.500000,-4.315476,3.461183
-32.5,131,-562.500000,-4.293893,2.643564
-32.0,137,-512.500000,-3.740876,2.476530
-31.5,207,-550.000000,-2.657005,2.140654
-31.0,298,-1200.000000,-4.026846,1.778184
-30.5,403,-1662.500000,-4.125310,1.456531
-30.0,475,-875.000000,-1.842105,1.400852
-29.5,712,-3012.500000,-4.231039,1.121869
-29.0,892,-1612.500000,-1.807735,1.025220
-28.5,1086,-2150.000000,-1.979742,0.912047
-28.0,1389,-4012.500000,-2.888769,0.807974
-27.5,1856,-6675.000000,-3.596444,0.697067
-27.0,2439,-7487.500000,-3.069906,0.598247
-26.5,3875,-11812.500000,-3.048387,0.482757
-26.0,2541,-8850.000000,-3.482881,0.600253
-25.5,5914,-16562.500000,-2.800558,0.390639
-25.0,6764,-21562.500000,-3.187833,0.360582
-24.5,8535,-21612.500000,-2.532220,0.325048
-24.0,10811,-31375.000000,-2.902137,0.287618
-23.5,12635,-25425.000000,-2.012268,0.264265
-23.0,19272,-47787.500000,-2.479634,0.214209
-22.5,20378,-48000.000000,-2.355481,0.208966
-22.0,26275,-60437.500000,-2.300190,0.183325
-21.5,33120,-83462.500000,-2.520003,0.163064
-21.0,43449,-94712.500000,-2.179855,0.142347
-20.5,50790,-98500.000000,-1.939358,0.131730
-20.0,60424,-99787.500000,-1.651455,0.120325
-19.5,81080,-157437.500000,-1.941755,0.103864
-19.0,95656,-170100.000000,-1.778247,0.095370
-18.5,117101,-222450.000000,-1.899642,0.086110
-18.0,141489,-266562.500000,-1.883980,0.078320
-17.5,173452,-307775.000000,-1.774410,0.070587
-17.0,207368,-332537.500000,-1.603610,0.064366
-16.5,272584,-444737.500000,-1.631561,0.056157
-16.0,292224,-445062.500000,-1.523018,0.054182
-15.5,359091,-511312.500000,-1.423908,0.048781
-15.0,456821,-639787.500000,-1.400521,0.043254
-14.5,519311,-718450.000000,-1.383468,0.040452
-14.0,627804,-825462.500000,-1.314841,0.036746
-13.5,755174,-921287.500000,-1.219967,0.033455
-13.0,872233,-1126525.000000,-1.291541,0.031072
-12.5,1073685,-1232762.500000,-1.148160,0.027983
-12.0,1257088,-1420387.500000,-1.129903,0.025814
