TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-11.0,1,25.000000,-25.000000,-1.000000,0.000000
-10.5,4,100.000000,0.000000,0.000000,0.100000
-10.0,9,225.000000,-50.000000,-0.222222,0.061083
-9.5,36,975.000000,0.000000,0.000000,0.029902
-9.0,154,4450.000000,-875.000000,-0.196629,0.014173
-8.5,406,11675.000000,-1175.000000,-0.100642,0.009113
-8.0,1493,43200.000000,-500.000000,-0.011574,0.004697
-7.5,3965,112775.000000,-4950.000000,-0.043893,0.002886
-7.0,11090,315850.000000,-13950.000000,-0.044167,0.001734
-6.5,28433,808675.000000,-23212.500000,-0.028704,0.001087
-6.0,60691,1716525.000000,-67425.000000,-0.039280,0.000745
-5.5,158000,4466075.000000,-147462.500000,-0.033018,0.000462
-5.0,328394,9262875.000000,-255612.500000,-0.027595,0.000321
-4.5,635206,17880350.000000,-461500.000000,-0.025810,0.000232
-4.0,1351119,37908775.000000,-963775.000000,-0.025424,0.000159
-3.5,2346771,65728575.000000,-1514050.000000,-0.023035,0.000121
-3.0,4468120,124920350.000000,-2422287.500000,-0.019391,0.000088
-2.5,7286399,203294400.000000,-3322162.500000,-0.016342,0.000069
-2.0,11914997,331782800.000000,-4691900.000000,-0.014141,0.000054
-1.5,20292304,563886625.000000,-6499012.500000,-0.011525,0.000041
-1.0,31446743,872171950.000000,-8159575.000000,-0.009355,0.000033
-0.5,52457458,1453354000.000000,-10037737.500000,-0.006907,0.000026
0.0,53753885,1489114125.000000,-7248187.500000,-0.004867,0.000025
0.5,48442676,1339687675.000000,-3736675.000000,-0.002789,0.000027
1.0,27456251,2045879625.000000,175912.500000,0.000086,0.000022
1.5,18162648,2750210700.000000,6897387.500000,0.002508,0.000019
2.0,10487473,2387827962.500000,11502900.000000,0.004817,0.000020
2.5,6472672,1948013525.000000,13604500.000000,0.006984,0.000022
3.0,4083410,1530487562.500000,14057012.500000,0.009185,0.000025
3.5,2149411,951480525.000000,10321587.500000,0.010848,0.000033
4.0,1247082,639323837.500000,8769087.500000,0.013716,0.000040
4.5,577919,338239175.000000,5872700.000000,0.017363,0.000055
5.0,295158,193373050.000000,3390950.000000,0.017536,0.000073
5.5,140423,102587362.500000,1777000.000000,0.017322,0.000100
6.0,53261,42779162.500000,1184950.000000,0.027699,0.000154
6.5,24999,21679137.500000,542900.000000,0.025043,0.000217
7.0,9582,9047437.500000,271350.000000,0.029992,0.000334
7.5,3317,3354200.000000,70937.500000,0.021149,0.000551
8.0,1407,1532762.500000,86275.000000,0.056287,0.000811
8.5,346,405212.500000,25712.500000,0.063454,0.001565
9.0,132,160962.500000,16725.000000,0.103906,0.002533
9.5,44,55500.000000,9462.500000,0.170495,0.004369
10.0,3,3925.000000,625.000000,0.159236,0.016414
