TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-11.0,1,50.000000,50.000000,1.000000,0.000000
-10.5,2,50.000000,0.000000,0.000000,0.141421
-10.0,8,200.000000,-100.000000,-0.500000,0.061237
-9.5,33,900.000000,-225.000000,-0.250000,0.029788
-9.0,169,4900.000000,-362.500000,-0.073980,0.013942
-8.5,440,12650.000000,-1400.000000,-0.110672,0.008604
-8.0,1425,40600.000000,-2637.500000,-0.064963,0.004882
-7.5,3991,112825.000000,-4050.000000,-0.035896,0.002914
-7.0,10952,312425.000000,-7700.000000,-0.024646,0.001749
-6.5,28368,804100.000000,-33850.000000,-0.042097,0.001088
-6.0,61289,1738050.000000,-51725.000000,-0.029760,0.000740
-5.5,159185,4496425.000000,-122137.500000,-0.027163,0.000461
-5.0,329498,9281075.000000,-260700.000000,-0.028089,0.000321
-4.5,637915,17946225.000000,-482250.000000,-0.026872,0.000231
-4.0,1355050,38036875.000000,-869112.500000,-0.022849,0.000159
-3.5,2358706,66087150.000000,-1240700.000000,-0.018774,0.000121
-3.0,4481410,125294350.000000,-2159862.500000,-0.017238,0.000088
-2.5,7310907,203982600.000000,-2910962.500000,-0.014271,0.000069
-2.0,11951679,332857225.000000,-4075750.000000,-0.012245,0.000054
-1.5,20371394,566088725.000000,-5422375.000000,-0.009579,0.000041
-1.0,31556627,875259025.000000,-6389825.000000,-0.007300,0.000033
-0.5,52711688,1460336525.000000,-7236800.000000,-0.004956,0.000026
0.0,53878069,1492650100.000000,-4613287.500000,-0.003091,0.000025
0.5,48646779,1345345675.000000,-1583862.500000,-0.001177,0.000027
1.0,27550266,2052371400.000000,2994287.500000,0.001459,0.000022
1.5,18231900,2760772275.000000,9578137.500000,0.003469,0.000019
2.0,10529345,2397318637.500000,15389837.500000,0.006420,0.000020
2.5,6500381,1956455600.000000,14209262.500000,0.007263,0.000022
3.0,4101585,1537500400.000000,16776800.000000,0.010912,0.000025
3.5,2155215,954430100.000000,11767075.000000,0.012329,0.000032
4.0,1253527,642831712.500000,10472075.000000,0.016291,0.000040
4.5,580246,339657750.000000,5896150.000000,0.017359,0.000055
5.0,296918,194624737.500000,3727412.500000,0.019152,0.000072
5.5,141470,103282312.500000,2240137.500000,0.021689,0.000099
6.0,53327,42788112.500000,1295687.500000,0.030281,0.000154
6.5,24565,21337987.500000,473750.000000,0.022202,0.000219
7.0,9413,8856062.500000,188500.000000,0.021285,0.000339
7.5,3304,3345750.000000,97837.500000,0.029242,0.000551
8.0,1348,1461325.000000,28762.500000,0.019682,0.000840
8.5,323,374900.000000,20137.500000,0.053714,0.001684
9.0,129,162387.500000,8300.000000,0.051112,0.002503
9.5,30,36737.500000,2625.000000,0.071453,0.005288
10.0,7,9875.000000,-4475.000000,-0.453165,0.008971
10.5,5,8275.000000,6925.000000,0.836858,0.004062
11.0,1,1450.000000,1450.000000,1.000000,0.000000
