TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-19.5,1,25.000000,-25.000000,-1.000000,0.000000
-19.0,2,75.000000,-25.000000,-0.333333,0.108866
-18.5,6,150.000000,0.000000,0.000000,0.066667
-18.0,14,350.000000,0.000000,-0.000000,0.053452
-17.5,11,300.000000,12.500000,0.041667,0.060620
-17.0,56,1575.000000,-62.500000,-0.039683,0.025722
-16.5,77,2200.000000,-312.500000,-0.142045,0.020889
-16.0,179,5050.000000,-512.500000,-0.101485,0.013690
-15.5,301,8550.000000,250.000000,0.029240,0.010659
-15.0,561,15950.000000,-1325.000000,-0.083072,0.007628
-14.5,944,27125.000000,-2025.000000,-0.074654,0.006010
-14.0,1779,50725.000000,-2287.500000,-0.045096,0.004322
-13.5,2728,78600.000000,-3700.000000,-0.047074,0.003491
-13.0,4689,135900.000000,-2562.500000,-0.018856,0.002655
-12.5,8806,251000.000000,-9662.500000,-0.038496,0.001956
-12.0,13298,377450.000000,-15812.500000,-0.041893,0.001590
-11.5,23490,666150.000000,-29462.500000,-0.044228,0.001199
-11.0,34275,973625.000000,-35112.500000,-0.036064,0.000990
-10.5,61171,1733775.000000,-75675.000000,-0.043648,0.000743
-10.0,85701,2423550.000000,-88000.000000,-0.036310,0.000628
-9.5,133298,3765575.000000,-115975.000000,-0.030799,0.000504
-9.0,205861,5815000.000000,-174300.000000,-0.029974,0.000406
-8.5,294261,8297975.000000,-240262.500000,-0.028954,0.000340
-8.0,450339,12682500.000000,-351450.000000,-0.027711,0.000275
-7.5,596012,16767425.000000,-439025.000000,-0.026183,0.000239
-7.0,928151,26052350.000000,-548787.500000,-0.021065,0.000192
-6.5,1233702,34604850.000000,-790375.000000,-0.022840,0.000167
-6.0,1688763,47313425.000000,-918887.500000,-0.019421,0.000143
-5.5,2398369,67111375.000000,-1296800.000000,-0.019323,0.000120
-5.0,3224437,90088475.000000,-1602762.500000,-0.017791,0.000103
-4.5,4249223,118613075.000000,-1957362.500000,-0.016502,0.000090
-4.0,5501031,153357975.000000,-2262050.000000,-0.014750,0.000079
-3.5,7445410,207307500.000000,-2788125.000000,-0.013449,0.000068
-3.0,9214434,256344975.000000,-3180662.500000,-0.012408,0.000061
-2.5,12092884,335968725.000000,-3691800.000000,-0.010989,0.000054
-2.0,15557349,431742975.000000,-3971900.000000,-0.009200,0.000047
-1.5,20672885,573127875.000000,-4851850.000000,-0.008466,0.000041
-1.0,24131450,668164000.000000,-4965600.000000,-0.007432,0.000038
-0.5,29197725,808324050.000000,-4647425.000000,-0.005749,0.000035
0.0,40364837,1117402000.000000,-5174875.000000,-0.004631,0.000029
0.5,27984497,774475275.000000,-2999862.500000,-0.003873,0.000035
1.0,21741166,600972625.000000,-1415325.000000,-0.002355,0.000040
1.5,18192816,766466025.000000,-378000.000000,-0.000493,0.000036
2.0,13801911,1242919000.000000,550100.000000,0.000443,0.000028
2.5,10972386,1470200850.000000,3335112.500000,0.002268,0.000026
3.0,8088257,1451218925.000000,3998287.500000,0.002755,0.000026
3.5,6674570,1509165975.000000,7511437.500000,0.004977,0.000025
4.0,4858314,1309903450.000000,7328875.000000,0.005595,0.000027
4.5,3754476,1179658975.000000,7580262.500000,0.006426,0.000029
5.0,2891951,1034091300.000000,8681975.000000,0.008396,0.000031
5.5,2186290,868137887.500000,7797850.000000,0.008982,0.000034
6.0,1530053,673501150.000000,7264100.000000,0.010786,0.000039
6.5,1136503,544571487.500000,5396875.000000,0.009910,0.000043
7.0,839095,436862825.000000,5983187.500000,0.013696,0.000048
7.5,535546,302856962.500000,4957400.000000,0.016369,0.000058
8.0,403310,244649037.500000,4082137.500000,0.016686,0.000064
8.5,256954,167118300.000000,3177850.000000,0.019016,0.000078
9.0,179392,124895750.000000,3229025.000000,0.025854,0.000090
9.5,113974,83810587.500000,1795075.000000,0.021418,0.000110
10.0,74389,57693675.000000,1037000.000000,0.017974,0.000133
10.5,50456,41319037.500000,861225.000000,0.020843,0.000157
11.0,28685,24729412.500000,662962.500000,0.026809,0.000203
11.5,19155,17260000.000000,386962.500000,0.022420,0.000243
12.0,10850,10284650.000000,276625.000000,0.026897,0.000314
12.5,6929,6811912.500000,222350.000000,0.032641,0.000388
13.0,3765,3854862.500000,181187.500000,0.047002,0.000514
13.5,2104,2243225.000000,2875.000000,0.001282,0.000676
14.0,1300,1458925.000000,56175.000000,0.038504,0.000832
14.5,686,789375.000000,1025.000000,0.001298,0.001153
15.0,379,453250.000000,46275.000000,0.102096,0.001522
15.5,220,271825.000000,-262.500000,-0.000966,0.001915
16.0,103,134787.500000,17937.500000,0.133080,0.002684
16.5,59,77475.000000,-19412.500000,-0.250565,0.003590
17.0,20,27012.500000,8487.500000,0.314206,0.006150
17.5,11,16300.000000,2050.000000,0.125767,0.008926
18.0,9,11850.000000,-4900.000000,-0.413502,0.007745
18.5,5,11550.000000,-2850.000000,-0.246753,0.007718
19.0,2,2975.000000,-25.000000,-0.008403,0.018333
