TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-32.5,1,25.000000,25.000000,1.000000,0.000000
-32.0,1,25.000000,25.000000,1.000000,0.000000
-31.5,2,75.000000,-75.000000,-1.000000,0.000000
-30.5,3,100.000000,0.000000,0.000000,0.100000
-30.0,5,125.000000,-125.000000,-1.000000,0.000000
-29.5,5,150.000000,0.000000,-0.000000,0.081650
-29.0,8,225.000000,12.500000,0.055556,0.067485
-28.5,11,375.000000,0.000000,-0.000000,0.046188
-28.0,31,975.000000,162.500000,0.166667,0.030840
-27.5,35,1125.000000,262.500000,0.233333,0.029076
-27.0,78,2450.000000,175.000000,0.071429,0.019786
-26.5,78,2475.000000,-150.000000,-0.060606,0.019339
-26.0,157,4650.000000,-400.000000,-0.086022,0.014411
-25.5,157,4550.000000,-1062.500000,-0.233516,0.013958
-25.0,281,8175.000000,-237.500000,-0.029052,0.010664
-24.5,365,10500.000000,-1700.000000,-0.161905,0.009295
-24.0,537,15775.000000,-1687.500000,-0.106973,0.007709
-23.5,694,19850.000000,-3325.000000,-0.167506,0.006802
-23.0,1112,33050.000000,-4575.000000,-0.138427,0.005302
-22.5,1430,41950.000000,-4350.000000,-0.103695,0.004732
-22.0,2223,65375.000000,-8325.000000,-0.127342,0.003759
-21.5,3016,89050.000000,-4425.000000,-0.049691,0.003254
-21.0,4111,119575.000000,-7437.500000,-0.062199,0.002819
-20.5,5648,163375.000000,-6637.500000,-0.040627,0.002417
-20.0,7782,225375.000000,-16837.500000,-0.074709,0.002047
-19.5,10711,310750.000000,-19912.500000,-0.064079,0.001745
-19.0,13972,403225.000000,-24800.000000,-0.061504,0.001532
-18.5,19143,554075.000000,-40837.500000,-0.073704,0.001310
-18.0,24551,710000.000000,-43950.000000,-0.061901,0.001156
-17.5,32434,935550.000000,-47162.500000,-0.050412,0.001009
-17.0,46251,1332225.000000,-78725.000000,-0.059093,0.000844
-16.5,60396,1736500.000000,-89500.000000,-0.051540,0.000740
-16.0,75009,2151850.000000,-116575.000000,-0.054174,0.000665
-15.5,97605,2801100.000000,-157737.500000,-0.056313,0.000582
-15.0,129861,3721225.000000,-174675.000000,-0.046940,0.000506
-14.5,165657,4747275.000000,-214950.000000,-0.045279,0.000448
-14.0,211623,6049075.000000,-284025.000000,-0.046953,0.000397
-13.5,272183,7773075.000000,-333275.000000,-0.042876,0.000350
-13.0,337165,9604925.000000,-381275.000000,-0.039696,0.000315
-12.5,442406,12598675.000000,-492362.500000,-0.039080,0.000275
-12.0,546919,15552575.000000,-577850.000000,-0.037155,0.000248
-11.5,689489,19578950.000000,-670037.500000,-0.034222,0.000221
-11.0,854461,24236425.000000,-840212.500000,-0.034667,0.000199
-10.5,1075174,30467825.000000,-995025.000000,-0.032658,0.000177
-10.0,1347915,38126050.000000,-1138175.000000,-0.029853,0.000158
-9.5,1613922,45595200.000000,-1380325.000000,-0.030273,0.000145
-9.0,2024692,57117575.000000,-1569825.000000,-0.027484,0.000130
-8.5,2488933,70142375.000000,-1874750.000000,-0.026728,0.000117
-8.0,3060162,86153500.000000,-2150075.000000,-0.024956,0.000106
-7.5,3706895,104188825.000000,-2402975.000000,-0.023064,0.000096
-7.0,4531071,127223050.000000,-2792337.500000,-0.021948,0.000087
-6.5,5565566,156110775.000000,-3136737.500000,-0.020093,0.000078
-6.0,6661067,186618525.000000,-3514262.500000,-0.018831,0.000072
-5.5,8157713,228253400.000000,-4021325.000000,-0.017618,0.000065
-5.0,9893013,276452725.000000,-4406362.500000,-0.015939,0.000059
-4.5,11942262,333331950.000000,-5090287.500000,-0.015271,0.000054
-4.0,14475566,403618075.000000,-5478075.000000,-0.013572,0.000049
-3.5,17632597,491103200.000000,-5785662.500000,-0.011781,0.000044
-3.0,21087033,586533400.000000,-6708162.500000,-0.011437,0.000041
-2.5,25760398,715779200.000000,-6932650.000000,-0.009685,0.000037
-2.0,31309114,869034350.000000,-7012687.500000,-0.008070,0.000033
-1.5,37980921,1053032500.000000,-7462637.500000,-0.007087,0.000030
-1.0,47104384,1304524375.000000,-7403800.000000,-0.005675,0.000027
-0.5,58205664,1610193800.000000,-7674312.500000,-0.004766,0.000024
0.0,65789211,1818394850.000000,-7019125.000000,-0.003860,0.000023
0.5,55754294,1540124500.000000,-3466637.500000,-0.002251,0.000025
1.0,44843468,1239098300.000000,-1153237.500000,-0.000931,0.000028
1.5,36378442,1569216100.000000,706675.000000,0.000450,0.000025
2.0,29980648,2747569150.000000,3926137.500000,0.001429,0.000019
2.5,24705031,3324884925.000000,10220225.000000,0.003074,0.000017
3.0,20232943,3631072850.000000,14358887.500000,0.003954,0.000016
3.5,16914525,3828178475.000000,20670725.000000,0.005400,0.000016
4.0,13898395,3743043600.000000,24951325.000000,0.006666,0.000016
4.5,11446707,3607530287.500000,29321587.500000,0.008128,0.000016
5.0,9507829,3436233712.500000,30067000.000000,0.008750,0.000017
5.5,7944675,3211441987.500000,33514987.500000,0.010436,0.000017
6.0,6599744,2953153487.500000,33537725.000000,0.011357,0.000018
6.5,5640673,2738880500.000000,34350875.000000,0.012542,0.000019
7.0,4649177,2436213025.000000,34803087.500000,0.014286,0.000020
7.5,3830366,2172585012.500000,34879000.000000,0.016054,0.000022
8.0,3165360,1925565437.500000,33440750.000000,0.017367,0.000023
8.5,2569820,1668345112.500000,29536575.000000,0.017704,0.000025
9.0,2093952,1456455425.000000,30139325.000000,0.020694,0.000026
9.5,1667045,1225626575.000000,26356737.500000,0.021505,0.000029
10.0,1390817,1081025450.000000,26024812.500000,0.024074,0.000031
10.5,1109654,911730600.000000,23161575.000000,0.025404,0.000033
11.0,877488,756382700.000000,19225600.000000,0.025418,0.000037
11.5,709428,641931837.500000,16062162.500000,0.025022,0.000040
12.0,563857,534035087.500000,14751525.000000,0.027623,0.000044
12.5,455947,450933025.000000,14795850.000000,0.032812,0.000047
13.0,344918,354949500.000000,10131912.500000,0.028545,0.000053
13.5,278233,298379087.500000,9970075.000000,0.033414,0.000058
14.0,215914,240104387.500000,8797337.500000,0.036640,0.000065
14.5,168231,194773050.000000,6093300.000000,0.031284,0.000072
15.0,132464,158439950.000000,6460750.000000,0.040777,0.000080
15.5,99320,122775075.000000,4623362.500000,0.037657,0.000091
16.0,75812,97248162.500000,3648225.000000,0.037515,0.000102
16.5,60877,80276475.000000,3356325.000000,0.041810,0.000113
17.0,46534,63373537.500000,3027550.000000,0.047773,0.000127
17.5,32673,46023650.000000,1656150.000000,0.035985,0.000149
18.0,24336,35077012.500000,1773687.500000,0.050566,0.000171
18.5,18711,27799775.000000,1002725.000000,0.036070,0.000192
19.0,13710,20824750.000000,959300.000000,0.046065,0.000222
19.5,10201,16007150.000000,932912.500000,0.058281,0.000253
20.0,7534,12146487.500000,658000.000000,0.054172,0.000291
20.5,5495,9101062.500000,519350.000000,0.057065,0.000335
21.0,3871,6543175.000000,404125.000000,0.061763,0.000395
21.5,2959,5136200.000000,263350.000000,0.051273,0.000443
22.0,2163,3806112.500000,144212.500000,0.037890,0.000523
22.5,1381,2481712.500000,170175.000000,0.068572,0.000655
23.0,1123,2078662.500000,-22175.000000,-0.010668,0.000692
23.5,698,1346700.000000,71700.000000,0.053241,0.000864
24.0,511,991500.000000,125937.500000,0.127017,0.001028
24.5,347,699737.500000,-8662.500000,-0.012380,0.001206
25.0,254,504337.500000,55500.000000,0.110045,0.001412
25.5,154,323000.000000,24000.000000,0.074303,0.001708
26.0,119,238000.000000,31000.000000,0.130252,0.002090
26.5,74,153000.000000,21000.000000,0.137255,0.002599
