TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-20.0,1,25.000000,25.000000,1.000000,0.000000
-19.5,1,25.000000,-25.000000,-1.000000,0.000000
-18.5,4,100.000000,25.000000,0.250000,0.082916
-18.0,11,325.000000,-25.000000,-0.076923,0.045956
-17.5,10,275.000000,-175.000000,-0.636364,0.046517
-17.0,27,675.000000,-162.500000,-0.240741,0.039326
-16.5,55,1650.000000,50.000000,0.030303,0.024041
-16.0,119,3375.000000,-75.000000,-0.022222,0.016984
-15.5,210,5975.000000,-412.500000,-0.069038,0.012259
-15.0,412,11850.000000,-650.000000,-0.054852,0.008951
-14.5,612,17650.000000,-950.000000,-0.053824,0.007264
-14.0,1402,40075.000000,-375.000000,-0.009357,0.004920
-13.5,2156,60650.000000,-4412.500000,-0.072754,0.003969
-13.0,3548,102100.000000,-3062.500000,-0.029995,0.003068
-12.5,6730,192025.000000,-8262.500000,-0.043028,0.002231
-12.0,11141,318175.000000,-9725.000000,-0.030565,0.001736
-11.5,17459,495975.000000,-14850.000000,-0.029941,0.001389
-11.0,27496,780900.000000,-30500.000000,-0.039057,0.001110
-10.5,51922,1470350.000000,-48437.500000,-0.032943,0.000808
-10.0,71782,2032375.000000,-62150.000000,-0.030580,0.000687
-9.5,112530,3183850.000000,-97175.000000,-0.030521,0.000549
-9.0,176166,4974825.000000,-134700.000000,-0.027076,0.000439
-8.5,254647,7185650.000000,-181262.500000,-0.025226,0.000366
-8.0,398314,11221125.000000,-262262.500000,-0.023372,0.000293
-7.5,546910,15392400.000000,-335875.000000,-0.021821,0.000250
-7.0,819148,23005825.000000,-543000.000000,-0.023603,0.000205
-6.5,1165007,32695475.000000,-627925.000000,-0.019205,0.000172
-6.0,1530893,42897100.000000,-789337.500000,-0.018401,0.000150
-5.5,2291007,64115700.000000,-1134537.500000,-0.017695,0.000123
-5.0,3063617,85621975.000000,-1335487.500000,-0.015597,0.000106
-4.5,3956507,110460900.000000,-1578225.000000,-0.014288,0.000093
-4.0,5518196,153866325.000000,-2011800.000000,-0.013075,0.000079
-3.5,7014874,195364750.000000,-2545300.000000,-0.013028,0.000070
-3.0,9405515,261672175.000000,-2886812.500000,-0.011032,0.000061
-2.5,11586660,322006500.000000,-2954762.500000,-0.009176,0.000055
-2.0,15267510,423738675.000000,-3329050.000000,-0.007856,0.000048
-1.5,20586268,570685800.000000,-3789225.000000,-0.006640,0.000041
-1.0,23988487,664232800.000000,-3281062.500000,-0.004940,0.000038
-0.5,31044455,859195725.000000,-3368375.000000,-0.003920,0.000034
0.0,41356256,1144761500.000000,-3848937.500000,-0.003362,0.000029
0.5,29818825,825249275.000000,-1566650.000000,-0.001898,0.000034
1.0,21818798,603053075.000000,-346687.500000,-0.000575,0.000040
1.5,18353310,742659900.000000,489525.000000,0.000659,0.000036
2.0,13793955,1137263925.000000,1994037.500000,0.001753,0.000029
2.5,10527929,1292374450.000000,4730487.500000,0.003660,0.000027
3.0,8392510,1380396687.500000,6276700.000000,0.004547,0.000027
3.5,6346820,1302591075.000000,7512725.000000,0.005768,0.000027
4.0,4994884,1228708162.500000,8013350.000000,0.006522,0.000028
4.5,3595704,1023770712.500000,8337775.000000,0.008144,0.000031
5.0,2820464,913498950.000000,9038737.500000,0.009895,0.000033
5.5,2121539,767105862.500000,7067412.500000,0.009213,0.000036
6.0,1409680,567003400.000000,6397937.500000,0.011284,0.000042
6.5,1062858,465529062.500000,6459450.000000,0.013876,0.000046
7.0,741448,355143337.500000,5425512.500000,0.015277,0.000053
7.5,491369,254782750.000000,3487375.000000,0.013688,0.000063
8.0,352914,197166212.500000,3318512.500000,0.016831,0.000071
8.5,223177,133158712.500000,2400112.500000,0.018024,0.000087
9.0,152209,96815937.500000,1784225.000000,0.018429,0.000102
9.5,97181,65406200.000000,1282500.000000,0.019608,0.000124
10.0,60724,43454950.000000,1206875.000000,0.027773,0.000152
10.5,43476,32639612.500000,868737.500000,0.026616,0.000176
11.0,22329,17756087.500000,575637.500000,0.032419,0.000239
11.5,13835,11473487.500000,310262.500000,0.027042,0.000296
12.0,8800,7674287.500000,169550.000000,0.022093,0.000362
12.5,5143,4683662.500000,91562.500000,0.019549,0.000464
13.0,2685,2550912.500000,84837.500000,0.033258,0.000631
13.5,1494,1501662.500000,105837.500000,0.070480,0.000819
14.0,952,972025.000000,15712.500000,0.016165,0.001034
14.5,394,417962.500000,22487.500000,0.053803,0.001540
15.0,242,268512.500000,6662.500000,0.024813,0.001910
15.5,139,152675.000000,5987.500000,0.039217,0.002607
16.0,56,64300.000000,1712.500000,0.026633,0.004130
16.5,23,30200.000000,-4625.000000,-0.153146,0.005628
17.0,17,25375.000000,6075.000000,0.239409,0.006095
17.5,5,6250.000000,0.000000,0.000000,0.011314
18.0,2,2550.000000,2550.000000,1.000000,0.000000
