TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-37.0,1,25.000000,25.000000,1.000000,0.000000
-36.5,1,25.000000,-25.000000,-1.000000,0.000000
-36.0,4,100.000000,50.000000,0.500000,0.086603
-35.5,1,25.000000,25.000000,1.000000,0.000000
-35.0,4,100.000000,0.000000,0.000000,0.100000
-34.5,4,100.000000,12.500000,0.125000,0.113880
-34.0,6,175.000000,125.000000,0.714286,0.052904
-33.5,4,125.000000,-75.000000,-0.600000,0.071554
-33.0,24,675.000000,-175.000000,-0.259259,0.037174
-32.5,13,400.000000,-50.000000,-0.125000,0.049608
-32.0,27,775.000000,-125.000000,-0.161290,0.033019
-31.5,43,1350.000000,-400.000000,-0.296296,0.024917
-31.0,56,1525.000000,-287.500000,-0.188525,0.024771
-30.5,96,2775.000000,-200.000000,-0.072072,0.018762
-30.0,130,3750.000000,-262.500000,-0.070000,0.015636
-29.5,185,5175.000000,-450.000000,-0.086957,0.013747
-29.0,244,7075.000000,-775.000000,-0.109541,0.011679
-28.5,296,8200.000000,-625.000000,-0.076220,0.010581
-28.0,479,13600.000000,-487.500000,-0.035846,0.008159
-27.5,533,15250.000000,-1087.500000,-0.071311,0.007894
-27.0,841,24025.000000,-1900.000000,-0.079084,0.006304
-26.5,1083,31500.000000,-537.500000,-0.017063,0.005472
-26.0,1430,40700.000000,-2025.000000,-0.049754,0.004835
-25.5,1873,53975.000000,-2237.500000,-0.041454,0.004196
-25.0,2645,76525.000000,-7012.500000,-0.091637,0.003534
-24.5,3395,97000.000000,-6400.000000,-0.065979,0.003125
-24.0,4806,137950.000000,-8975.000000,-0.065060,0.002642
-23.5,5730,163075.000000,-10650.000000,-0.065307,0.002421
-23.0,8075,232025.000000,-12812.500000,-0.055220,0.002033
-22.5,9400,269050.000000,-11575.000000,-0.043022,0.001886
-22.0,13289,381925.000000,-16475.000000,-0.043137,0.001584
-21.5,16907,483625.000000,-18437.500000,-0.038124,0.001406
-21.0,20712,589400.000000,-25812.500000,-0.043795,0.001275
-20.5,28346,806700.000000,-38650.000000,-0.047911,0.001088
-20.0,34968,995300.000000,-33100.000000,-0.033256,0.000981
-19.5,44875,1277075.000000,-52937.500000,-0.041452,0.000867
-19.0,56667,1614825.000000,-47237.500000,-0.029252,0.000770
-18.5,69379,1967775.000000,-80737.500000,-0.041030,0.000698
-18.0,89580,2544975.000000,-91650.000000,-0.036012,0.000614
-17.5,101828,2892900.000000,-107000.000000,-0.036987,0.000576
-17.0,144569,4102750.000000,-158237.500000,-0.038569,0.000483
-16.5,171498,4858425.000000,-161725.000000,-0.033288,0.000444
