TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-83.5,1,25.000000,0.000000,0.000000,0.000000
-83.0,1,50.000000,-50.000000,-1.000000,0.000000
-82.5,2,50.000000,50.000000,1.000000,0.000000
-80.5,1,25.000000,25.000000,1.000000,0.000000
-79.0,2,75.000000,75.000000,1.000000,0.000000
-78.0,1,25.000000,25.000000,1.000000,0.000000
-77.5,1,25.000000,-25.000000,-1.000000,0.000000
-77.0,2,50.000000,-50.000000,-1.000000,0.000000
-76.5,3,75.000000,-75.000000,-1.000000,0.000000
-76.0,2,75.000000,75.000000,1.000000,0.000000
-75.5,3,100.000000,100.000000,1.000000,0.000000
-75.0,9,250.000000,100.000000,0.400000,0.050596
-74.5,4,100.000000,0.000000,0.000000,0.100000
-74.0,11,300.000000,-250.000000,-0.833333,0.031914
-73.5,10,275.000000,-25.000000,-0.090909,0.060053
-73.0,7,250.000000,-50.000000,-0.200000,0.061968
-72.5,9,250.000000,-50.000000,-0.200000,0.055136
-72.0,12,375.000000,-100.000000,-0.266667,0.047951
-71.5,17,525.000000,-100.000000,-0.190476,0.041773
-71.0,15,500.000000,75.000000,0.150000,0.043070
-70.5,15,425.000000,37.500000,0.088235,0.047232
-70.0,23,650.000000,-162.500000,-0.250000,0.036589
-69.5,28,800.000000,-225.000000,-0.281250,0.033348
-69.0,18,575.000000,-75.000000,-0.130435,0.041347
-68.5,44,1325.000000,-137.500000,-0.103774,0.025782
-68.0,25,725.000000,0.000000,0.000000,0.035166
-67.5,45,1250.000000,-200.000000,-0.160000,0.027194
-67.0,41,1200.000000,-125.000000,-0.104167,0.027157
-66.5,51,1650.000000,-175.000000,-0.106061,0.023910
-66.0,95,3000.000000,-275.000000,-0.091667,0.017755
-65.5,61,1850.000000,-37.500000,-0.020270,0.022486
-65.0,143,4450.000000,-912.500000,-0.205056,0.014423
-64.5,111,3475.000000,-262.500000,-0.075540,0.016244
-64.0,126,3725.000000,-537.500000,-0.144295,0.015430
-63.5,156,4750.000000,-612.500000,-0.128947,0.014224
-63.0,159,4800.000000,-1312.500000,-0.273438,0.013497
-62.5,244,7550.000000,-1625.000000,-0.215232,0.010852
-62.0,227,6825.000000,-425.000000,-0.062271,0.011800
-61.5,282,8175.000000,-900.000000,-0.110092,0.010682
-61.0,346,10200.000000,-1037.500000,-0.101716,0.009499
-60.5,368,11075.000000,-1750.000000,-0.158014,0.009034
-60.0,474,14350.000000,-2075.000000,-0.144599,0.007976
-59.5,449,13925.000000,-1775.000000,-0.127469,0.008144
-59.0,485,14850.000000,-3250.000000,-0.218855,0.007796
-58.5,673,20100.000000,-2525.000000,-0.125622,0.006830
-58.0,630,18800.000000,-2825.000000,-0.150266,0.006966
-57.5,756,22475.000000,-3912.500000,-0.174082,0.006353
-57.0,839,25200.000000,-2387.500000,-0.094742,0.006047
-56.5,863,26650.000000,-3812.500000,-0.143058,0.005849
-56.0,1381,42750.000000,-5762.500000,-0.134795,0.004643
-55.5,927,27425.000000,-3187.500000,-0.116226,0.005814
-55.0,1724,51625.000000,-4487.500000,-0.086925,0.004244
-54.5,1842,55250.000000,-4312.500000,-0.078054,0.004104
-54.0,1120,33000.000000,-4662.500000,-0.141288,0.005280
-53.5,2941,86550.000000,-5950.000000,-0.068746,0.003297
-53.0,2237,66500.000000,-10000.000000,-0.150376,0.003706
-52.5,1729,51050.000000,-5612.500000,-0.109941,0.004252
-52.0,4323,126925.000000,-14837.500000,-0.116900,0.002701
-51.5,2367,69925.000000,-7025.000000,-0.100465,0.003654
-51.0,3303,97175.000000,-8087.500000,-0.083226,0.003088
-50.5,5634,166950.000000,-19612.500000,-0.117475,0.002354
-50.0,3181,94425.000000,-9412.500000,-0.099682,0.003138
-49.5,5632,167075.000000,-14900.000000,-0.089182,0.002363
-49.0,6818,201275.000000,-17550.000000,-0.087194,0.002152
-48.5,4857,142525.000000,-14200.000000,-0.099632,0.002563
-48.0,8588,252125.000000,-29462.500000,-0.116857,0.001924
-47.5,7456,220650.000000,-21350.000000,-0.096760,0.002057
-47.0,8560,252600.000000,-27400.000000,-0.108472,0.001917
-46.5,10619,312900.000000,-27587.500000,-0.088167,0.001733
-46.0,10725,314600.000000,-24937.500000,-0.079267,0.001725
-45.5,12894,379375.000000,-39162.500000,-0.103229,0.001565
-45.0,13915,408500.000000,-36675.000000,-0.089780,0.001510
-44.5,14492,423650.000000,-36875.000000,-0.087041,0.001484
-44.0,17189,504850.000000,-33025.000000,-0.065415,0.001365
-43.5,17656,516225.000000,-41662.500000,-0.080706,0.001346
-43.0,22413,657625.000000,-51512.500000,-0.078331,0.001192
-42.5,23950,699175.000000,-55625.000000,-0.079558,0.001158
-42.0,23563,687675.000000,-53562.500000,-0.077889,0.001168
-41.5,31083,905175.000000,-75137.500000,-0.083009,0.001017
-41.0,29486,863800.000000,-75287.500000,-0.087158,0.001039
-40.5,34556,1011775.000000,-78375.000000,-0.077463,0.000963
-40.0,38358,1113125.000000,-78175.000000,-0.070230,0.000920
-39.5,39582,1149625.000000,-85787.500000,-0.074622,0.000903
-39.0,50097,1457900.000000,-97450.000000,-0.066843,0.000803
-38.5,46738,1358775.000000,-107000.000000,-0.078747,0.000831
-38.0,60397,1755150.000000,-128850.000000,-0.073413,0.000732
-37.5,58082,1683200.000000,-124887.500000,-0.074196,0.000747
-37.0,66612,1939675.000000,-122925.000000,-0.063374,0.000698
-36.5,75537,2186425.000000,-142325.000000,-0.065095,0.000657
-36.0,83359,2418625.000000,-159037.500000,-0.065755,0.000623
-35.5,84050,2433575.000000,-154387.500000,-0.063441,0.000622
-35.0,92924,2687475.000000,-187300.000000,-0.069694,0.000591
-34.5,107642,3109525.000000,-192537.500000,-0.061919,0.000550
-34.0,122719,3547575.000000,-236537.500000,-0.066676,0.000515
-33.5,128489,3702725.000000,-205000.000000,-0.055365,0.000505
-33.0,142446,4111700.000000,-273937.500000,-0.066624,0.000479
-32.5,149589,4313250.000000,-280300.000000,-0.064986,0.000467
-32.0,164991,4745925.000000,-253400.000000,-0.053393,0.000446
-31.5,182480,5246025.000000,-309700.000000,-0.059035,0.000424
-31.0,202810,5825325.000000,-334825.000000,-0.057477,0.000403
-30.5,219459,6305175.000000,-309912.500000,-0.049152,0.000388
-30.0,224968,6461875.000000,-309662.500000,-0.047921,0.000383
-29.5,261106,7487925.000000,-398562.500000,-0.053227,0.000356
-29.0,289318,8286875.000000,-434637.500000,-0.052449,0.000338
-28.5,299546,8582625.000000,-424537.500000,-0.049465,0.000332
-28.0,335676,9619400.000000,-467375.000000,-0.048587,0.000314
-27.5,346505,9912950.000000,-476775.000000,-0.048096,0.000309
-27.0,407591,11651675.000000,-536100.000000,-0.046011,0.000285
-26.5,471866,13484300.000000,-624825.000000,-0.046337,0.000265
-26.0,380480,10860175.000000,-500112.500000,-0.046050,0.000296
-25.5,550882,15719200.000000,-696437.500000,-0.044305,0.000246
-25.0,564739,16091125.000000,-735987.500000,-0.045739,0.000243
-24.5,574301,16358600.000000,-690337.500000,-0.042200,0.000241
-24.0,649757,18502375.000000,-779500.000000,-0.042130,0.000227
-23.5,690180,19650400.000000,-778912.500000,-0.039639,0.000220
-23.0,796551,22654300.000000,-920637.500000,-0.040639,0.000205
-22.5,808569,22966600.000000,-878650.000000,-0.038258,0.000203
-22.0,871952,24770775.000000,-936575.000000,-0.037810,0.000196
-21.5,969458,27513750.000000,-1041425.000000,-0.037851,0.000186
-21.0,1054991,29933525.000000,-1038125.000000,-0.034681,0.000178
-20.5,1140424,32311400.000000,-1128037.500000,-0.034911,0.000172
-20.0,1221233,34602050.000000,-1206812.500000,-0.034877,0.000166
-19.5,1316175,37254400.000000,-1281650.000000,-0.034403,0.000160
-19.0,1446024,40921975.000000,-1294962.500000,-0.031645,0.000153
-18.5,1570771,44408400.000000,-1449537.500000,-0.032641,0.000147
-18.0,1717447,48521250.000000,-1563137.500000,-0.032216,0.000140
-17.5,1814447,51225375.000000,-1569600.000000,-0.030641,0.000137
-17.0,1986290,56049475.000000,-1580162.500000,-0.028192,0.000131
-16.5,2223516,62688750.000000,-1750312.500000,-0.027921,0.000123
-16.0,2231276,62880425.000000,-1746550.000000,-0.027776,0.000123
-15.5,2538325,71486325.000000,-1934350.000000,-0.027059,0.000116
-15.0,2726518,76715900.000000,-1971487.500000,-0.025699,0.000112
-14.5,2907059,81752325.000000,-2087075.000000,-0.025529,0.000108
-14.0,3243252,91158200.000000,-2236450.000000,-0.024534,0.000102
-13.5,3423700,96158100.000000,-2209500.000000,-0.022978,0.000100
-13.0,3777365,106029375.000000,-2410250.000000,-0.022732,0.000095
-12.5,4067433,114106075.000000,-2509450.000000,-0.021992,0.000092
-12.0,4413292,123738225.000000,-2559825.000000,-0.020687,0.000088
-11.5,4776089,133795500.000000,-2727487.500000,-0.020385,0.000085
-11.0,5143102,144021950.000000,-2842162.500000,-0.019734,0.000082
-10.5,5710700,159810200.000000,-2989137.500000,-0.018704,0.000077
-10.0,6197550,173329775.000000,-3094425.000000,-0.017853,0.000074
-9.5,6520796,182229050.000000,-3074850.000000,-0.016874,0.000073
-9.0,7255109,202621900.000000,-3404362.500000,-0.016802,0.000069
-8.5,7792890,217532400.000000,-3395262.500000,-0.015608,0.000066
-8.0,8564143,238886500.000000,-3544850.000000,-0.014839,0.000063
-7.5,9259939,258151900.000000,-3693500.000000,-0.014307,0.000061
-7.0,10135481,282452125.000000,-3691400.000000,-0.013069,0.000058
-6.5,11045929,307619100.000000,-4098562.500000,-0.013323,0.000056
-6.0,11987416,333608550.000000,-4081612.500000,-0.012235,0.000054
-5.5,13198124,367067200.000000,-3941950.000000,-0.010739,0.000051
-5.0,14348303,398837275.000000,-4092175.000000,-0.010260,0.000049
-4.5,15643168,434604800.000000,-4272875.000000,-0.009832,0.000047
-4.0,17274250,479575950.000000,-4186862.500000,-0.008730,0.000045
-3.5,18856777,523294925.000000,-4186650.000000,-0.008001,0.000043
-3.0,20555801,570018475.000000,-4138225.000000,-0.007260,0.000041
-2.5,22622140,627027825.000000,-4155425.000000,-0.006627,0.000039
-2.0,24833012,687903125.000000,-4199225.000000,-0.006104,0.000037
-1.5,27540386,762482750.000000,-3994850.000000,-0.005239,0.000036
-1.0,29146115,806558925.000000,-3617062.500000,-0.004485,0.000035
-0.5,30787933,851580725.000000,-3469787.500000,-0.004075,0.000034
0.0,49605320,1371235725.000000,-4660650.000000,-0.003399,0.000027
0.5,30056476,830866400.000000,-1826412.500000,-0.002198,0.000034
1.0,27819338,769160275.000000,-1326475.000000,-0.001725,0.000035
1.5,26185745,724044625.000000,-386375.000000,-0.000534,0.000037
2.0,23697451,654985100.000000,-60375.000000,-0.000092,0.000038
2.5,21766696,601217000.000000,284112.500000,0.000473,0.000040
