TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-29.0,2,50.000000,-25.000000,-0.500000,0.070711
-28.5,3,75.000000,-75.000000,-1.000000,0.000000
-28.0,8,250.000000,-137.500000,-0.550000,0.057359
-27.5,2,50.000000,-50.000000,-1.000000,0.000000
-27.0,8,225.000000,-25.000000,-0.111111,0.066254
-26.5,12,425.000000,187.500000,0.441176,0.042322
-26.0,12,375.000000,-275.000000,-0.733333,0.035108
-25.5,33,1025.000000,-387.500000,-0.378049,0.029019
-25.0,40,1200.000000,100.000000,0.083333,0.028157
-24.5,56,1575.000000,-25.000000,-0.015873,0.024689
-24.0,116,3425.000000,-987.500000,-0.288321,0.016214
-23.5,178,5025.000000,600.000000,0.119403,0.013648
-23.0,322,9350.000000,587.500000,0.062834,0.010080
-22.5,264,7650.000000,-600.000000,-0.078431,0.011027
-22.0,697,20475.000000,-1700.000000,-0.083028,0.006800
-21.5,779,22525.000000,-1212.500000,-0.053829,0.006442
-21.0,1009,29250.000000,-1437.500000,-0.049145,0.005633
-20.5,2076,60250.000000,-4550.000000,-0.075519,0.003953
-20.0,2316,67250.000000,-6362.500000,-0.094610,0.003744
-19.5,2821,81750.000000,-5000.000000,-0.061162,0.003419
-19.0,5130,148850.000000,-5462.500000,-0.036698,0.002528
-18.5,8473,243525.000000,-15500.000000,-0.063648,0.001973
-18.0,11799,338450.000000,-19587.500000,-0.057874,0.001668
-17.5,11413,327425.000000,-20162.500000,-0.061579,0.001698
-17.0,19345,554125.000000,-27862.500000,-0.050282,0.001309
-16.5,26133,746500.000000,-38500.000000,-0.051574,0.001124
-16.0,29195,835575.000000,-32875.000000,-0.039344,0.001067
-15.5,59307,1692625.000000,-50112.500000,-0.029606,0.000749
-15.0,69985,1998475.000000,-92937.500000,-0.046504,0.000689
-14.5,61578,1755400.000000,-79275.000000,-0.045161,0.000735
-14.0,120347,3426500.000000,-143400.000000,-0.041850,0.000527
-13.5,153207,4351075.000000,-171037.500000,-0.039309,0.000467
-13.0,189863,5391975.000000,-189850.000000,-0.035210,0.000420
-12.5,230926,6551725.000000,-244337.500000,-0.037294,0.000381
-12.0,347681,9848025.000000,-337862.500000,-0.034308,0.000312
-11.5,351292,9942450.000000,-337937.500000,-0.033989,0.000310
-11.0,521165,14737750.000000,-472312.500000,-0.032048,0.000255
-10.5,741770,20948350.000000,-613737.500000,-0.029298,0.000214
-10.0,769503,21701625.000000,-603537.500000,-0.027811,0.000210
