TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-44.0,2,50.000000,0.000000,0.000000,0.141421
-43.5,1,25.000000,25.000000,1.000000,0.000000
-42.5,3,75.000000,-25.000000,-0.333333,0.108866
-42.0,1,50.000000,0.000000,0.000000,0.000000
-41.5,5,175.000000,25.000000,0.142857,0.074818
-41.0,3,75.000000,25.000000,0.333333,0.108866
-40.5,2,75.000000,75.000000,1.000000,0.000000
-40.0,5,175.000000,-150.000000,-0.857143,0.026452
-39.5,14,450.000000,-25.000000,-0.055556,0.045737
-39.0,18,450.000000,-25.000000,-0.055556,0.045737
-38.5,33,950.000000,-250.000000,-0.263158,0.029478
-38.0,11,300.000000,-125.000000,-0.416667,0.049768
-37.5,52,1550.000000,0.000000,-0.000000,0.024567
-37.0,32,1000.000000,-75.000000,-0.075000,0.030321
-36.5,80,2525.000000,-312.500000,-0.123762,0.018859
-36.0,61,1900.000000,-325.000000,-0.171053,0.022139
-35.5,175,5150.000000,-1437.500000,-0.279126,0.012851
-35.0,55,1650.000000,-125.000000,-0.075758,0.024265
-34.5,352,10750.000000,-1962.500000,-0.182558,0.009131
-34.0,167,5000.000000,-325.000000,-0.065000,0.013347
-33.5,510,15400.000000,-1300.000000,-0.084416,0.007742
-33.0,301,8875.000000,-1912.500000,-0.215493,0.009979
-32.5,863,25325.000000,-4375.000000,-0.172754,0.005984
-32.0,853,25550.000000,-1412.500000,-0.055284,0.006059
-31.5,1058,31575.000000,-3400.000000,-0.107680,0.005430
-31.0,1297,38500.000000,-3850.000000,-0.100000,0.004932
-30.5,2127,63400.000000,-6737.500000,-0.106270,0.003840
-30.0,1650,48575.000000,-6187.500000,-0.127380,0.004357
-29.5,3280,96200.000000,-9987.500000,-0.103820,0.003137
-29.0,3329,97775.000000,-7012.500000,-0.071721,0.003104
-28.5,4973,147050.000000,-11975.000000,-0.081435,0.002519
-28.0,4921,145200.000000,-16712.500000,-0.115100,0.002521
-27.5,7936,232525.000000,-18825.000000,-0.080959,0.002012
-27.0,7968,232825.000000,-22650.000000,-0.097283,0.002003
-26.5,11096,325625.000000,-23175.000000,-0.071171,0.001697
-26.0,10837,316925.000000,-28637.500000,-0.090360,0.001719
-25.5,16139,470025.000000,-36087.500000,-0.076778,0.001412
-25.0,17938,525025.000000,-41250.000000,-0.078568,0.001337
-24.5,27366,800175.000000,-58275.000000,-0.072828,0.001084
-24.0,26762,779025.000000,-64475.000000,-0.082764,0.001098
-23.5,39175,1140550.000000,-84387.500000,-0.073988,0.000908
-23.0,43201,1255600.000000,-79587.500000,-0.063386,0.000866
-22.5,60533,1759550.000000,-113337.500000,-0.064413,0.000732
-22.0,50400,1459350.000000,-102650.000000,-0.070340,0.000802
-21.5,89908,2606525.000000,-165375.000000,-0.063447,0.000602
-21.0,98375,2843650.000000,-185087.500000,-0.065088,0.000575
-20.5,108273,3126200.000000,-175875.000000,-0.056258,0.000549
-20.0,126422,3646400.000000,-193587.500000,-0.053090,0.000509
-19.5,190739,5493925.000000,-312925.000000,-0.056958,0.000414
-19.0,172294,4964500.000000,-254050.000000,-0.051173,0.000436
-18.5,223792,6438800.000000,-341437.500000,-0.053028,0.000383
-18.0,246840,7086375.000000,-384550.000000,-0.054266,0.000366
-17.5,389552,11161375.000000,-546600.000000,-0.048972,0.000291
-17.0,276797,7934200.000000,-373425.000000,-0.047065,0.000346
-16.5,503795,14416475.000000,-662300.000000,-0.045940,0.000257
-16.0,482103,13768500.000000,-648750.000000,-0.047118,0.000263
-15.5,581786,16604175.000000,-694050.000000,-0.041800,0.000239
