TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-27.0,1,25.000000,-25.000000,-1.000000,0.000000
-25.5,4,125.000000,-125.000000,-1.000000,0.000000
-25.0,8,225.000000,50.000000,0.222222,0.061083
-24.5,16,450.000000,-175.000000,-0.388889,0.041984
-24.0,20,575.000000,-62.500000,-0.108696,0.040766
-23.5,27,800.000000,-250.000000,-0.312500,0.032401
-23.0,63,1900.000000,212.500000,0.111842,0.021748
-22.5,48,1375.000000,-225.000000,-0.163636,0.025591
-22.0,170,5150.000000,150.000000,0.029126,0.013621
-21.5,215,6450.000000,-212.500000,-0.032946,0.012033
-21.0,253,7450.000000,-1462.500000,-0.196309,0.011115
-20.5,543,16025.000000,-487.500000,-0.030421,0.007637
-20.0,698,20450.000000,-600.000000,-0.029340,0.006788
-19.5,849,24700.000000,-3187.500000,-0.129049,0.006146
-19.0,1676,48325.000000,-1287.500000,-0.026643,0.004439
-18.5,3113,90175.000000,-5037.500000,-0.055864,0.003237
-18.0,4296,124775.000000,-7900.000000,-0.063314,0.002745
-17.5,4305,123950.000000,-7200.000000,-0.058088,0.002757
-17.0,8016,229900.000000,-13750.000000,-0.059809,0.002034
-16.5,11087,317550.000000,-9775.000000,-0.030783,0.001733
-16.0,12820,368375.000000,-21437.500000,-0.058195,0.001604
-15.5,28975,832575.000000,-46137.500000,-0.055415,0.001067
-15.0,35320,1010550.000000,-49125.000000,-0.048612,0.000970
-14.5,31037,887100.000000,-44775.000000,-0.050473,0.001036
-14.0,65922,1888175.000000,-88837.500000,-0.047049,0.000710
-13.5,87926,2509925.000000,-93275.000000,-0.037162,0.000616
-13.0,113372,3230400.000000,-116037.500000,-0.035920,0.000544
-12.5,141840,4041025.000000,-155850.000000,-0.038567,0.000486
-12.0,224517,6382875.000000,-249362.500000,-0.039067,0.000387
-11.5,228595,6496050.000000,-227012.500000,-0.034946,0.000383
-11.0,358624,10170800.000000,-342687.500000,-0.033693,0.000307
-10.5,536137,15189025.000000,-464775.000000,-0.030599,0.000251
-10.0,564773,15970225.000000,-488537.500000,-0.030591,0.000245
-9.5,681529,19253075.000000,-531087.500000,-0.027585,0.000223
-9.0,970296,27377450.000000,-727062.500000,-0.026557,0.000187
-8.5,1214104,34209300.000000,-846250.000000,-0.024737,0.000168
-8.0,1479391,41641225.000000,-903212.500000,-0.021690,0.000152
-7.5,1815475,51020100.000000,-1140487.500000,-0.022354,0.000137
-7.0,2506422,70377975.000000,-1513625.000000,-0.021507,0.000117
-6.5,2797180,78438850.000000,-1445000.000000,-0.018422,0.000111
-6.0,3313685,92791550.000000,-1494512.500000,-0.016106,0.000102
-5.5,4617023,129147625.000000,-1995062.500000,-0.015448,0.000086
-5.0,4745146,132565500.000000,-1864650.000000,-0.014066,0.000085
-4.5,6043186,168663800.000000,-2067800.000000,-0.012260,0.000076
-4.0,7878484,219572775.000000,-2443762.500000,-0.011130,0.000066
-3.5,9490696,264184950.000000,-2682012.500000,-0.010152,0.000060
-3.0,9551757,265609200.000000,-2375587.500000,-0.008944,0.000060
-2.5,11344966,315133100.000000,-2524100.000000,-0.008010,0.000055
-2.0,15402473,427583075.000000,-2708437.500000,-0.006334,0.000048
-1.5,14806444,410779900.000000,-2081887.500000,-0.005068,0.000048
-1.0,12930482,358618700.000000,-1604687.500000,-0.004475,0.000052
-0.5,19574274,542645075.000000,-1770287.500000,-0.003262,0.000042
0.0,71408278,1977183025.000000,-2990900.000000,-0.001513,0.000022
0.5,19025810,526024550.000000,57312.500000,0.000109,0.000043
1.0,11613832,320723875.000000,566850.000000,0.001767,0.000055
1.5,12697897,542655450.000000,1357312.500000,0.002501,0.000042
2.0,12980059,1129399087.500000,4122862.500000,0.003650,0.000029
2.5,10083652,1287147525.000000,6650762.500000,0.005167,0.000028
3.0,8761975,1523233550.000000,9539025.000000,0.006262,0.000025
3.5,7773095,1615676362.500000,11974250.000000,0.007411,0.000025
4.0,7275492,1870592900.000000,16946725.000000,0.009060,0.000023
4.5,4831810,1429503375.000000,13912562.500000,0.009732,0.000026
5.0,4694744,1574528162.500000,18122850.000000,0.011510,0.000025
5.5,4124957,1562143150.000000,20081512.500000,0.012855,0.000025
6.0,2944599,1232338387.500000,16799600.000000,0.013632,0.000029
6.5,2335517,1068576550.000000,16988875.000000,0.015899,0.000031
7.0,2252403,1117367387.500000,19052212.500000,0.017051,0.000030
7.5,1635977,883437200.000000,16652475.000000,0.018850,0.000034
8.0,1248596,720093462.500000,14407800.000000,0.020008,0.000038
8.5,1042197,643261025.000000,14653975.000000,0.022781,0.000040
9.0,887781,584615662.500000,14619587.500000,0.025007,0.000042
9.5,577832,403488412.500000,10647162.500000,0.026388,0.000050
10.0,457635,336364550.000000,6981500.000000,0.020756,0.000055
10.5,468685,362883900.000000,9991975.000000,0.027535,0.000053
11.0,304196,251144425.000000,7261712.500000,0.028914,0.000064
11.5,175849,150020187.500000,5086312.500000,0.033904,0.000082
12.0,187447,168544637.500000,4983350.000000,0.029567,0.000078
12.5,119088,111273737.500000,3123075.000000,0.028067,0.000096
13.0,90237,87817262.500000,3107687.500000,0.035388,0.000108
13.5,69905,71404950.000000,2321100.000000,0.032506,0.000120
14.0,56607,59964987.500000,2240325.000000,0.037361,0.000131
14.5,22424,24620050.000000,1019425.000000,0.041406,0.000204
15.0,28240,31890112.500000,1349787.500000,0.042326,0.000179
15.5,22819,26878787.500000,1190587.500000,0.044295,0.000196
16.0,9962,12137712.500000,281937.500000,0.023228,0.000290
16.5,8507,10614962.500000,553450.000000,0.052139,0.000311
17.0,6297,8162500.000000,194375.000000,0.023813,0.000355
17.5,3037,4048600.000000,299500.000000,0.073976,0.000499
18.0,2951,4004650.000000,163337.500000,0.040787,0.000507
18.5,2264,3216437.500000,68150.000000,0.021188,0.000566
19.0,1214,1774837.500000,161162.500000,0.090804,0.000765
19.5,492,719462.500000,67012.500000,0.093142,0.001183
20.0,487,730075.000000,40100.000000,0.054926,0.001189
20.5,361,548800.000000,39212.500000,0.071451,0.001368
21.0,102,164775.000000,22562.500000,0.136929,0.002560
21.5,108,172000.000000,27187.500000,0.158067,0.002508
22.0,87,146112.500000,-175.000000,-0.001198,0.002659
22.5,13,23400.000000,12587.500000,0.537927,0.005584
23.0,40,66475.000000,9425.000000,0.141783,0.003877
23.5,16,27125.000000,4375.000000,0.161290,0.005892
24.0,10,18987.500000,5400.000000,0.284398,0.005450
24.5,4,7375.000000,-7375.000000,-1.000000,0.000000
25.0,2,2812.500000,937.500000,0.333333,0.017778
25.5,2,3850.000000,0.000000,0.000000,0.016116
26.0,2,3900.000000,0.000000,0.000000,0.016013
