TrueCount,HandsPlayed,TotalPayout,EV,StdError
-18.0,2,1.000000,0.500000,0.353553
-17.5,1,-1.000000,-1.000000,0.000000
-16.0,3,4.000000,1.333333,0.272166
-15.5,16,9.000000,0.562500,0.279071
-15.0,23,10.000000,0.434783,0.244610
-14.5,89,-10.000000,-0.112360,0.119375
-14.0,178,-8.000000,-0.044944,0.090786
-13.5,225,6.500000,0.028889,0.080684
-13.0,771,-44.000000,-0.057069,0.043154
-12.5,630,-14.000000,-0.022222,0.047025
-12.0,2454,-174.500000,-0.071108,0.023822
-11.5,5444,-492.500000,-0.090467,0.016139
-11.0,5702,-391.000000,-0.068572,0.015738
-10.5,19325,-1148.500000,-0.059431,0.008459
-10.0,27437,-1948.500000,-0.071017,0.007054
-9.5,39079,-1780.000000,-0.045549,0.005925
-9.0,94602,-5204.500000,-0.055015,0.003783
-8.5,128705,-7330.000000,-0.056952,0.003241
-8.0,173482,-8453.000000,-0.048726,0.002784
-7.5,386922,-18130.500000,-0.046858,0.001861
-7.0,583178,-24588.500000,-0.042163,0.001514
-6.5,682290,-27923.500000,-0.040926,0.001397
-6.0,1430616,-48706.500000,-0.034046,0.000962
-5.5,1791447,-54553.000000,-0.030452,0.000858
-5.0,2503946,-72708.000000,-0.029037,0.000724
-4.5,4040971,-109440.500000,-0.027083,0.000569
-4.0,5073230,-111414.500000,-0.021961,0.000507
-3.5,7865854,-152728.000000,-0.019417,0.000406
-3.0,9916198,-165364.500000,-0.016676,0.000361
-2.5,12250101,-175160.000000,-0.014299,0.000324
-2.0,19028414,-224485.500000,-0.011797,0.000260
-1.5,23304081,-199437.500000,-0.008558,0.000235
-1.0,22589998,-165702.500000,-0.007335,0.000238
-0.5,36786569,-164578.500000,-0.004474,0.000186
0.0,91604016,-124419.000000,-0.001358,0.000118
0.5,34424576,57289.000000,0.001664,0.000192
1.0,17714477,71994.000000,0.004064,0.000267
1.5,20026581,122452.000000,0.006114,0.000251
2.0,16184629,162331.000000,0.010081,0.000279
2.5,10828068,231500.000000,0.021627,0.000532
3.0,8862992,327100.000000,0.037665,0.000758
3.5,6424762,403762.500000,0.065111,0.001130
4.0,4257233,377415.000000,0.092592,0.001627
4.5,3289694,404868.000000,0.129332,0.002132
5.0,2151942,335328.000000,0.164883,0.003036
5.5,1450570,264239.500000,0.192609,0.004066
6.0,1191081,274242.500000,0.243755,0.005080
6.5,549301,157761.500000,0.305057,0.008402
7.0,486382,151695.000000,0.330850,0.009483
7.5,305503,113034.500000,0.393826,0.013174
8.0,127794,51541.000000,0.428474,0.021487
8.5,121591,51255.500000,0.448451,0.022811
9.0,70826,36728.000000,0.552550,0.032820
9.5,27338,15269.500000,0.589308,0.055707
10.0,24657,11817.000000,0.515196,0.062375
10.5,14004,8956.000000,0.671366,0.088133
11.0,3758,2540.000000,0.718456,0.176860
11.5,4265,2900.500000,0.737121,0.169475
12.0,1593,566.500000,0.389791,0.296339
12.5,528,190.000000,0.388678,0.532831
13.0,496,666.000000,1.409947,0.574120
13.5,115,199.000000,1.842359,1.192156
14.0,107,494.000000,4.860864,1.285656
14.5,41,62.500000,1.951714,2.344905
15.0,16,28.000000,2.296875,4.194481
15.5,8,-15.500000,-1.937500,4.849644
16.0,6,-22.500000,-3.750000,5.405437
17.0,2,0.000000,0.000000,11.313708
