TrueCount,HandsPlayed,TotalPayout,EV,StdError
-8.0,3,0.000000,0.000000,1.414214
-7.5,6,-10.500000,-1.750000,1.342417
-7.0,29,-22.500000,-0.775862,0.578852
-6.5,72,-70.500000,-0.979167,0.385456
-6.0,235,-93.000000,-0.395745,0.231698
-5.5,967,-231.000000,-0.238883,0.112282
-5.0,3022,-627.000000,-0.207478,0.063983
-4.5,7493,-1693.500000,-0.226011,0.040633
-4.0,24305,-4890.000000,-0.201193,0.022385
-3.5,64638,-8077.500000,-0.124965,0.013730
-3.0,166196,-19810.500000,-0.119200,0.008503
-2.5,437249,-38574.000000,-0.088220,0.005224
-2.0,1098239,-92064.000000,-0.083829,0.003284
-1.5,3104284,-205873.500000,-0.066319,0.001944
-1.0,7782582,-359776.500000,-0.046228,0.001223
-0.5,15757932,-663060.000000,-0.042078,0.000857
0.0,62320368,-978385.500000,-0.015699,0.000428
0.5,27233762,-875119.500000,-0.032134,0.000650
1.0,28004361,-605083.500000,-0.021607,0.000639
1.5,25962926,-476571.000000,-0.018356,0.000664
2.0,24256702,-409321.500000,-0.016875,0.000686
2.5,20632861,-322803.000000,-0.015645,0.001175
3.0,18683652,-324342.000000,-0.017360,0.001564
3.5,16514649,-137461.500000,-0.008324,0.002082
4.0,14961213,98307.000000,0.006571,0.002616
4.5,11465749,184080.000000,0.016055,0.003486
5.0,10031999,431682.000000,0.043031,0.004246
5.5,8622806,576999.000000,0.066915,0.005143
6.0,6084299,697035.000000,0.114563,0.006792
6.5,4773263,725799.000000,0.152055,0.008461
7.0,3871289,721557.000000,0.186387,0.010180
7.5,2706711,625321.500000,0.231026,0.013055
8.0,2013320,629958.000000,0.312895,0.016419
8.5,1155275,437791.500000,0.378950,0.023170
9.0,930918,419268.000000,0.450381,0.027466
9.5,593439,301986.000000,0.508875,0.036086
10.0,339319,196749.000000,0.579835,0.051022
10.5,240503,120076.500000,0.499272,0.063929
11.0,110890,83070.000000,0.749121,0.098600
11.5,54345,48499.500000,0.892437,0.145498
12.0,44462,38065.500000,0.856136,0.170990
12.5,18531,19012.500000,1.025983,0.270039
13.0,10476,21384.000000,2.041237,0.382051
13.5,3570,2635.500000,0.738235,0.686899
14.0,2011,3237.000000,1.609647,0.956993
14.5,494,2071.500000,4.193320,2.017480
15.0,290,-798.000000,-2.751724,2.595831
15.5,129,499.500000,3.872093,4.197230
16.0,31,157.500000,5.080645,9.334993
16.5,16,300.000000,18.750000,10.322722
17.0,3,-48.000000,-16.000000,26.127891
17.5,1,48.000000,48.000000,0.000000
