TrueCount,HandsPlayed,TotalPayout,EV,StdError
-48.5,4,2.000000,0.500000,0.829156
-47.0,5,2.000000,0.400000,1.314534
-46.5,2,-2.000000,-1.000000,2.121320
-46.0,7,8.000000,1.142857,0.890507
-45.5,3,-4.000000,-1.333333,0.544331
-45.0,4,2.000000,0.500000,0.829156
-44.5,9,-12.000000,-1.333333,0.888889
-44.0,3,4.000000,1.333333,1.440165
-43.5,39,-4.000000,-0.102564,0.354913
-43.0,5,-6.000000,-1.200000,1.213260
-42.5,36,-4.000000,-0.111111,0.415327
-42.0,47,-32.000000,-0.680851,0.372318
-41.5,35,-52.000000,-1.485714,0.355416
-41.0,96,-30.000000,-0.312500,0.259085
-40.5,37,4.000000,0.108108,0.381806
-40.0,122,-20.000000,-0.163934,0.222480
-39.5,164,-5.000000,-0.030488,0.203228
-39.0,79,-66.000000,-0.835443,0.281019
-38.5,368,-155.000000,-0.421196,0.126984
-38.0,236,-134.000000,-0.567797,0.162787
-37.5,347,-179.000000,-0.515850,0.129352
-37.0,559,-198.000000,-0.354204,0.107422
-36.5,655,-292.000000,-0.445802,0.095951
-36.0,1007,-372.000000,-0.369414,0.077880
-35.5,628,-293.000000,-0.466561,0.097982
-35.0,900,-257.000000,-0.285556,0.080459
-34.5,2325,-694.000000,-0.298495,0.051316
-34.0,1469,-360.000000,-0.245065,0.063945
-33.5,2421,-924.000000,-0.381660,0.050897
-33.0,2350,-1057.000000,-0.449787,0.050693
-32.5,3056,-727.000000,-0.237893,0.045060
-32.0,5121,-1818.000000,-0.355009,0.034440
-31.5,4249,-1450.000000,-0.341257,0.037115
-31.0,7273,-1636.000000,-0.224942,0.028653
-30.5,5708,-1722.000000,-0.301682,0.032041
-30.0,8601,-2573.000000,-0.299151,0.025800
-29.5,14666,-4167.000000,-0.284127,0.019933
-29.0,13300,-3663.000000,-0.275414,0.021030
-28.5,19557,-5347.000000,-0.273406,0.017292
-28.0,14001,-3472.000000,-0.247982,0.020394
-27.5,15693,-4332.000000,-0.276047,0.019191
-27.0,33524,-7935.000000,-0.236696,0.013125
-26.5,34115,-7266.000000,-0.212985,0.013104
-26.0,48483,-10700.000000,-0.220696,0.010943
-25.5,49179,-11001.000000,-0.223693,0.010817
-25.0,70646,-14667.000000,-0.207613,0.009011
-24.5,51340,-9685.000000,-0.188644,0.010589
-24.0,56813,-11892.000000,-0.209318,0.010028
-23.5,101599,-17808.000000,-0.175277,0.007479
-23.0,120059,-23419.000000,-0.195062,0.006874
-22.5,144802,-25680.000000,-0.177346,0.006246
-22.0,140001,-24020.000000,-0.171570,0.006343
-21.5,152329,-26275.000000,-0.172488,0.006069
-21.0,230262,-40243.000000,-0.174770,0.004930
-20.5,200171,-32412.000000,-0.161922,0.005293
-20.0,306534,-45288.000000,-0.147742,0.004266
-19.5,297882,-45996.000000,-0.154410,0.004326
-19.0,340251,-51456.000000,-0.151230,0.004037
-18.5,418779,-58788.000000,-0.140380,0.003635
-18.0,393266,-51949.000000,-0.132096,0.003750
-17.5,764901,-94921.000000,-0.124096,0.002685
-17.0,484292,-60556.000000,-0.125040,0.003371
-16.5,753420,-89994.000000,-0.119447,0.002698
-16.0,822656,-91875.000000,-0.111681,0.002577
-15.5,943486,-108044.000000,-0.114516,0.002405
-15.0,1033930,-109225.000000,-0.105641,0.002294
-14.5,1303244,-136420.000000,-0.104677,0.002041
-14.0,1300363,-127494.000000,-0.098045,0.002040
-13.5,1744272,-164396.000000,-0.094249,0.001759
-13.0,1685491,-153923.000000,-0.091322,0.001787
-12.5,1937008,-158320.000000,-0.081734,0.001666
-12.0,2420140,-195624.000000,-0.080832,0.001488
-11.5,2411092,-193253.000000,-0.080152,0.001489
-11.0,3129510,-232641.000000,-0.074338,0.001305
-10.5,2945213,-205925.000000,-0.069919,0.001344
-10.0,4106236,-275960.000000,-0.067205,0.001136
-9.5,3759942,-241048.000000,-0.064109,0.001186
-9.0,4651194,-279583.000000,-0.060110,0.001065
-8.5,5591251,-300754.000000,-0.053790,0.000971
-8.0,5405784,-296894.000000,-0.054922,0.000985
-7.5,6885108,-331465.000000,-0.048142,0.000872
-7.0,7211695,-346669.000000,-0.048070,0.000851
-6.5,7673394,-335029.000000,-0.043661,0.000824
