table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,16000,179.69546875,145.0,-20.30453125,-2.5,600.0624999999991,0.57625,0.506125,0.44825,0.14825,0.3930625,55.21421875,55.0,70.0,75.0,0.9967807078612722,6307.1415625,80.358875,1102.10375
5.0,500.0,200.0,0.5,16000,180.9690625,152.5,-19.0309375,-2.5,590.0,0.568,0.49625,0.439375,0.1468125,0.3881875,55.22375,55.0,70.0,75.0,0.9969985531211346,6340.5878125,80.738875,1107.534375
5.0,500.0,200.0,0.75,16000,182.30875,147.5,-17.69125,-2.5,605.0624999999991,0.567375,0.5014375,0.4425,0.15225,0.3915,56.3796875,55.0,70.0,80.0,0.9972155579739107,6353.606875,80.3259375,1101.666
5.0,500.0,200.0,1.0,16000,187.57140625,150.0,-12.42859375,-5.0,627.5,0.56375,0.4975625,0.4425625,0.1670625,0.3961875,59.76328125,60.0,80.0,95.0,0.9980797662163711,6472.4378125,80.2169375,1100.202125
5.0,500.0,200.0,1.25,16000,195.70515625,160.0,-4.29484375,-5.0,645.0624999999991,0.548,0.4863125,0.4353125,0.1825625,0.3951875,65.23046875,62.5,90.0,110.0,0.9993471186071268,6578.2909375,79.3715,1088.65175
5.0,500.0,200.0,1.5,16000,204.06921875,160.0,4.06921875,-5.0,692.5,0.542375,0.4888125,0.447,0.206,0.41,72.42421875,70.0,105.0,130.0,1.0006092764426398,6678.7725,78.0889375,1070.8905625
5.0,500.0,200.0,2.0,16000,213.7778125,147.5,13.7778125,-12.5,752.5624999999991,0.544375,0.5019375,0.46575,0.2410625,0.437625,88.01828125,85.0,135.0,165.0,1.0020130366369335,6844.29296875,75.3255,1032.7501875
5.0,500.0,200.0,2.5,16000,228.76359375,115.0,28.76359375,-17.5,847.5,0.5473125,0.5165,0.493,0.27625,0.4730625,106.96109375,102.5,165.0,205.0,1.004062773824858,7079.79203125,71.623875,981.7099375
5.0,500.0,200.0,3.0,16000,243.81984375,2.5,43.81984375,-22.5,955.0,0.56075,0.5355625,0.51875,0.3005,0.5029375,124.4665625,120.0,190.12499999999818,235.0,1.006055231775139,7236.69140625,67.80875,929.0981875
5.0,500.0,200.0,4.0,16000,266.20984375,2.5,66.20984375,-35.0,1140.0,0.587,0.573375,0.562125,0.323625,0.552875,155.44625,150.0,245.0,300.0,1.0087927780126247,7530.025625,62.2774375,852.8400625
5.0,500.0,200.0,5.0,16000,281.64546875,0.0,81.64546875,-45.0,1377.562499999999,0.6318125,0.6228125,0.6164375,0.3090625,0.610375,185.76171875,180.0,295.0,370.0,1.0106444123847653,7670.26546875,55.554125,760.11675
5.0,500.0,200.0,6.0,16000,292.43921875,0.0,92.43921875,-60.0,1540.062499999999,0.6608125,0.6550625,0.6500625,0.3005,0.6465625,212.45421875,205.0,345.0,440.0,1.0118505312038055,7800.42828125,51.3225625,701.768625
5.0,500.0,200.0,7.0,16000,310.700625,0.0,110.700625,-70.0,1772.5,0.6855625,0.6815,0.6780625,0.288625,0.675625,240.6,230.0,405.0,505.0,1.0138001516823827,8021.69625,47.2858125,646.059125
5.0,500.0,500.0,0.25,16000,478.670625,480.0,-21.329375,2.5,905.0,0.531375,0.316,0.14725,0.00775,0.0278125,57.13875,55.0,70.0,77.5,0.9972805553732738,7843.2834375,99.4299375,1367.024
