table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,2000,126.2675,2.5,-73.7325,-5.0,1135.0624999999995,0.842,0.8385,0.836,0.133,0.832,56.04125,55.0,70.0,75.0,0.9968700927723053,23557.4075,345.7865,4117.769
5.0,500.0,200.0,0.5,2000,130.8025,2.5,-69.1975,-5.0,1187.7499999999986,0.8375,0.8345,0.8285,0.14,0.825,56.12625,55.0,70.0,75.0,0.9971787983315781,24527.66875,359.9255,4286.7315
5.0,500.0,200.0,0.75,2000,123.5875,2.5,-76.4125,-5.0,1100.187499999999,0.8385,0.834,0.8305,0.1375,0.8275,56.72125,55.0,70.0,80.0,0.9967856557693404,23772.345,347.934,4144.1355
5.0,500.0,200.0,1.0,2000,137.56125,2.5,-62.43875,-5.0,1200.0,0.8245,0.819,0.8175,0.146,0.814,60.54625,60.0,80.0,90.0,0.9974976147661319,24951.69375,360.5745,4294.6155
5.0,500.0,200.0,1.25,2000,159.50875,2.5,-40.49125,-5.0,1360.1249999999993,0.814,0.81,0.809,0.1635,0.8085,66.7575,65.0,90.0,107.5,0.9984400293299336,25956.4175,366.3685,4363.962
5.0,500.0,200.0,1.5,2000,195.42875,2.5,-4.57125,-7.5,1440.2499999999986,0.7865,0.781,0.78,0.1885,0.78,73.475,70.0,105.0,120.0,0.9998328552927672,27349.05625,377.5215,4497.0595
5.0,500.0,200.0,2.0,2000,241.37125,2.5,41.37125,-12.5,1762.687499999999,0.772,0.771,0.7695,0.2105,0.7675,94.63875,92.5,140.0,170.04999999999995,1.0013999641898153,29551.64875,380.8715,4537.1425
5.0,500.0,200.0,2.5,2000,275.13375,2.5,75.13375,-20.0,1892.6249999999993,0.763,0.7605,0.7605,0.22,0.7595,111.48625,110.0,170.1249999999999,200.0,1.0024690767718276,30429.89625,372.1665,4433.8405
5.0,500.0,200.0,3.0,2000,298.2375,0.0,98.2375,-22.562499999999996,2142.5624999999995,0.771,0.7695,0.768,0.213,0.767,129.01,127.5,200.0,230.04999999999995,1.003244277991898,30280.235,346.04,4121.719
5.0,500.0,200.0,4.0,2000,431.8675,0.0,231.8675,-35.0,2965.8749999999955,0.7635,0.762,0.7615,0.2345,0.7615,166.935,165.0,267.5,310.025,1.0068732291367497,33734.87125,339.232,4040.936
5.0,500.0,200.0,5.0,2000,491.875,0.0,291.875,-45.0,3670.374999999998,0.7825,0.781,0.7805,0.2165,0.7795,192.40875,185.0,320.0,377.525,1.0087720085844716,33273.45125,299.4725,3566.842
5.0,500.0,200.0,6.0,2000,511.3725,-2.5,311.3725,-57.5,4145.0625,0.806,0.8055,0.8055,0.1935,0.8055,223.07375,212.5,380.1249999999999,452.54999999999995,1.0092453108342254,33678.965,273.2845,3254.867
5.0,500.0,200.0,7.0,2000,597.06375,-2.5,397.06375,-65.0625,4703.187499999996,0.8015,0.801,0.801,0.1965,0.801,254.16,235.0,440.0,525.0,1.0114303453356799,34737.68625,260.255,3099.096
5.0,500.0,500.0,0.25,2000,364.2525,2.5,-135.7475,-2.5,1550.0,0.6695,0.612,0.567,0.1315,0.534,61.6425,60.0,70.0,77.5,0.9971767411807544,48081.8475,704.533,8398.968
5.0,500.0,500.0,0.5,2000,446.09,136.25,-53.91,-5.0,1710.374999999998,0.612,0.561,0.523,0.188,0.4845,75.765,75.0,100.0,120.0,0.998953437886655,51511.515,726.4,8659.7965
5.0,500.0,500.0,0.75,2000,537.75125,297.5,37.75125,-5.0,1912.7499999999986,0.56,0.5185,0.4885,0.251,0.466,101.57125,100.0,140.0,160.0,1.0006902446113908,54692.5675,726.3575,8658.4045
