table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,2000,134.71,2.5,-65.29,-5.0,1100.1249999999993,0.813,0.8065,0.805,0.15,0.802,50.77875,50.0,60.0,65.0,0.9970510240255837,22139.88875,391.2465,3874.67
5.0,500.0,200.0,0.5,2000,130.10625,2.5,-69.89375,-5.0,1115.1249999999993,0.825,0.8185,0.8145,0.144,0.8105,51.11125,50.0,62.5,67.5,0.99678113020986,21713.755,383.7695,3800.58
5.0,500.0,200.0,0.75,2000,131.78375,2.5,-68.21625,-5.0,1115.0624999999995,0.8225,0.8155,0.8065,0.142,0.8,51.02125,50.0,62.5,70.0,0.9968363788204045,21562.71125,380.6575,3769.6395
5.0,500.0,200.0,1.0,2000,128.735,2.5,-71.265,-5.0,1060.4999999999973,0.8205,0.815,0.8105,0.139,0.8065,52.3025,50.0,65.0,75.0,0.996650495883709,21276.28375,373.8545,3702.421
5.0,500.0,200.0,1.25,2000,154.48625,2.5,-45.51375,-5.0,1165.187499999999,0.7895,0.781,0.7775,0.1655,0.773,56.3525,55.0,75.0,87.5,0.9980410157320786,23233.34125,403.234,3994.0515
5.0,500.0,200.0,1.5,2000,149.57625,2.5,-50.42375,-5.0,1195.187499999999,0.81,0.8005,0.797,0.158,0.7935,60.90375,60.0,87.5,105.0,0.9977719711104647,22631.55125,387.2815,3835.6275
5.0,500.0,200.0,2.0,2000,163.405,2.5,-36.595,-7.5,1300.3124999999982,0.801,0.797,0.7935,0.169,0.7905,72.9325,70.0,105.0,125.0,0.9984245425234948,23228.17375,383.4995,3798.256
5.0,500.0,200.0,2.5,2000,201.52125,2.5,1.52125,-12.5,1455.1249999999993,0.7795,0.776,0.773,0.1965,0.772,87.05,85.0,130.0,150.02499999999998,1.0000603525950351,25206.04125,397.244,3934.4165
5.0,500.0,200.0,3.0,2000,236.01125,2.5,36.01125,-15.062499999999996,1722.687499999999,0.7745,0.7705,0.7675,0.207,0.7675,100.98875,100.0,155.0,180.0,1.001433353466985,25123.775,375.763,3721.7245
5.0,500.0,200.0,4.0,2000,297.2575,0.0,97.2575,-25.0,2037.5624999999995,0.7595,0.7575,0.757,0.2285,0.7565,130.11375,130.0,200.0,240.0,1.0036704135963523,26497.695,361.872,3584.349
5.0,500.0,200.0,5.0,2000,304.95,0.0,104.95,-37.5,2390.2499999999986,0.7985,0.7975,0.7975,0.1945,0.796,154.8325,150.0,247.6249999999999,297.5,1.0041550471995744,25258.4375,312.726,3096.6505
5.0,500.0,200.0,6.0,2000,315.08625,0.0,115.08625,-45.0,2732.9999999999973,0.8215,0.821,0.82,0.175,0.8195,176.1775,170.0,285.0,340.0,1.0045554341298693,25263.50875,285.983,2831.675
5.0,500.0,200.0,7.0,2000,350.81625,-2.5,150.81625,-55.0,3025.0624999999995,0.819,0.8185,0.818,0.179,0.818,201.375,190.0,340.0,397.525,1.0056472201647317,26706.28125,278.237,2754.389
5.0,500.0,500.0,0.25,2000,331.775,2.5,-168.225,-2.5,1367.5,0.6815,0.6265,0.574,0.098,0.5275,55.10875,55.0,65.0,70.0,0.9959493319151681,41530.18625,733.3375,7268.9305
5.0,500.0,500.0,0.5,2000,391.91,128.75,-108.09,-5.0,1517.7499999999986,0.636,0.5765,0.536,0.138,0.489,62.3425,60.0,80.0,90.02499999999998,0.9974750054830563,42808.01375,742.466,7359.033
5.0,500.0,500.0,0.75,2000,429.65125,153.75,-70.34875,-5.0,1625.0624999999995,0.6155,0.5675,0.523,0.1745,0.4825,80.82375,80.0,110.0,125.02499999999998,0.9984104095507952,44255.89625,733.988,7275.146
5.0,500.0,500.0,1.0,2000,466.15875,42.5,-33.84125,-10.0,1775.1249999999993,0.596,0.5595,0.5235,0.206,0.4995,101.81625,100.0,140.0,160.04999999999995,0.9992477869061687,44988.91375,708.364,7021.3505
5.0,500.0,500.0,1.25,2000,543.46,91.25,43.46,-15.0,2042.6249999999993,0.568,0.537,0.5195,0.2665,0.496,125.7625,125.0,170.0,195.04999999999995,1.0009225226387926,47109.955,695.6105,6894.4575
5.0,500.0,500.0,1.5,2000,630.3575,202.5,130.3575,-20.0,2380.187499999999,0.548,0.52,0.5045,0.317,0.486,150.40875,147.5,207.6249999999999,245.0,1.0026086804476015,49970.66625,689.235,6831.6465
5.0,500.0,500.0,2.0,2000,709.36875,2.5,209.36875,-32.5,2880.0,0.5605,0.544,0.5375,0.332,0.5275,192.54375,190.0,265.0,315.04999999999995,1.004052156855715,51668.47125,640.343,6347.107
5.0,500.0,500.0,2.5,2000,799.60875,2.5,299.60875,-40.0,3352.5624999999995,0.585,0.5775,0.5705,0.3455,0.5625,237.86875,235.0,345.0,402.5,1.0056020808242971,53481.69,589.4545,5841.8265
5.0,500.0,500.0,3.0,2000,893.25,0.0,393.25,-52.5,4138.124999999996,0.617,0.6135,0.6085,0.345,0.607,272.65875,270.0,390.0,457.525,1.007168201693236,54860.3425,540.3115,5354.0405
5.0,500.0,500.0,4.0,2000,1041.01,0.0,541.01,-75.0,5070.187499999999,0.648,0.645,0.6425,0.333,0.641,346.835,345.0,517.6249999999999,617.5,1.0094451189049312,57279.32125,479.0165,4746.414
5.0,500.0,500.0,5.0,2000,1071.30875,-5.0,571.30875,-102.5,6140.0625,0.7105,0.709,0.708,0.283,0.7065,409.7725,410.0,630.0,730.0,1.0102140054342754,55933.86,403.244,3995.1895
5.0,500.0,500.0,6.0,2000,1133.33,-10.0,633.33,-125.0,7260.249999999998,0.737,0.735,0.735,0.2555,0.735,473.86375,465.0,760.0,905.025,1.0108152447768177,58559.0075,366.675,3632.2625
5.0,500.0,500.0,7.0,2000,1215.825,-12.5,715.825,-140.125,8308.249999999996,0.75,0.75,0.749,0.246,0.749,527.6825,520.0,855.0,1000.05,1.0117614531015908,60861.9525,340.7355,3374.8625
5.0,500.0,1000.0,0.25,2000,831.50375,818.75,-168.49625,0.0,2007.687499999999,0.609,0.455,0.291,0.0255,0.1425,64.7975,62.5,82.5,95.02499999999998,0.996954906469836,55333.68625,959.347,9511.465
