table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,200.0,0.25,40000,188.699375,190.0,-11.300625,-15.0,390.0,0.537525,0.348275,0.191625,0.02045,0.0371,65.789,65.0,92.5,107.5,0.9937569871781547,1810.123625,10.0,317.453375
5.0,500.0,200.0,0.5,40000,190.02,190.0,-9.98,-12.5,392.5,0.535475,0.345075,0.18985,0.021875,0.03635,65.636,65.0,92.5,105.0,0.9944854733942049,1809.7655,10.0,317.44985
5.0,500.0,200.0,0.75,40000,190.2934375,190.0,-9.7065625,-15.0,392.5,0.5312,0.3465,0.188725,0.022375,0.0363,65.80475,65.0,92.5,105.0,0.9946368577183441,1809.8648125,10.0,317.44705
5.0,500.0,200.0,1.0,40000,190.075875,190.0,-9.924125,-12.5,395.0,0.53185,0.3456,0.19185,0.022275,0.0363,65.7054375,65.0,92.5,105.0,0.9945174991100508,1810.145625,10.0,317.42875
5.0,500.0,200.0,1.25,40000,190.2965625,190.0,-9.7034375,-15.0,395.0,0.533325,0.343525,0.187425,0.02255,0.036175,65.8825,65.0,92.5,107.5,0.9946444237863267,1811.8381875,10.0,317.442225
5.0,500.0,200.0,1.5,40000,190.5138125,190.0,-9.4861875,-15.0,395.0,0.53165,0.343475,0.19015,0.02365,0.036925,66.0145625,65.0,92.5,107.5,0.9947716143568599,1814.362625,10.0,317.441625
5.0,500.0,200.0,2.0,40000,190.5854375,190.0,-9.4145625,-15.0,395.06250000000364,0.529425,0.34455,0.190775,0.023925,0.0366,66.94025,65.0,95.0,112.5,0.9948521492762907,1828.833625,10.0,317.420025
5.0,500.0,200.0,2.5,40000,190.484375,190.0,-9.515625,-17.5,397.5,0.5313,0.347525,0.19375,0.024625,0.039375,68.5555,65.0,100.0,122.5,0.994845692212364,1846.1499375,10.0,317.422775
5.0,500.0,200.0,3.0,40000,192.5939375,192.5,-7.4060625,-22.5,410.0,0.524125,0.34345,0.1956,0.030625,0.042625,70.842625,67.5,105.0,137.5,0.9960521911543455,1875.9931875,10.0,317.4399
5.0,500.0,200.0,4.0,40000,191.8656875,192.5,-8.1343125,-37.5,420.0,0.524125,0.353825,0.20865,0.036325,0.054825,76.7073125,70.0,125.0,175.0,0.9957949185230529,1934.4006875,10.0,317.416425
5.0,500.0,200.0,5.0,40000,194.067625,195.0,-5.932375,-57.5,445.0,0.51285,0.353775,0.2175,0.050825,0.064375,86.2440625,77.5,155.0,217.5,0.9970844011468141,2034.7020625,10.0,317.444475
5.0,500.0,200.0,6.0,40000,195.3435,195.0,-4.6565,-67.5,460.0,0.509575,0.357625,0.22755,0.06205,0.07215,92.529,80.0,180.0,250.0,0.9977586887811941,2077.5785,10.0,317.456175
5.0,500.0,200.0,7.0,40000,195.1990625,195.0,-4.8009375,-95.0,485.0,0.510425,0.364825,0.2412,0.07625,0.08895,103.3210625,87.5,207.5,295.0,0.9977898132069185,2172.1863125,10.0,317.44335
5.0,500.0,500.0,0.25,40000,491.2785625,490.0,-8.7214375,287.5,695.0,0.528475,0.12865,0.009525,0.0,0.0,65.4634375,65.0,92.5,105.0,0.9951817807968019,1810.095625,10.0,317.420125
5.0,500.0,500.0,0.5,40000,489.628625,490.0,-10.371375,285.0,692.5,0.5326,0.132975,0.009925,0.0,0.0,65.8236875,65.0,92.5,107.5,0.9942756244302945,1811.7915,10.0,317.44055
5.0,500.0,500.0,0.75,40000,491.49475,492.5,-8.50525,285.0,695.0625000000036,0.527475,0.129925,0.010825,0.0,0.0,66.4193125,65.0,95.0,110.0,0.9953302990548766,1821.3693125,10.0,317.430325
5.0,500.0,500.0,1.0,40000,490.6729375,490.0,-9.3270625,280.0,700.0,0.5277,0.136525,0.0117,0.0,0.0,68.3225,65.0,100.0,122.5,0.9949472052305582,1845.9215,10.0,317.470125
5.0,500.0,500.0,1.25,40000,491.8730625,492.5,-8.1269375,275.0,705.0,0.522825,0.1401,0.013975,0.0,2.5e-05,70.88675,67.5,105.0,137.5,0.9956681166576574,1876.074875,10.0,317.4164
5.0,500.0,500.0,1.5,40000,491.085125,492.5,-8.914875,262.5,717.5,0.526325,0.153525,0.018925,0.0,0.0001,76.12225,70.0,122.5,167.5,0.9953793173934178,1929.3415625,10.0,317.45405
5.0,500.0,500.0,2.0,40000,493.0405,492.5,-6.9595,242.5,742.5,0.517875,0.166675,0.027825,0.000125,0.000225,86.3288125,77.5,155.0,217.5,0.9965792206022392,2034.477875,10.0,317.43175
5.0,500.0,500.0,2.5,40000,494.3183125,495.0,-5.6816875,212.5,772.5,0.51245,0.1877,0.04345,0.000825,0.00095,99.5006875,85.0,195.0,275.0,0.9973569800184467,2149.69525,10.0,317.432775
5.0,500.0,500.0,3.0,40000,495.33725,495.0,-4.66275,190.0,795.0,0.507075,0.198125,0.052725,0.0017,0.00235,108.0319375,90.0,220.0,317.5,0.9978902711365258,2210.118125,10.0,317.4235
5.0,500.0,500.0,4.0,40000,497.349125,497.5,-2.650875,122.5,867.5,0.500875,0.229425,0.079525,0.00595,0.0086,133.061,110.0,290.0,420.0,0.9988999699355201,2409.8205,10.0,317.444375
5.0,500.0,500.0,5.0,40000,498.822125,500.0,-1.177875,47.5,947.5,0.497725,0.258525,0.112875,0.01645,0.017675,166.787375,140.0,365.0,522.5,0.9995625762970247,2692.7553125,10.0,317.467475
5.0,500.0,500.0,6.0,40000,502.5531875,502.5,2.5531875,-35.0,1027.5,0.491375,0.280225,0.140325,0.030125,0.03085,198.4301875,165.0,437.5,630.0,1.0008650753876216,2951.404625,10.0,317.449
5.0,500.0,500.0,7.0,40000,504.3936875,505.0,4.3936875,-100.0,1102.5,0.4903,0.295575,0.161575,0.044475,0.043825,221.2130625,185.0,500.0,727.5250000000051,1.0014204832475966,3093.0935,10.0,317.4269
5.0,500.0,1000.0,0.25,40000,990.696375,990.0,-9.303625,785.0,1197.5,0.531375,0.01025,0.0,0.0,0.0,65.815875,65.0,92.5,107.5,0.9948654196544484,1811.9543125,10.0,317.468475
5.0,500.0,1000.0,0.5,40000,990.6983125,990.0,-9.3016875,782.5,1200.0,0.5324,0.0119,0.0,0.0,0.0,68.522625,65.0,100.0,122.5,0.9949616646483692,1846.1826875,10.0,317.467175
5.0,500.0,1000.0,0.75,40000,991.4408125,992.5,-8.5591875,765.0,1217.5,0.523175,0.017975,0.0,0.0,0.0,76.02275,70.0,125.0,170.0,0.9955644065675946,1929.6600625,10.0,317.454275
5.0,500.0,1000.0,1.0,40000,993.671875,995.0,-6.328125,740.0,1245.0,0.512175,0.02905,0.000225,0.0,0.0,86.4434375,77.5,155.0,217.5,0.9968905826912912,2035.1481875,10.0,317.423175
5.0,500.0,1000.0,1.25,40000,995.0149375,995.0,-4.9850625,712.5,1277.5,0.51155,0.040575,0.00085,0.0,0.0,99.557875,85.0,195.0,275.0,0.9976810787058651,2149.733375,10.0,317.43715
