table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used,prob_end_below_0.9xB0,prob_end_below_0.75xB0,prob_end_below_0.5xB0,prob_end_below_0.25xB0
5.0,500.0,200.0,0.25,10000,134.42075,2.5,-65.57925,-5.0,805.0,0.7486,0.7293,0.7139,0.1581,0.7006,97.7075,97.5,125.0,137.5,0.9949707239563845,13039.501,53.3709,2282.801,0.7396,0.7293,0.7139,0.7031
5.0,500.0,200.0,0.5,10000,134.08125,2.5,-65.91875,-5.0,810.0,0.7483,0.7279,0.7148,0.158,0.7023,97.7375,97.5,125.0,140.0,0.9949359232725588,13016.9335,53.279,2278.6918,0.7396,0.7279,0.7148,0.7059
5.0,500.0,200.0,0.75,10000,136.16825,2.5,-63.83175,-5.0,817.5,0.7448,0.7259,0.712,0.1594,0.6994,97.9025,97.5,125.0,140.0,0.9950959216384643,13016.05425,53.2643,2278.0205,0.7362,0.7259,0.712,0.7033
5.0,500.0,200.0,1.0,10000,138.265,2.5,-61.735,-5.0,815.0,0.7412,0.7206,0.7078,0.1637,0.697,97.86625,97.5,125.0,140.0,0.9952750486520361,13065.743,53.3525,2282.0816,0.7315,0.7206,0.7078,0.6999
5.0,500.0,200.0,1.25,10000,137.638,2.5,-62.362,-5.0,820.0,0.7405,0.7249,0.7114,0.1642,0.6998,99.5135,97.5,130.0,145.0,0.9952387949116749,13097.9445,53.1261,2272.5422,0.7337,0.7249,0.7114,0.7028
5.0,500.0,200.0,1.5,10000,136.3655,2.5,-63.6345,-5.0,817.5624999999991,0.7439,0.7262,0.7122,0.1584,0.7011,100.8785,100.0,132.5,152.5,0.9951496074131442,13119.4535,53.0022,2267.0312,0.7362,0.7262,0.7122,0.7032
5.0,500.0,200.0,2.0,10000,145.1545,2.5,-54.8455,-5.0,875.0,0.7395,0.7258,0.7119,0.1731,0.7003,108.42125,105.0,152.5,185.0,0.9958764420526598,13300.5285,52.4791,2244.8921,0.7334,0.7258,0.7119,0.7032
5.0,500.0,200.0,2.5,10000,154.22975,2.5,-45.77025,-10.0,927.5,0.7367,0.7172,0.7048,0.1805,0.6957,116.33925,110.0,172.5,215.0,0.9965972019889718,13450.769,52.0616,2227.3648,0.7283,0.7172,0.7048,0.6979
5.0,500.0,200.0,3.0,10000,164.191,2.5,-35.809,-12.5,967.5624999999991,0.7271,0.7125,0.7021,0.196,0.6932,130.5125,122.5,205.0,262.5,0.9973853125707529,13695.32725,51.48,2203.1839,0.7215,0.7125,0.7021,0.6952
5.0,500.0,200.0,4.0,10000,181.4685,2.5,-18.5315,-22.5,1135.0,0.7317,0.7219,0.7144,0.2101,0.7071,158.85925,150.0,260.0,325.0,0.998668971250131,13922.6895,48.5678,2078.1261,0.7279,0.7219,0.7144,0.7088
5.0,500.0,200.0,5.0,10000,194.21525,0.0,-5.78475,-30.0,1265.0,0.7417,0.7341,0.7286,0.2151,0.7245,182.42275,172.5,300.0,382.52500000000055,0.9995870351046218,14007.84925,46.0366,1969.5404,0.7391,0.7341,0.7286,0.7256
5.0,500.0,200.0,6.0,10000,202.15075,0.0,2.15075,-40.0,1417.5,0.7547,0.7508,0.7475,0.2089,0.7444,211.71825,202.5,362.5,465.0,1.0001574230215515,13662.233,42.6942,1825.9796,0.7529,0.7508,0.7475,0.7454
5.0,500.0,200.0,7.0,10000,217.609,0.0,17.609,-47.5,1530.0,0.7622,0.7582,0.7556,0.2105,0.7534,237.33775,225.0,420.0,530.0,1.0012673123729603,13894.759,41.1994,1762.078,0.7607,0.7582,0.7556,0.7541
